"gene","balanced_rank","v4_3p","v4_5p","subset_3p","subset_5p"
"KLRF1",1,2,8,2,1
"KLRD1",2,3,6,3,2
"GNLY",3,1,9,1,5
"PRF1",4,4,4,4,3
"HOPX",5,7,7,8,4
"GZMB",6,6,12,5,7
"FGFBP2",7,11,14,11,16
"CLIC3",8,14,19,13,12
"IL2RB",9,12,11,12,8
"SPON2",10,15,21,15,13
