"gene","balanced_rank","v4_3p","v4_5p","subset_3p","subset_5p"
"LINC01272",1,1,3,1,6
"CDKN1C",2,11,2,11,28
"HES4",3,18,6,18,38
"MS4A7",4,3,1,3,2
"TCF7L2",5,19,18,19,46
"CSF1R",6,8,10,9,13
"LRRC25",7,12,7,12,12
"SIGLEC10",8,30,15,30,34
"CD68",9,5,5,5,3
"PILRA",10,6,13,7,15
