"gene","balanced_rank","v4_3p","v4_5p","subset_3p","subset_5p"
"CD8B",1,7669,118,4,1
"CD8A",2,153,91,79,2
"CD3D",3,1062,1,1,4
"CD3E",4,313,2,12,3
"IL32",5,79,3,72,6
"RP11-291B21.2",6,1276,244,81,8
"CD3G",7,2446,17,23,5
"RPS3",8,NA,5,3,14
"GZMK",9,42,400,693,3402
"IL7R",10,6059,8,73,129
