"gene","balanced_rank","v4_3p","v4_5p","subset_3p","subset_5p"
"VCAN",1,2,2,1,1
"S100A12",2,1,1,2,4
"CD14",3,5,3,7,3
"MS4A6A",4,8,6,9,2
"MNDA",5,7,8,6,6
"CSF3R",6,10,13,11,11
"LYZ",7,6,7,4,5
"S100A8",8,3,4,3,7
"S100A9",9,4,5,5,9
"CSTA",10,11,11,10,12
