"gene","balanced_rank","v4_3p","v4_5p","subset_3p","subset_5p"
"LDHB",1,11,12,12,6
"IL7R",2,33,11,33,1
"RPS15A",3,19,13,21,21
"CD3D",4,6,1,6,26
"LEF1",5,45,37,46,35
"RPL32",6,16,30,16,74
"TRAT1",7,51,87,50,53
"RPS25",8,7,32,7,102
"MAL",9,64,105,65,15
"CYBA",10,44,10,44,16
