"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj"
"RP11-567M16.6",0.113309728715777,2.37008244909927,0.02,0.008,1
"ITPA",0.113396989746698,-0.336972482905533,0.206,0.264,1
"CNKSR1",0.113514427001932,0.155166533489874,0.015,0.005,1
"TUBG1",0.113598147799996,0.684483127479468,0.06,0.036,1
"IMMT",0.11361586690139,-0.262529750717471,0.186,0.241,1
"FAM133B",0.113649282087617,0.312071953081007,0.322,0.278,1
"C14orf80",0.113698246615544,-0.864390128077887,0.035,0.064,1
"ANO9",0.113702143735739,-0.607794405959579,0.035,0.065,1
"DDA1",0.113714044600461,-0.327754893760593,0.156,0.205,1
"EPHX1",0.113802017223706,-1.04488574533738,0.01,0.03,1
"DENND1C",0.11381944764501,-0.337497529521667,0.191,0.249,1
"DXO",0.113835460094803,0.722040260348146,0.166,0.131,1
"CKAP5",0.113877515892962,-0.372731153409893,0.05,0.085,1
"PTPN9",0.113877847395259,-0.484866776428077,0.095,0.139,1
"CDK16",0.113956504614804,-0.470842439212149,0.126,0.173,1
"NUP35",0.114112098139904,1.10246076986334,0.055,0.033,1
"MEAF6",0.114133817285682,0.239683908679968,0.427,0.39,1
"RP11-166P13.3",0.114250023788608,0.790382076536684,0.025,0.011,1
"NUDT16L1",0.114313089599617,-0.366760767227582,0.201,0.261,1
"ERBB2IP",0.114373894165945,-0.398301349363772,0.196,0.252,1
"LINC01481",0.114449856576253,0.619417050337759,0.156,0.12,1
"CD1A",0.114498484176281,1.91154590405738,0.02,0.008,1
"ATG10",0.114535198384949,-0.588687839702955,0.04,0.071,1
"SMG6",0.114589860656296,-0.519889591589141,0.05,0.084,1
"THUMPD3",0.114630129632532,-0.524195865787199,0.07,0.109,1
"CHST14",0.114669404216399,1.03639677668377,0.07,0.045,1
"AC007383.3",0.114721893177088,-0.90419468719498,0.01,0.03,1
"TRMT10B",0.114805445290362,0.689129002122275,0.121,0.087,1
"SMCR8",0.114988441603933,-0.679357561828737,0.045,0.077,1
"TXNRD2",0.115015608812787,-0.79179953620737,0.055,0.089,1
"RP11-74J13.8",0.115096531241923,1.59618998795424,0.02,0.008,1
"MRRF",0.115113379569423,0.545287085990628,0.121,0.087,1
"USP8",0.115358741900734,0.579167147759087,0.256,0.219,1
"MLF1",0.115396474738036,1.48354627060306,0.02,0.008,1
"PPIL4",0.115474414551688,0.69031299635075,0.166,0.13,1
"SMC5-AS1",0.115697032543288,1.81346224205107,0.02,0.008,1
"FOXK1",0.115840261056389,-0.86766251372932,0.035,0.064,1
"HTT",0.115866144051034,-0.576252279193096,0.101,0.143,1
"RSBN1L",0.116359509217267,0.347321776160749,0.332,0.296,1
"THTPA",0.116361706984585,-0.321846098278867,0.06,0.098,1
"SRF",0.116429427083432,-0.751640347648907,0.03,0.058,1
"PKN2",0.116435213364676,-0.640970216005569,0.171,0.218,1
"SH3GLB2",0.116541154282922,-0.805858985106978,0.04,0.07,1
"GOLPH3",0.116689961973689,-0.287650843265961,0.251,0.309,1
"CLPTM1L",0.116936736991817,-0.593657864026309,0.065,0.101,1
"UBE2G2",0.116946154685316,-0.232631930610684,0.191,0.252,1
"XRCC4",0.116948239331134,-1.09951306050803,0.02,0.044,1
"SLC19A1",0.116948244844322,-1.11975249354383,0.02,0.044,1
"MOGS",0.117026656811517,-0.865705670008191,0.065,0.1,1
"DAXX",0.117042672438064,0.491585151870596,0.266,0.223,1
"ATG14",0.117186568034378,-0.314832490648378,0.075,0.115,1
"COMMD5",0.117221894893472,-0.3012695936351,0.111,0.158,1
