"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj"
"MS4A1",6.65972715097856e-227,7.0237483239838,0.975,0.024,2.24392846625072e-222
"CD79A",1.79049335547269e-214,6.89632773454938,0.985,0.046,6.03288831192967e-210
"BANK1",1.40802271610331e-208,7.55393718204072,0.889,0.017,4.74419173963848e-204
"LINC00926",5.95861304476282e-204,7.23106959130909,0.864,0.013,2.00769507930238e-199
"FAM129C",7.95444207398444e-193,7.45961556995331,0.814,0.01,2.68016971240832e-188
"IGHM",1.02404775654158e-169,6.35672482458371,0.764,0.017,3.4504265108912e-165
"CD19",3.4545025652685e-161,7.44931534871911,0.688,0.007,1.16396009434157e-156
"RALGPS2",1.25511221852232e-154,5.57590773147316,0.799,0.047,4.22897510908909e-150
"FCRL1",2.44354987475157e-153,7.34118877527523,0.673,0.01,8.23329694798795e-149
"FCRLA",4.42702203015243e-149,8.51742153726632,0.633,0.005,1.49164080283956e-144
"CD22",1.02879629839715e-145,7.04605719173997,0.638,0.008,3.46642624781934e-141
"AFF3",4.83589585836386e-142,5.95700998161488,0.719,0.036,1.62940675051712e-137
"TCL1A",2.34570521195247e-138,7.49270643285395,0.608,0.008,7.90361914115267e-134
"CD79B",3.93555972492048e-137,4.29392862362992,0.96,0.19,1.32604749371471e-132
"FCER2",8.93717968937647e-136,6.4359469118966,0.638,0.017,3.01129332453851e-131
"BLK",1.3894644178583e-133,4.97884558359811,0.668,0.026,4.68166140953175e-129
"HLA-DQA1",2.42933371284861e-132,3.65463019364765,0.995,0.24,8.18539701207211e-128
"VPREB3",2.30454613339366e-131,7.28054876685808,0.578,0.007,7.76493774185659e-127
"SPIB",1.46478543403104e-129,7.45927098015166,0.583,0.01,4.9354480414242e-125
"HLA-DQB1",3.19795169596821e-128,3.70479659719769,0.955,0.189,1.07751784443953e-123
"HLA-DOB",2.07541266461954e-126,7.81152780351535,0.553,0.006,6.99289543216908e-122
"IGHD",9.8377547912126e-124,7.36960577664046,0.553,0.008,3.31473309935117e-119
"ADAM28",4.55887257107199e-119,5.97152286545916,0.583,0.019,1.53606652409699e-114
"POU2AF1",3.17921836305242e-114,7.46664873210742,0.503,0.005,1.07120583524688e-109
"BLNK",4.65550062261671e-107,6.90310175012917,0.497,0.01,1.56862437978447e-102
"TNFRSF13C",6.51992701507286e-107,7.04552163708553,0.487,0.008,2.19682420845865e-102
"GNG7",2.28793748271768e-106,5.88989197033677,0.518,0.015,7.70897655426895e-102
"CD24",6.73762127072918e-103,8.33997079353676,0.447,0.003,2.27017411095949e-98
"ARHGAP24",1.22567043568405e-102,4.53180340636369,0.618,0.049,4.12977396599384e-98
"CD74",1.69085535782552e-99,2.59827161160052,1,0.893,5.69716804265731e-95
"KIAA0226L",4.43462060760796e-98,5.48531031937435,0.513,0.022,1.49420106752743e-93
"CD37",5.9639200896506e-97,2.17880567980221,0.995,0.93,2.00948323500687e-92
"TSPAN13",2.20187635582142e-96,7.26815182236141,0.437,0.006,7.41900219330468e-92
"IGKC",6.39320698235777e-95,5.87653642213703,0.487,0.019,2.15412716063563e-90
"PAX5",1.0705707260961e-94,6.51343070796126,0.437,0.007,3.6071810045082e-90
"SWAP70",2.54582332598384e-91,3.61159126048123,0.754,0.142,8.57789711456995e-87
"PDLIM1",6.04054206508974e-90,4.21534394142798,0.558,0.043,2.03530024341134e-85
"CD72",8.68473983982949e-88,5.70447578248657,0.477,0.024,2.92623624163215e-83
"HLA-DRA",5.83049049764441e-87,2.19026412659629,0.99,0.433,1.96452546827631e-82
"HLA-DQA2",1.95841864748217e-84,2.73852854634113,0.829,0.194,6.59869579082642e-80
"PLPP5",4.7987925030677e-84,4.06174015435841,0.653,0.099,1.61690514598363e-79
"COBLL1",1.65615720481243e-82,7.31764431902787,0.367,0.003,5.58025608589501e-78
"TSPAN3",8.35257693666498e-82,3.42763384607291,0.719,0.143,2.8143172730399e-77
"BTLA",4.37962453814713e-81,5.91089731245161,0.412,0.014,1.47567069188329e-76
"S100A4",3.27762561920909e-80,-4.59666656629953,0.291,0.917,1.10436317613631e-75
"IGLC3",5.67947192259814e-80,7.79809888493699,0.367,0.005,1.91364126960022e-75
"CD40",2.44098952421829e-78,4.08094765588832,0.573,0.071,8.22467010290112e-74
"HLA-DPB1",5.11501493825172e-78,2.15201970203037,0.98,0.509,1.72345313329453e-73
"PKIG",1.34250356005244e-77,5.08929397910514,0.417,0.018,4.52343149524068e-73
"JCHAIN",3.64524497604587e-76,7.56337834814061,0.352,0.005,1.2282288422289e-71
"CYB561A3",4.74688968137293e-76,3.23310236454972,0.754,0.198,1.59941700924179e-71
"HVCN1",8.39565975489326e-76,3.37988438106949,0.764,0.214,2.82883359781373e-71
"PNOC",1.03242910996221e-75,5.81171557767929,0.387,0.013,3.47866664310666e-71
"FYB",1.90806106028714e-74,-4.49245914593688,0.05,0.848,6.42902093653148e-70
"HCST",6.65609536872444e-74,-4.28058201096882,0.141,0.867,2.24270477353801e-69
"RP11-693J15.5",3.56396570540038e-73,8.51289852326828,0.317,0.001,1.20084260477761e-68
"IGHV5-78",4.25580638473212e-73,8.28621357197683,0.317,0.001,1.43395140327164e-68
"COL19A1",5.74946608025025e-73,8.3216213778245,0.327,0.003,1.93722510107952e-68
"RP11-231C14.7",3.28631667711773e-72,5.59319928572315,0.392,0.018,1.10729154118805e-67
"MZB1",1.30087266503618e-71,6.35080572830553,0.352,0.009,4.38316035757292e-67
"BCL7A",1.44345804528618e-71,5.0803067853589,0.412,0.024,4.86358753778725e-67
"SRGN",5.7227679936761e-71,-4.44111971827554,0.166,0.843,1.92822944778923e-66
"HLA-DOA",4.58882747708642e-70,4.48505021002944,0.432,0.031,1.5461595301295e-65
"SEL1L3",7.5798068589066e-70,3.50431942048359,0.523,0.059,2.55394012303999e-65
"SNX22",2.43166212412747e-69,5.37369112749636,0.362,0.013,8.19324236103509e-65
"HLA-DRB1",2.53189007143996e-69,1.68848223480409,1,0.46,8.53095040670981e-65
"CLEC17A",3.48116298667312e-69,6.71864504415188,0.327,0.006,1.17294305672964e-64
"IGLC2",4.06943213829514e-69,7.56536971875142,0.317,0.004,1.37115446467717e-64
"KIAA0125",4.07714099722412e-69,7.25446330563824,0.307,0.002,1.37375188760469e-64
"MEF2C",4.196849058627e-69,2.98052824333929,0.759,0.21,1.41408632181378e-64
"STAP1",7.46699731469435e-69,4.72709998303302,0.387,0.019,2.51593007521312e-64
"TPD52",4.48048683797854e-68,3.12083751152391,0.608,0.1,1.50965523518849e-63
"HLA-DPA1",4.62346008666958e-67,1.80003856750201,0.995,0.501,1.55782864160245e-62
"LCN8",1.08517183054631e-66,6.30353788201024,0.322,0.007,3.65637796584274e-62
"S100A6",6.9748217026307e-66,-3.52966396438091,0.513,0.94,2.35009642448439e-61
"TMSB4X",4.93878348066266e-65,-1.03476114470026,0.995,0.999,1.66407370597447e-60
"BACH2",7.57471715467233e-65,3.68105209728456,0.578,0.103,2.55222519809529e-60
"IRF8",2.39126947128268e-64,3.04322592848201,0.678,0.17,8.05714335653988e-60
"HLA-DRB5",1.5305512617365e-63,1.71390892517968,0.965,0.402,5.15703942129498e-59
"FCGR2B",4.54490579958992e-63,3.42582984827178,0.523,0.076,1.53136056011383e-58
"EBF1",5.99312921189114e-63,6.49255632559928,0.291,0.004,2.0193249566546e-58
"CXCR5",1.93659998298814e-62,5.17657247174136,0.342,0.015,6.52517998268023e-58
"BCL11A",1.32420839861032e-61,4.36390196535342,0.412,0.037,4.46178777827761e-57
"PFN1",6.72362017626865e-61,-1.39002426023895,0.97,0.999,2.26545658219196e-56
"CPNE5",9.25100853949857e-61,5.17987005866847,0.322,0.012,3.11703481729865e-56
"PLEKHG1",1.90500786212262e-60,6.13310488535882,0.291,0.006,6.41873349063596e-56
"NCF1",2.75797810763002e-60,1.71986431198669,0.93,0.374,9.29273143584858e-56
"TLR10",8.11470216942488e-60,5.54902341598601,0.312,0.011,2.73416774896602e-55
"IGLL5",1.44008223381734e-59,8.09696682487903,0.286,0.006,4.85221307862414e-55
"C1orf186",3.99573625751547e-59,5.98540872758029,0.286,0.006,1.34632337460726e-54
"ANXA1",4.75507415201832e-59,-6.63653476055318,0.02,0.712,1.60217468478105e-54
"AC079767.4",4.05648614090048e-57,6.40120158793267,0.286,0.008,1.36679244031501e-52
"ITGB2",1.18525777479542e-56,-2.49068885306073,0.477,0.89,3.99360754639567e-52
"ID2",2.76000125012788e-56,-5.71758703929242,0.045,0.705,9.29954821218087e-52
"CNR2",7.20580974670025e-56,4.53424298905098,0.312,0.014,2.42792553605318e-51
"SNX2",9.40063722971791e-56,2.09628043218925,0.834,0.371,3.16745070818115e-51
"FCMR",5.64950546191611e-55,2.03147163258881,0.869,0.401,1.90354437033801e-50
"S100A10",8.6124421113248e-55,-2.72357223902987,0.367,0.884,2.90187624498978e-50
"GAPDH",2.99611830801516e-53,-1.65696093469177,0.794,0.984,1.00951210270263e-48
"GYLTL1B",3.29870769989426e-53,4.90858082961324,0.281,0.01,1.11146657240237e-48
"ACTG1",4.35240303288813e-53,-1.40031256103612,0.869,0.989,1.46649867790133e-48
"P2RX5",6.67035230486298e-53,4.24352404262913,0.337,0.024,2.24750850560053e-48
"HLA-C",1.86956656279737e-52,-1.18185718273887,0.96,0.989,6.29931757668946e-48
"SH3BGRL3",9.36275113059005e-52,-1.51701131982951,0.91,0.98,3.15468536594101e-47
"GIMAP4",1.95414326016074e-51,-6.11914957521825,0.02,0.654,6.5842903007856e-47
"CIITA",3.00831043499738e-51,3.34283864707906,0.482,0.086,1.01362011796802e-46
"FCRL2",3.73943359642153e-51,6.94999526871025,0.241,0.004,1.25996475597827e-46
"HLA-DMA",1.07504709671507e-50,1.85372572076848,0.834,0.311,3.62226368767175e-46
"SAMHD1",1.84924965215914e-50,-4.11299534989029,0.07,0.692,6.23086177798499e-46
"TCF4",4.68097546983881e-50,3.69614755911559,0.392,0.047,1.57720787480749e-45
"PCDH9",5.03904417030414e-50,6.75358639261356,0.241,0.005,1.69785554274228e-45
"ZYX",5.10956920514873e-49,-3.85390737175458,0.106,0.694,1.72161824798281e-44
"TYROBP",6.54112095117364e-49,-8.5598264803019,0.005,0.624,2.20396529328844e-44
"PLEKHF2",7.64251878014272e-49,2.846485886487,0.558,0.135,2.57507027778129e-44
"BACE2",9.13095992744487e-49,6.42106016127157,0.226,0.003,3.07658563795327e-44
"CDCA7L",1.05115978381266e-48,4.21536523490016,0.352,0.036,3.54177777557837e-44
"MARCH1",4.41815565666063e-48,2.49476364054943,0.623,0.18,1.48865336695523e-43
"HLA-DMB",2.56908921913349e-47,2.16848403344113,0.693,0.229,8.65628921494837e-43
"GIMAP7",7.43260609929263e-47,-4.85528446642452,0.04,0.641,2.50434229909566e-42
"QRSL1",1.02522231519539e-46,3.17918777176276,0.442,0.075,3.45438406881935e-42
"FCER1G",1.09026053366376e-46,-8.45424795371675,0.01,0.608,3.67352384212668e-42
"CTSD",1.88171107710541e-46,-3.90160811097054,0.126,0.69,6.34023730319895e-42
"ADAM19",1.21341970067875e-45,3.93021996315948,0.327,0.031,4.08849633946697e-41
"LCP2",1.3591570858144e-45,-4.33893405338568,0.06,0.642,4.57954388494305e-41
"RAB30",1.63398060258626e-45,3.84072123685694,0.332,0.033,5.50553424235414e-41
"CD200",3.19156668125156e-45,5.87582841747323,0.231,0.007,1.0753664775809e-40
"PPP1R14A",5.03829651032433e-45,5.63016645928517,0.226,0.006,1.69760362618868e-40
"TNFRSF13B",1.96776631610985e-44,7.02432484111843,0.196,0.001,6.63019182550052e-40
"CD180",6.6367455265953e-44,3.67105190037441,0.372,0.052,2.23618503773102e-39
"FCRL5",3.64119106995526e-43,7.52186318299425,0.196,0.002,1.22686291911073e-38
"SYPL1",1.28179484979079e-42,2.26046105601102,0.633,0.213,4.31887956688509e-38
"S100A11",3.06874426356137e-42,-4.3594987785094,0.171,0.672,1.03398269216437e-37
"RP5-887A10.1",7.66943063957408e-42,6.62217471013873,0.191,0.002,2.58413795969809e-37
"ACTB",1.22940158388832e-41,-1.14639256276587,1,1,4.14234569675329e-37
"RPS23",1.28682278188286e-41,0.605975938890756,1,0.999,4.3358206812761e-37
"BEND5",1.37801382683596e-41,4.58942967117678,0.246,0.014,4.64307978814107e-37
"STRBP",7.48878148894984e-41,3.74216167411862,0.327,0.039,2.52327003488676e-36
"VIM",2.15540610947848e-40,-1.77183852197322,0.739,0.911,7.2624253452768e-36
"DENND5B",2.52564615219491e-39,5.46666133447771,0.201,0.006,8.50991214520552e-35
"ADGRE5",2.57060062713898e-39,-3.51345002777888,0.131,0.64,8.66138175308208e-35
"TIMP1",1.50252172654607e-38,-5.87770201367056,0.025,0.549,5.06259670542434e-34
"RPL18A",1.50776548500147e-38,0.58631021825352,1,0.999,5.08026502516394e-34
"LCN10",2.58230596745096e-38,6.23086090157835,0.196,0.006,8.70082172672925e-34
"RASGRP3",2.71513316756581e-38,5.21112099278286,0.206,0.008,9.14836969479625e-34
"CD82",2.97979561825803e-38,2.58589669884715,0.487,0.12,1.00401233561586e-33
"EAF2",3.4098452427746e-38,2.67034654370139,0.528,0.155,1.14891325610047e-33
"GIMAP1",3.49927953491176e-38,-4.66037066830497,0.03,0.56,1.17904724649317e-33
"ZCCHC7",5.58295151787255e-38,2.45697639556744,0.603,0.217,1.88111968443198e-33
"GSTP1",8.93874162842452e-38,-2.44011451148273,0.447,0.788,3.01181960428136e-33
"C10orf54",2.09298157266028e-37,-3.4451396957686,0.141,0.629,7.05209211092154e-33
"MYL6",2.81365464183089e-37,-1.30509035248408,0.849,0.966,9.48032795018499e-33
"SELPLG",4.32019177588017e-37,-3.73382853944435,0.065,0.586,1.45564541696506e-32
"IFITM1",4.80572066361665e-37,-3.41780199583867,0.397,0.738,1.61923952039899e-32
"IGKV1-12",9.27731826487431e-37,2.38143862348918,0.251,0.021,3.12589961616675e-32
"STX7",1.09176800477453e-36,2.28215422039485,0.603,0.22,3.6786031152873e-32
"DOK2",1.55338792954517e-36,-4.47315787214372,0.05,0.556,5.23398528980948e-32
"IGHG3",2.37189422830503e-36,7.81867131949762,0.161,0.001,7.99186041285095e-32
"IFITM2",2.54821380879941e-36,-2.12981126462734,0.754,0.909,8.58595160736872e-32
"SNHG7",2.87601532488861e-36,1.7966414847564,0.744,0.376,9.6904460356797e-32
"CD52",4.30705298904511e-36,0.837777077942261,1,0.888,1.45121843412886e-31
"RP11-297B17.3",6.00145978636382e-36,5.80175668351291,0.171,0.003,2.02213186041743e-31
"GGA2",6.31588052634077e-36,2.56533929599559,0.477,0.127,2.12807278454526e-31
"TCTN1",9.99587412687559e-36,3.3110437080955,0.307,0.041,3.36800982830946e-31
"LINC00494",1.71103301138844e-35,8.35745476188776,0.151,0,5.76515462857222e-31
"AC022182.1",2.64293964503709e-35,4.43849467488377,0.211,0.012,8.90512083998798e-31
"CD7",2.77183643515796e-35,-5.6456773242609,0.035,0.531,9.33942568462123e-31
"WDFY4",4.2601353950052e-35,3.65950625148885,0.302,0.042,1.43541001999305e-30
"FLNA",4.81920271990949e-35,-2.09214920481641,0.332,0.747,1.6237821644463e-30
"SEMA4B",5.87392061528981e-35,3.42793572517017,0.317,0.048,1.97915881211575e-30
"CD3E",8.4350683842221e-35,-4.54971955739475,0.05,0.537,2.84211194137979e-30
"ARRB2",9.85864537418467e-35,-2.72596300579698,0.196,0.647,3.32177197237778e-30
"CFL1",1.0010567813863e-34,-0.917607027068968,0.95,0.984,3.37296071920301e-30
"SLC9A7",1.06857423074677e-34,4.34442288730188,0.226,0.017,3.60045401307818e-30
"MYO1F",1.49510932525288e-34,-3.52786589725861,0.106,0.584,5.03762136050707e-30
"MICAL3",1.55030623156626e-34,3.67613937881116,0.251,0.024,5.22360181663935e-30
"MT2A",2.03534768414668e-34,-4.5873576639185,0.075,0.551,6.85790048696383e-30
"HS3ST1",2.43825179017674e-34,8.64956046447566,0.146,0,8.21544558182152e-30
"TPI1",3.81488163665306e-34,-1.54314064204316,0.508,0.841,1.28538621865388e-29
"KLHL14",4.69665024665117e-34,7.44291796785619,0.151,0.001,1.58248933410664e-29
"AKAP2",5.58023799803537e-34,3.52087785288592,0.256,0.026,1.88020539105804e-29
"ID3",6.82411029232162e-34,2.50354434964297,0.392,0.078,2.29931572189485e-29
"RPS5",7.47222708287731e-34,0.663417786612363,0.995,0.987,2.51769219330468e-29
"LTB",1.30941809574426e-33,1.10821176348552,0.93,0.58,4.4119533318007e-29
"ADK",1.63431956458428e-33,2.45890041792581,0.543,0.187,5.50667634091026e-29
"NEAT1",2.25954309627253e-33,-2.90887261200864,0.412,0.755,7.61330450858067e-29
"RPS8",2.42063750524548e-33,0.546623759182481,1,1,8.15609601017411e-29
"CXCR4",3.28835310611687e-33,1.91747709957979,0.719,0.329,1.10797769557502e-28
"SMIM14",3.87626042258798e-33,2.35759029895742,0.528,0.179,1.30606718678679e-28
"CCDC50",4.13286265543998e-33,3.20581066882548,0.302,0.044,1.39252674312395e-28
"UGT8",7.11433666724711e-33,6.89507352350954,0.146,0.001,2.39710459666224e-28
"RP11-689B22.2",9.70450521914211e-33,5.2821964553919,0.181,0.008,3.26983598853774e-28
"IGHA1",1.7275860293582e-32,6.21697517668793,0.176,0.007,5.82092836731952e-28
"IL32",2.26715478448131e-32,-4.85154438851266,0.06,0.519,7.63895133083132e-28
"RARRES3",6.64594452561291e-32,-2.9931994581767,0.176,0.623,2.23928454846001e-27
"TSPO",7.68623379160711e-32,-2.56968858890139,0.322,0.716,2.5897996137441e-27
"CTSC",8.05429082898245e-32,-3.10908497327509,0.126,0.585,2.71381275191735e-27
"LGALS1",8.13758383277133e-32,-3.3098826029582,0.156,0.594,2.74187749661397e-27
"KHDRBS2",1.56882538464513e-31,5.03605975462896,0.176,0.008,5.28600025102329e-27
"ITM2C",4.02657503530364e-31,2.93059343377626,0.377,0.085,1.35671419239521e-26
"IFT57",5.58228610348509e-31,2.56008378142019,0.452,0.129,1.88089547970827e-26
"CD247",1.0437171528371e-30,-5.9842249450147,0.025,0.474,3.51670057476933e-26
"OSBPL10",2.68385387964387e-30,3.5113909908557,0.231,0.024,9.04297726207204e-26
"B2M",2.95957079326733e-30,-0.653314347407511,1,0.999,9.97197783083493e-26
"MACROD2",3.6595408880873e-30,5.49273928503382,0.146,0.003,1.23304570683213e-25
"CEBPD",5.11136781234775e-30,-7.2884660418443,0.01,0.451,1.72222427069245e-25
"PHACTR1",1.04367188141687e-29,2.94818398868858,0.367,0.085,3.51654803724599e-25
"SNX3",1.16899292073106e-29,1.27467999766446,0.869,0.588,3.93880474711124e-25
"AIF1",1.23877572317367e-29,-6.76111589531014,0.045,0.477,4.17393092166135e-25
"CST3",2.0379007174651e-29,-9.91118644348973,0.01,0.444,6.86650267742692e-25
"ARPC1B",2.82334801886818e-29,-1.22427908096593,0.784,0.92,9.51298881477444e-25
"IGLV1-47",3.63042043450938e-29,7.87546386214761,0.136,0.002,1.22323386120359e-24
"CD69",4.88534028207732e-29,1.4840423905751,0.884,0.562,1.64606655464313e-24
"IGHG1",5.08473102325658e-29,6.21537733806971,0.146,0.004,1.71324927097607e-24
"RP11-731F5.2",5.68996831601018e-29,5.16369141530926,0.151,0.005,1.91717792439647e-24
"SNX29",5.70880953142266e-29,2.12950225244289,0.513,0.179,1.92352628351755e-24
"TMEM243",6.34667961392065e-29,1.69978990940611,0.648,0.296,2.13845022911442e-24
"DERL3",7.00159149724197e-29,4.76988173191516,0.151,0.005,2.35911623908071e-24
"REL",1.94037467142583e-28,1.40459413561751,0.809,0.537,6.5378984179022e-24
"SERF2",2.63308615559923e-28,-0.82186487849497,0.96,0.991,8.87192049267605e-24
"CTSW",4.6523372511412e-28,-7.41224090227247,0.02,0.439,1.56755851339952e-23
"SP100",5.07759887618948e-28,1.31749209575409,0.794,0.495,1.71084616534328e-23
"RP11-624C23.1",5.26832891880464e-28,6.05226061350224,0.136,0.003,1.77511074590203e-23
"SPN",5.75871302723493e-28,-5.58532552530762,0.025,0.443,1.94034076739654e-23
"RPL12",7.01761500699842e-28,0.474083883786085,1,1,2.36451520045805e-23
"LAPTM5",7.85776833343348e-28,0.820241981868099,0.98,0.95,2.64759646226708e-23
"CAMK2D",9.95706954629208e-28,2.22027921019553,0.447,0.136,3.35493501292765e-23
"C16orf74",2.2709266008433e-27,3.04747499295667,0.312,0.064,7.65166008888142e-23
"EZR",2.79550421075071e-27,1.42642732938858,0.764,0.46,9.41917188770343e-23
"TCEB2",4.90044068695399e-27,-1.30421856806341,0.573,0.852,1.65115448506228e-22
"EFHD2",6.2812620058663e-27,-3.124916897348,0.111,0.525,2.11640842025659e-22
"IGHV3-23",1.15338047559388e-26,6.79487207534484,0.166,0.011,3.88620017446601e-22
"ABRACL",2.04528639709471e-26,-2.0048861639457,0.211,0.632,6.8913879863709e-22
"RGS10",2.1441733086546e-26,-2.42280530383057,0.161,0.573,7.22457754618081e-22
"TMEM154",2.46175126004274e-26,1.89645663807006,0.508,0.181,8.29462469558801e-22
"TMEM156",2.95567282019505e-26,2.41865386473776,0.312,0.062,9.95884400036519e-22
"LEPROTL1",3.2241596728734e-26,-2.91292033855766,0.095,0.511,1.08634836017796e-21
"PTPRK",7.38022863733818e-26,4.90233340699033,0.146,0.007,2.48669423706472e-21
"CCR6",8.35486184311661e-26,2.31424513727432,0.271,0.046,2.81508714941971e-21
"IGHG2",9.14565419001995e-26,10.0079815548208,0.121,0.002,3.08153672278532e-21
"RPSA",1.25604212408784e-25,0.622555337056705,0.99,0.975,4.23210833290157e-21
"ALOX5",2.06829573917186e-25,1.91355852618606,0.523,0.215,6.96891566356565e-21
"USP6NL",2.24855212590499e-25,4.5195368638754,0.181,0.017,7.57627153302428e-21
"SERPINA1",3.34902573369945e-25,-9.0679322616993,0.005,0.391,1.12842073071269e-20
"FCN1",3.40601193168027e-25,-8.6170046466187,0.005,0.391,1.14762166026035e-20
"UQCR11",3.41585155558607e-25,-1.18709952197555,0.578,0.854,1.15093702313917e-20
"FAM177B",3.63123950483974e-25,8.00580924571607,0.106,0,1.2235098387607e-20
"LYZ",4.50307866300296e-25,-8.51854170476941,0.03,0.414,1.51726732471222e-20
"IGHV3-30",4.93184866022404e-25,7.22884074665543,0.146,0.008,1.66173708757589e-20
"LY86",5.10298161523856e-25,1.55347437090346,0.588,0.256,1.71939862543848e-20
"NUP58",5.23323674431758e-25,1.80313037258574,0.618,0.314,1.76328678863037e-20
"BIN2",5.43411622996413e-25,-1.67802817602091,0.332,0.709,1.83097112252411e-20
"CHPT1",5.91843501080805e-25,1.98783277975251,0.447,0.149,1.99415749254166e-20
"CD300A",6.92128631900494e-25,-5.44790436752704,0.015,0.401,2.33205821232552e-20
"EEF2",7.6662834811769e-25,0.573263833889478,1,0.965,2.58307755614774e-20
"BIRC3",9.14318771377143e-25,2.15183049089647,0.482,0.179,3.08070566827815e-20
"ISG20",1.11607749418768e-24,1.33019465117216,0.729,0.41,3.76051150891597e-20
"ITM2B",1.2307305657732e-24,-0.880720553487777,0.819,0.943,4.14682356831623e-20
"ABCB4",1.43240657086402e-24,5.16531047118601,0.131,0.005,4.82635069986924e-20
"LAT",1.67824855090638e-24,-3.82102108567235,0.045,0.435,5.65469066742397e-20
"SYNGR2",1.806076947157e-24,1.15825189648555,0.824,0.506,6.08539566575078e-20
"AOAH",1.83974205166153e-24,-7.78199798487622,0,0.377,6.19882686886836e-20
"AIM2",2.80837219266975e-24,3.85894348183817,0.171,0.015,9.46252926598145e-20
"ATP5E",3.3591854106622e-24,-0.798455373910044,0.93,0.978,1.13184393226852e-19
"FCGR3A",3.58382454785852e-24,-7.56395842639508,0.005,0.379,1.20753384315545e-19
"IL4R",3.70603745261385e-24,2.89623002574817,0.432,0.158,1.24871225928371e-19
"ITGAL",3.80490381449095e-24,-2.9602321319034,0.106,0.495,1.28202429125458e-19
"CLIC4",4.59025905166917e-24,3.18880164405959,0.246,0.043,1.54664188486941e-19
"FCHSD2",4.72100899208443e-24,2.31731906809205,0.387,0.114,1.59069676979293e-19
"NKG7",4.74715485513049e-24,-8.61809624965716,0.01,0.384,1.59950635688767e-19
"FOXP1",6.12421464721562e-24,1.33651770116552,0.739,0.477,2.06349288323283e-19
"IKZF3",6.38871952285106e-24,1.59297262190906,0.533,0.193,2.15261515602943e-19
"BTK",6.68604164855299e-24,1.98614723523878,0.452,0.161,2.25279487306344e-19
"SLC9A3R1",7.49469853943899e-24,-2.24429197242572,0.251,0.625,2.52526372587857e-19
"IRF4",7.57698602974882e-24,3.68208368224079,0.196,0.024,2.55298967286357e-19
"RPL8",7.791188482668e-24,0.442478982484022,1,0.998,2.62516304735016e-19
"TNFRSF1B",9.17774507115109e-24,-3.17949941016663,0.121,0.494,3.09234942427365e-19
"PRELID1",9.7077450946014e-24,-1.7630565950344,0.452,0.724,3.270927632175e-19
"EMP3",1.01913791075763e-23,-1.0215892126678,0.709,0.892,3.43388327650675e-19
"CFP",1.1894171871477e-23,-6.95000152391397,0.005,0.373,4.00762227037546e-19
"SIPA1L3",1.33154831972229e-23,2.50900227526785,0.307,0.071,4.4865189084723e-19
"GZMM",1.35279555792893e-23,-5.49555013647222,0.025,0.395,4.55810935288575e-19
"GMFG",1.50312056457537e-23,-1.0939829598118,0.593,0.854,5.06461443028024e-19
"UVRAG",1.55566977131399e-23,1.76098789385208,0.508,0.207,5.24167372746537e-19
"CD83",1.75002602015225e-23,1.38777748724292,0.729,0.412,5.89653767230098e-19
"AGTRAP",1.81155825716577e-23,-3.04128612716336,0.106,0.486,6.10386439169434e-19
"LGALS3",2.08155189874241e-23,-5.07569654228986,0.035,0.403,7.01358096762267e-19
"ARHGAP17",2.18947694192009e-23,1.8665385420913,0.528,0.238,7.37722360810554e-19
"JAML",2.28574026720826e-23,-5.19940520195816,0.015,0.384,7.7015732563315e-19
"KIAA0040",2.38644245073417e-23,2.46648723253283,0.337,0.089,8.0408791935037e-19
"FGD2",2.70032914931826e-23,1.98724139423085,0.447,0.158,9.09848903571295e-19
"GUCD1",3.05901152811529e-23,2.216534055402,0.402,0.134,1.03070334428317e-18
"PXN",3.22398642906957e-23,-5.07946156653864,0.02,0.386,1.0862899874107e-18
"CFD",3.95967755605221e-23,-5.68912424521002,0.02,0.384,1.33417375573623e-18
"RAP1B",4.29244407233348e-23,-1.7082608692393,0.387,0.705,1.44629610573204e-18
"LST1",4.38020415362177e-23,-5.16285180279547,0.101,0.454,1.47586598752132e-18
"CARD16",5.93886226758808e-23,-2.11054458449348,0.251,0.592,2.00104025244113e-18
"RPL15",7.56099267432163e-23,0.425793986996798,1,0.997,2.54760087168593e-18
"CD3D",8.02761845711231e-23,-4.51956511265128,0.03,0.395,2.70482576293942e-18
"LCK",8.2348189459571e-23,-2.5744620467637,0.156,0.52,2.77463989565078e-18
"FAM3C",1.00848460038368e-22,2.49392479185387,0.327,0.084,3.39798801253279e-18
"HIP1R",1.04469557648537e-22,2.83837167545733,0.271,0.058,3.51999727540979e-18
"S100A9",1.09266560799254e-22,-7.94189371043012,0.035,0.392,3.68162749957008e-18
"COX8A",1.43172683931693e-22,-1.45405835874598,0.447,0.739,4.82406041239448e-18
"WDR34",1.9239258481405e-22,3.48158248060556,0.181,0.021,6.4824757527246e-18
"GLRX",2.08772021446859e-22,-2.01295003095052,0.196,0.576,7.03436449063046e-18
"FGL2",2.11796960161137e-22,-4.58011812168809,0.015,0.374,7.13628677566935e-18
"ALDOA",2.19572518707738e-22,-1.11843952430113,0.804,0.899,7.39827644533854e-18
"DBNDD1",2.50058144740188e-22,5.1675764941475,0.116,0.004,8.42545912887589e-18
"TGFB1",2.58708865116327e-22,-1.77938232875491,0.261,0.647,8.71693650122951e-18
