"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VCAN",7.79629446084095e-205,4.82545968214162,0.937,0.109,2.62688345563575e-200
"S100A12",1.81917077364466e-204,5.84805066693297,0.881,0.069,6.12951400471833e-200
"S100A8",1.07314070169858e-190,5.0241808279407,0.988,0.222,3.61584028030319e-186
"LYZ",3.10952843026902e-186,3.80169654041042,0.994,0.269,1.04772450929484e-181
"S100A9",5.53715418939366e-186,4.76760002837422,0.994,0.25,1.8656887325743e-181
"MNDA",5.10079496862367e-168,3.42921170135569,0.967,0.226,1.71866185672806e-163
"CD14",1.94566693528994e-166,4.22131897042484,0.827,0.097,6.55573017176592e-162
"GPX1",7.75025062710361e-151,2.88111224800954,0.988,0.5,2.61136944629629e-146
"MS4A6A",2.4805877230086e-144,3.46650788205392,0.818,0.125,8.35809227390519e-140
"CSTA",3.90001748185156e-143,3.30190807030138,0.899,0.211,1.31407189033507e-138
"CSF3R",4.25268647438089e-127,3.75120642456111,0.743,0.121,1.4329001806779e-122
"S100A6",3.1095406940317e-125,1.99559932498469,1,0.853,1.04772864144704e-120
"FCN1",1.31200958738339e-121,2.23365939337304,0.964,0.249,4.42068510372959e-117
"CTSS",2.41476126940891e-120,2.25851964073575,0.991,0.511,8.13629662114637e-116
"TSPO",4.90807905232493e-118,2.09968428271323,0.982,0.609,1.65372815589036e-113
"LGALS2",2.8419950019797e-115,3.83787344146709,0.63,0.065,9.57581795967042e-111
"CD36",7.94884103425479e-115,3.6743001258358,0.699,0.117,2.67828249808181e-110
"GRN",6.36688869641502e-111,2.50853579866998,0.881,0.318,2.14525947737008e-106
"LGALS1",7.29031348470806e-108,2.05353068454636,0.985,0.463,2.45639822553753e-103
"MT-ND4L",8.47634198766443e-108,-1.70695642318105,0.919,0.993,2.85601866932365e-103
"RP11-1143G9.4",2.08763727027093e-107,4.52542418371421,0.558,0.048,7.03408501845088e-103
"TYROBP",3.6156967519122e-104,1.71932078023911,1,0.461,1.2182728635893e-99
"TYMP",4.02549994377133e-104,2.20981727932827,0.928,0.336,1.35635195105431e-99
"MGST1",8.28874499802739e-101,4.35624266998775,0.513,0.039,2.79280973963535e-96
"PTPRCAP",2.10836986329314e-100,-6.93625196836307,0.018,0.746,7.10394141737991e-96
"CST3",2.78406960047472e-97,1.76462987648968,1,0.292,9.38064411183953e-93
"IFITM1",5.97118980706821e-97,-5.81471134192224,0.06,0.76,2.01193269359356e-92
"EVL",1.89670855839059e-96,-3.22677828023224,0.209,0.845,6.39076981664127e-92
"S100A4",1.25367705988747e-95,1.44422222664704,1,0.79,4.22413948558485e-91
"MT-ATP8",2.22126569606715e-95,-1.71238930721156,0.555,0.961,7.48433263632864e-91
"RGS2",1.99768533879057e-93,2.3422742093453,0.89,0.369,6.73100098052096e-89
"TNFSF13B",2.5852279696899e-93,2.76474367671603,0.734,0.19,8.71066712107316e-89
"PLBD1",1.72379310386004e-90,3.54797853758983,0.591,0.099,5.80814848414601e-86
"AP1S2",2.68906666148061e-90,2.32999260571929,0.863,0.381,9.06054120919276e-86
"BLVRB",7.89974010832398e-90,2.83830276031593,0.719,0.194,2.66173843209868e-85
"CD302",7.2858134848858e-89,2.69033553177911,0.713,0.177,2.45488199559742e-84
"NEAT1",1.08276756878973e-88,1.72870625954512,1,0.66,3.6482770462801e-84
"FGL2",1.31273332623107e-86,2.03706762408909,0.842,0.25,4.42312366940298e-82
"H3F3A",3.21203833102087e-85,1.11762502617192,0.994,0.96,1.08226419525417e-80
"EEF1A1",8.3000756473475e-83,-1.01948725432275,1,1,2.79662748861727e-78
"S100A11",5.09934863611257e-82,1.52416351179132,0.994,0.539,1.71817452945177e-77
"HSPA8",7.58722787833329e-82,-1.8683973707469,0.573,0.939,2.55644056132562e-77
"TKT",2.14265474196903e-81,1.81502038109117,0.916,0.495,7.21946088759045e-77
"RBP7",5.44653657386932e-81,3.63396600241194,0.549,0.096,1.83515603319953e-76
"HLA-E",9.36915784780877e-80,-1.22876707010886,0.887,0.99,3.15684404524069e-75
"CFD",4.37786233238492e-79,1.82878582980303,0.839,0.257,1.47507693427378e-74
"CFP",9.1159824570575e-79,1.94667706008896,0.803,0.246,3.07153912908095e-74
"TALDO1",1.03042270904745e-78,1.94405463577341,0.878,0.508,3.47190627586447e-74
"GAPDH",1.3062665021523e-78,1.16192115203982,0.994,0.946,4.40133435235195e-74
"KCTD12",7.58976915041952e-78,3.19986887277622,0.57,0.115,2.55729681754235e-73
"NCF2",1.95943450420592e-77,2.29701434428856,0.74,0.214,6.60211861847144e-73
"GSTP1",2.25442632192063e-77,1.40579953725385,0.973,0.702,7.59606404907938e-73
"EEF1G",2.56824958654797e-76,-2.00236945441244,0.457,0.896,8.65346015691473e-72
"IL1B",1.64384944744628e-75,2.50477378396067,0.621,0.135,5.5387863282255e-71
"RPS4Y1",9.706463432198e-75,3.74512709310833,0.418,0.037,3.27049578884479e-70
"S100A10",8.97081842392183e-74,1.66014716571115,0.961,0.771,3.02262755975622e-69
"FCGRT",2.2520017269243e-73,2.07315002761296,0.776,0.288,7.58789461869872e-69
"CXCL8",3.46487236302149e-73,3.12095965350047,0.585,0.127,1.16745409399646e-68
"RNF130",1.14897203673529e-72,2.02146064059269,0.788,0.302,3.87134638057589e-68
"OAZ1",4.12396405942428e-72,1.03967524623887,0.997,0.935,1.38952845018242e-67
"LST1",5.916308739952e-72,1.02807930448542,0.991,0.321,1.99344106683943e-67
"CPVL",1.46777834155346e-71,2.08117880700947,0.716,0.201,4.94553234403024e-67
"CYBA",2.80870686026231e-71,1.03758832478159,0.997,0.927,9.46365689496782e-67
