"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD3D",1.17867863598165e-110,2.1851875624692,0.864,0.231,3.97143979607657e-106
"RPS27",1.2379100418015e-110,1.13839164315647,1,0.999,4.17101409484597e-106
"RPS3",3.06457439373271e-110,0.903998219597791,1,0.996,1.0325776962243e-105
"CD8B",4.89846703161757e-105,4.38000319817981,0.547,0.05,1.65048948163322e-100
"RPS14",4.32261511577558e-104,0.79225084733738,1,0.999,1.45646193710942e-99
"RPS15A",4.44401585068768e-102,0.749736543568143,1,0.999,1.49736670073071e-97
"RPS3A",7.63931174514107e-102,0.937647832717722,1,0.997,2.57398969940783e-97
"RPL34",1.73403242909113e-100,0.886971040362369,1,0.999,5.84264886657964e-96
"TCF7",3.63471756522721e-98,2.54974553585116,0.721,0.165,1.22468173642766e-93
"RPS25",1.22103460318898e-96,0.917799081772296,1,0.993,4.11415399198495e-92
"RPS6",3.67780519046299e-96,1.10367217252874,1,0.996,1.2391996808746e-91
"CD3E",8.08168525025856e-95,1.64307272736255,0.955,0.335,2.72304302822212e-90
"RPS18",1.01057172709528e-94,0.976641969175275,1,0.992,3.40502037727483e-90
"RPS27A",1.14163086322111e-94,0.765617245600252,1,0.999,3.84661103053722e-90
"RPLP2",1.2187807907379e-94,0.873930746098681,1,0.998,4.10655999631227e-90
"RPL3",1.28378115926475e-94,1.03435569502041,1,0.991,4.32557223802664e-90
"RPL21",2.56574365707284e-89,1.4036928383204,1,0.992,8.64501667814121e-85
"RPL23A",3.68713555556776e-88,1.01816853569258,1,0.993,1.242343454093e-83
"RPS29",6.51214511744992e-88,2.02917164027187,0.998,0.946,2.19420217587357e-83
"LEF1",1.16697624097213e-86,3.08406722780101,0.577,0.099,3.93200974633149e-82
"RPL13",4.05660763107327e-84,0.773745429262324,1,1,1.36683337521383e-79
"RPL32",1.79846622223123e-83,0.779621012628382,1,1,6.05975208918592e-79
"CD3G",1.13242599784227e-82,2.21871083205724,0.678,0.162,3.81559615712974e-78
"RPS2",9.38707238977768e-81,0.824063137188953,1,0.999,3.16288017101169e-76
"CD74",2.12956897506242e-79,-3.43068895006235,0.8,0.952,7.17536970457532e-75
"LDHB",2.44512873140048e-79,1.66398962365597,0.897,0.571,8.23861674758079e-75
"CD27",5.65445577504042e-79,2.34809543201462,0.667,0.177,1.90521232884212e-74
"RPL9",3.16807147231177e-78,0.901869325604061,1,0.984,1.06745000188073e-73
"RPL36",4.29777149671259e-78,0.738804489149592,1,0.994,1.44809112810234e-73
"RPL31",5.71071765906339e-76,1.6633744350071,0.993,0.945,1.92416920804482e-71
"HLA-DRB5",1.2087742129807e-74,-4.89954797882291,0.059,0.586,4.07284383321717e-70
"RPL41",8.88025441580317e-73,0.828771918682704,1,1,2.99211292286072e-68
"RPS28",1.80232129890915e-72,0.581883060785386,1,0.999,6.07274138454448e-68
"LYN",3.62546724984318e-72,-4.38955949619124,0.049,0.576,1.22156493516216e-67
"CYBA",5.27001290398568e-72,-1.27181902971857,0.85,0.97,1.77567814786894e-67
"RPS12",4.76324238323767e-70,0.726010652182789,1,1,1.6049268886081e-65
"RPL10A",7.1210870093122e-70,0.795825247875322,0.998,0.979,2.39937905691765e-65
"TRAC",7.61763683055867e-70,2.86413233966439,0.601,0.164,2.56668655368844e-65
"RPL35A",1.59370359224642e-69,0.648598328951445,1,0.998,5.36982488371508e-65
"RPS16",2.59453686003729e-69,0.698803939131969,1,0.993,8.74203249620966e-65
"RPS5",4.68187999559485e-69,0.782273699508623,1,0.986,1.57751264571573e-64
"RPL38",5.75795151314671e-69,1.1931777384293,0.981,0.937,1.94008418283965e-64
"TYROBP",1.81585985710503e-68,-4.11098597724963,0.162,0.62,6.11835820252969e-64
"RPS15",1.89049866723084e-68,0.539866941570321,1,1,6.3698462093676e-64
"RPL13A",3.69578161975214e-68,1.72938600985389,0.995,0.969,1.24525665895929e-63
"HLA-DRA",2.56889433325538e-65,-4.25974537103243,0.239,0.647,8.65563256647069e-61
"ARPC3",5.95782465682919e-65,-1.20972151868229,0.826,0.953,2.00742943987203e-60
"GABARAP",8.8278224957809e-65,-2.09339811786402,0.521,0.855,2.97444651172842e-60
"PSAP",1.07319046892115e-64,-3.13792934004394,0.432,0.781,3.61600796598292e-60
"HLA-DRB1",2.00613417638338e-64,-3.93949280924055,0.265,0.656,6.75946849390618e-60
"MALAT1",5.69602303393426e-63,1.1853616476922,1,1,1.91921800105381e-58
"RPS4Y1",2.08858753684345e-61,3.68542552357512,0.362,0.035,7.03728684664033e-57
"RPL11",3.3351521678095e-61,0.583795544957498,1,1,1.12374617142173e-56
"S100A11",2.969003603677e-60,-3.16828244591389,0.275,0.682,1.00037607422293e-55
"SPI1",4.0275613212364e-60,-5.88492588201955,0.026,0.48,1.35704651157739e-55
"RPL10",5.27614595538608e-60,0.518847148754605,1,0.999,1.77774461820779e-55
"FGR",8.03101246791063e-60,-2.79669067414241,0.134,0.605,2.70596934093781e-55
"NPM1",1.18743202986508e-59,0.999175439825654,0.981,0.864,4.00093348142741e-55
"MT-CO1",2.4268575084881e-59,-0.627300254214979,1,0.999,8.1770536890998e-55
"RPL14",2.87260691056045e-59,0.635567964328665,1,0.996,9.67896172444237e-55
"RPL19",4.00008464268118e-59,0.544075666122677,1,1,1.347788519505e-54
"MT-CO2",5.50312793610469e-59,-0.660945454613843,0.998,0.999,1.85422392679112e-54
"LSP1",8.08514701889245e-59,-1.26892442963485,0.777,0.928,2.72420943654562e-54
"FTH1",1.14462482768069e-58,-2.05621222677434,0.991,0.997,3.85669889438732e-54
"CLIC1",5.85738574920058e-58,-1.32900739294472,0.5,0.898,1.97358755433564e-53
"HLA-DPA1",6.55254006304182e-58,-3.43317431317172,0.312,0.68,2.20781284884131e-53
"RPL5",1.29515743862761e-57,0.697168730004939,0.995,0.991,4.36390347371186e-53
"FCER1G",5.42280106203327e-57,-3.50088225459455,0.178,0.585,1.82715858984149e-52
"CCR7",1.56213804623253e-56,2.50951588139191,0.5,0.126,5.2634679329759e-52
"KLF4",4.98522592252873e-56,-5.14141783193107,0.049,0.482,1.67972202233683e-51
"CYBB",5.87854290390472e-56,-6.6369014504869,0.009,0.439,1.98071624604166e-51
"IL32",2.71331377747562e-55,1.01287176403513,0.918,0.342,9.14223944182636e-51
"IL7R",7.39202766928108e-55,0.884870789549483,0.73,0.22,2.49066980288757e-50
"RPS4X",1.85677342059262e-54,0.587579653379591,1,0.999,6.25621236334476e-50
"RPL4",9.669781132038e-54,0.787044862785932,0.988,0.962,3.25813605462888e-49
"RPS20",1.37060450030245e-53,1.82276241553298,0.934,0.805,4.61811480331906e-49
"RPL27",2.90482983998739e-53,0.767604503031923,0.995,0.975,9.78753366285352e-49
"LCK",2.5821109773924e-52,1.19486236653798,0.826,0.371,8.70016472722595e-48
"CD8A",3.26470603973347e-52,2.03635647717871,0.533,0.146,1.10001005302779e-47
"RPL39",6.78222135772271e-52,0.511353777230634,1,0.998,2.28520166427109e-47
"RP11-291B21.2",9.49374307158716e-52,4.68602073500009,0.258,0.011,3.19882179054058e-47
"NELL2",1.15560802186327e-51,3.09704112404002,0.376,0.062,3.89370566886611e-47
"RNASEK",1.81684655598407e-51,-1.53789534070564,0.387,0.779,6.12168278573272e-47
"RPL37A",1.93724481911589e-51,0.726083031267057,1,0.987,6.52735269352906e-47
"RPL35",2.43725730272856e-51,0.730765209742914,1,0.988,8.21209475581362e-47
"AHNAK",3.4803795606414e-51,-1.72880299713984,0.333,0.747,1.17267908916251e-46
"OXNAD1",4.63820727173016e-51,2.46187809914289,0.477,0.125,1.56279755813676e-46
"CTSS",6.72347609080439e-51,-3.41397673715729,0.296,0.652,2.26540803403563e-46
"IFI30",3.02293996401881e-50,-6.81521221992855,0.009,0.405,1.0185493914765e-45
"ATP6V0C",3.30944974550674e-49,-1.96459415868387,0.3,0.698,1.11508599725104e-44
"CD83",3.3433140729417e-49,-3.00626971215273,0.12,0.53,1.12649624373698e-44
"RPSA",4.13011843280989e-49,0.652496727994786,0.998,0.972,1.39160210475097e-44
"H3F3A",5.22405043147344e-49,-1.0498478312694,0.923,0.973,1.76019155238066e-44
"NOSIP",6.36835113684118e-49,1.51156755658742,0.742,0.439,2.14575223204727e-44
"LGALS1",1.26269688409213e-48,-2.48889560450522,0.232,0.617,4.25453088126002e-44
"RHOA",2.40652159291983e-48,-1.01817394018937,0.763,0.929,8.10853385518408e-44
"ANXA2",3.57814299488203e-48,-2.33774360534316,0.202,0.612,1.20561950069555e-43
"S100A4",4.88186304980307e-48,-1.68318342810655,0.779,0.85,1.64489493600065e-43
"ZEB2",9.58499619005412e-48,-2.64373331471647,0.087,0.511,3.22956861627684e-43
"LGALS3",2.19249973124648e-47,-4.82406082585186,0.035,0.421,7.38740859446189e-43
"CD68",2.63454417411365e-47,-6.2115585837388,0.014,0.392,8.87683314025852e-43
"POU2F2",4.62607552066842e-47,-2.76749110293556,0.138,0.535,1.55870988593402e-42
"CTSH",7.75783466625933e-47,-3.76579664254519,0.038,0.432,2.61392481244942e-42
"RPL7",8.39840823120528e-47,1.34453907968799,0.984,0.962,2.82975966942231e-42
"SERPINA1",1.18536424550855e-46,-6.32094025469326,0.028,0.402,3.99396628881652e-42
"EEF1A1",1.37236928673592e-46,0.555933298417965,1,1,4.62406107472802e-42
"LAT2",4.70514763460332e-46,-3.73034071415379,0.042,0.431,1.58535244400324e-41
"RPS19",7.31500264763365e-46,0.502539160898896,1,0.999,2.46471699209368e-41
"HCK",7.32545658552541e-46,-5.82512805989873,0.009,0.38,2.46823934192693e-41
"GSTP1",1.06315969857856e-45,-1.82873825198114,0.533,0.775,3.58221028839059e-41
"RPL27A",1.54221338736724e-45,1.95114940921909,0.958,0.866,5.19633378739519e-41
"MAL",2.77867565901555e-45,2.47949672371963,0.392,0.083,9.36246976548701e-41
"SH3BGRL3",2.96455986154046e-45,-0.903651903529481,0.944,0.976,9.98878799747442e-41
"GLTSCR2",3.62954171410909e-45,0.949346543737468,0.93,0.796,1.22293778515192e-40
"RPL37",5.1663515622283e-45,0.493620285066327,1,1,1.7407504953772e-40
"LCP1",5.68247263569685e-45,-1.14494673760659,0.61,0.866,1.9146523298717e-40
"ACTB",1.08679836721097e-44,-0.843349562137134,1,1,3.66185841848065e-40
"SARAF",1.09117066626854e-44,0.832139118298419,0.955,0.895,3.67659044292523e-40
"CAMK4",2.61696978088149e-44,2.0740527741193,0.484,0.143,8.81761797970211e-40
"NCF2",4.60544940006825e-44,-7.75774051946323,0.002,0.356,1.55176012085899e-39
"FAM26F",1.17982821953267e-43,-4.87065522580047,0.023,0.385,3.97531320289336e-39
"RPL18A",1.82928329002199e-43,0.473905281449693,1,0.999,6.1635871174001e-39
"CEBPD",2.06653963906056e-43,-3.22041596941498,0.075,0.458,6.96299865985065e-39
"GNAI2",3.02967800049962e-43,-2.05153272115634,0.268,0.627,1.02081970548834e-38
"OAZ1",4.60406097621321e-43,-1.09683235667281,0.923,0.958,1.55129230532528e-38
"LAT",5.92398434752923e-43,1.31033313801618,0.688,0.286,1.9960272860565e-38
"RPL26",1.02790234793975e-42,0.387316426162397,1,0.998,3.46341417114821e-38
"MNDA",3.10735653094449e-42,-5.26163106030779,0.026,0.38,1.04699270953644e-37
"SYNGR2",4.93776216008099e-42,-2.02395932836303,0.242,0.614,1.66372958221769e-37
"FGL2",5.67626886274942e-42,-4.51489876804625,0.031,0.384,1.91256203061479e-37
