"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FRY",0.000656470429423299,-1.36415486452189,0.012,0.053,1
"PLEKHM2",0.000657028308208821,-0.80498434951439,0.035,0.089,1
"TRMT5",0.000657291593702328,-2.22306903865577,0.002,0.034,1
"NIP7",0.000659715001230216,1.29548060938529,0.142,0.088,1
"KCNMB1",0.000660921440492069,-2.09937992257226,0.005,0.039,1
"SNAI1",0.000661594637298987,-1.37086099003451,0.027,0.077,1
"TRAM1",0.000661712245904162,0.567132395507112,0.459,0.438,1
"INADL",0.000664494032871964,-1.50325767329725,0.017,0.061,1
"SLC16A5",0.000664565965122524,-2.30222012300991,0.005,0.039,1
"RPE",0.000667846356688753,1.62179788251027,0.097,0.051,1
"TMEM55A",0.00066945266586309,-0.622123233089572,0.037,0.093,1
"GNA13",0.000669732512258174,-0.367691660400043,0.102,0.186,1
"BTN3A1",0.000670509654218869,0.820753168020393,0.217,0.152,1
"DHRSX",0.000672805243808413,-0.528631007159735,0.09,0.164,1
"BAIAP2",0.000674568829175285,-1.48294791536645,0.02,0.065,1
"CETN2",0.000679459601194846,1.38921723954779,0.085,0.041,1
"DNASE1L1",0.000680275818094255,-0.504595704793146,0.04,0.097,1
"METTL17",0.000680544450299425,-0.363289860029194,0.102,0.185,1
"LPAR2",0.000680813117397316,-1.43915667550609,0.022,0.069,1
"EXT1",0.000681822141866317,-1.86391318851424,0.005,0.039,1
"TMEM44-AS1",0.000682492160678235,-0.872485037867337,0.03,0.081,1
"RP11-670E13.6",0.000683633075833978,-0.821489334245144,0.027,0.078,1
"TANGO2",0.000685292802014808,-0.391078228190373,0.082,0.158,1
"TRAF7",0.000688543957058169,-0.314544192749268,0.1,0.182,1
"FAM173A",0.000688844962696671,0.833286215827033,0.314,0.263,1
"OTUD6B-AS1",0.000689462532667822,0.955052331307401,0.264,0.204,1
"SNRNP40",0.000689463874513525,0.937839006602372,0.274,0.22,1
"PUDP",0.000692158518747103,-0.84984645481561,0.042,0.099,1
"SH3GLB1",0.000693093718131596,0.78391312653632,0.352,0.306,1
"PDLIM2",0.000694086521885514,0.778246401601477,0.384,0.351,1
"CEP350",0.000703622321681928,-0.275956121282176,0.182,0.291,1
"MED29",0.000711045029246418,-0.520672199483005,0.127,0.215,1
"RORC",0.000712320316845765,-4.78221929896148,0,0.028,1
"C3orf14",0.000712320316845765,-3.83556449668709,0,0.028,1
"FAM153A",0.000712320316845765,-4.62396817489631,0,0.028,1
"TREML2",0.000712320316845765,-4.74928581202123,0,0.028,1
"CCDC170",0.000712320316845765,-4.24654397208293,0,0.028,1
