"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KLRF1",8.55644873303549e-238,5.39956655476765,0.938,0.05,2.88300983610898e-233
"KLRD1",2.27407162905384e-220,4.33710552780808,0.969,0.104,7.66225694693399e-216
"PRF1",1.08259125849236e-216,4.92401545692746,0.961,0.139,3.64768298636416e-212
"HOPX",4.41674211182218e-209,4.33519153018698,0.951,0.119,1.48817708715736e-204
"GNLY",1.13585569924565e-205,5.06466718765598,0.982,0.217,3.82715219303829e-201
"CST7",1.05755361118581e-201,3.90680226796428,0.971,0.157,3.56332113752945e-197
"GZMB",2.32916795688354e-199,5.30023131951053,0.854,0.069,7.84789851392341e-195
"IL2RB",3.10565885208199e-197,4.93320137596844,0.867,0.089,1.04642069362051e-192
"NKG7",4.97040505329733e-196,4.15289581966975,1,0.346,1.674728278658e-191
"CTSW",2.72397445817364e-190,3.77085338527456,0.987,0.29,9.17815953937026e-186
"GZMA",5.88597176434657e-188,3.58699191856357,0.966,0.185,1.98321932627893e-183
"CLIC3",1.96711520590782e-181,5.59087911210974,0.781,0.054,6.6279979747858e-177
"SPON2",7.57437038610267e-181,5.28542610182023,0.805,0.07,2.55210835789343e-176
"MATK",3.97219351023441e-173,4.02103944199054,0.833,0.095,1.33839088133838e-168
"CD7",2.6025755301824e-172,3.23030066173662,0.979,0.379,8.76911799139658e-168
"FGFBP2",5.1918112046512e-172,4.95642600452982,0.797,0.08,1.74932886729518e-167
"KLRB1",3.17323111568894e-163,2.82185911768523,0.943,0.181,1.06918849212023e-158
"CD247",7.13298525076989e-152,3.27362211819295,0.914,0.276,2.40338805039441e-147
"TRDC",1.2064089766607e-151,2.97258097281082,0.802,0.086,4.06487440596056e-147
"TBX21",9.43761629319691e-148,4.96349675392521,0.674,0.046,3.17991043382977e-143
"XCL2",3.46204200388385e-146,4.71155843125591,0.688,0.051,1.16650043278863e-141
"RPL39",1.74037393650498e-143,-1.27101580906741,1,1,5.86401594165988e-139
"APMAP",4.81664961340465e-142,3.60431081094288,0.789,0.139,1.62292192074056e-137
"RPL34",1.40972577689304e-141,-1.29089251291183,1,1,4.7499300326634e-137
"IFITM1",3.0993757922712e-140,3.83047209023067,0.927,0.365,1.04430367944786e-135
"ADGRG1",8.90543958428143e-137,5.13628455708498,0.62,0.036,3.00059881352779e-132
"RPL18A",1.75418168195208e-133,-1.21190335927926,0.997,1,5.91053975916934e-129
"RPL21",6.86898247497928e-133,-1.37663261657412,0.992,1,2.31443495511952e-128
"RPS9",7.54384681347236e-132,-1.16113367590199,0.984,1,2.54182374533138e-127
"S1PR5",5.36402892516579e-129,4.7716002637553,0.599,0.036,1.80735590604536e-124
"TTC38",1.11446944433812e-127,4.64232277163514,0.604,0.042,3.75509334575285e-123
"RPS2",7.84885320255421e-127,-1.23520227183821,0.997,1,2.64459259806862e-122
"GZMM",1.82691514910769e-126,2.93514656271138,0.844,0.243,6.15560790340347e-122
"CCL4",1.60850522469409e-121,4.08983791286193,0.74,0.132,5.41969750408425e-117
"PTGDR",3.30930396898007e-121,4.66749352349632,0.576,0.038,1.11503687930814e-116
"RPL8",4.95966701410521e-119,-1.00395087384968,0.997,1,1.67111020373261e-114
"IGFBP7",1.52190297216093e-115,4.68725717571551,0.594,0.063,5.12789987439902e-111
"RPL7",2.20817531203054e-115,-1.40517149297808,0.935,1,7.44022589635569e-111
"RPL13A",1.20225292670403e-114,-1.46289182471109,0.953,1,4.05087101123656e-110
"PTPRCAP",1.85822327251221e-114,6.20142928294817,0.497,0.017,6.26109749440263e-110
"RPL12",3.84065678952738e-114,-1.00607928974097,1,1,1.29407089866335e-109
"IFITM2",5.61854460636842e-114,2.05079451356301,0.979,0.707,1.89311241966978e-109
"SH2D1B",1.38591985313947e-112,4.86784628844397,0.552,0.044,4.66971835316812e-108
"RPL13",2.5652919944813e-112,-1.06067132580311,1,1,8.64349484620529e-108
"RPL41",1.19216062837377e-110,-0.984817412312256,1,1,4.01686602124258e-106
"RPL32",2.32170369645701e-110,-1.05592260310796,1,1,7.82274843484226e-106
"RPL26",6.20619373143562e-110,-0.815246496124238,0.997,1,2.09111491586992e-105
"CD52",8.28891532720472e-110,-1.75789519120673,0.685,0.996,2.79286713034836e-105
"RPL36",1.42962773010776e-108,-1.11643874610281,0.99,1,4.81698767382509e-104
"SAMD3",2.24917697770784e-107,3.209402651546,0.664,0.104,7.57837690868879e-103
"ITGB2",4.46258069567585e-107,1.5917041791551,0.99,0.748,1.50362193960102e-102
"RPS18",4.32153193213786e-106,-1.1707902784638,0.99,1,1.45609696921453e-101
"RPS3A",5.52227999253648e-106,-0.986446253492907,1,1,1.86067702068524e-101
"RPL11",7.33587989948962e-106,-0.923566407121188,1,1,2.47175137333403e-101
"GZMH",1.61942716537593e-105,3.56608078292114,0.596,0.069,5.45649789101766e-101
"RPS20",4.48531678635585e-105,-1.54200255849911,0.812,0.999,1.51128263799474e-100
"ZAP70",2.75301710730518e-104,3.00782825083589,0.732,0.188,9.27601584135409e-100
"RPL38",5.38852404519912e-103,-1.2956399768578,0.914,1,1.81560929178939e-98
"HLA-E",1.96981428595276e-101,1.16191135965749,1,0.946,6.63709225508922e-97
"RPS6",2.65767946029381e-100,-1.1570509067339,0.997,1,8.95478517351396e-96
"CD160",2.88312836925138e-100,4.10117930152625,0.547,0.057,9.7144127273556e-96
"RPL27A",6.27952005025385e-100,-1.32808190465428,0.875,1,2.11582148573253e-95
"HLA-A",9.59453641871492e-99,1.00716582914757,1,0.993,3.23278310092181e-94
"AKR1C3",1.77643269082358e-98,5.28679953869813,0.458,0.023,5.98551230846097e-94
"RPL9",3.75675587364715e-98,-1.12403620542924,0.969,1,1.26580132406667e-93
"RPS13",5.17393323042637e-98,-0.954282905478101,1,1,1.74330506265986e-93
"RPL23",8.65828803028465e-97,-1.33560628575607,0.815,0.989,2.91732356892411e-92
"HCST",4.25641843894413e-96,1.63765383816018,0.969,0.719,1.43415762881783e-91
"JAK1",5.91861986645783e-96,2.0136378311696,0.901,0.526,1.9942197778043e-91
"RPL36A",6.63538479009994e-96,-1.35333967828036,0.839,0.987,2.23572655117628e-91
"XCL1",9.68463510102847e-96,5.1255003753062,0.456,0.024,3.26314095094053e-91
"PFN1",2.04467560765167e-95,1.11523762379322,1,0.983,6.88932999242152e-91
"CALM1",3.6971920399951e-95,1.61033778113213,0.956,0.782,1.24573188595595e-90
"RAC2",3.70702585066754e-95,1.71010397516784,0.948,0.726,1.24904529012392e-90
"RPS29",1.56896303186307e-94,-1.41546785900347,0.977,1,5.28646403955942e-90
"RPLP2",1.77627099585616e-94,-1.02039763342451,0.997,1,5.98496749343773e-90
"PRSS23",6.43709721640652e-94,5.23016487445704,0.432,0.018,2.16891553609601e-89
"NCR3",8.4279333960978e-94,2.89566213049963,0.648,0.12,2.83970787848119e-89
"RPS17",1.31782603848775e-93,-1.31392170792689,0.828,0.999,4.44028305408061e-89
"CCND3",3.36757261818869e-90,2.05442668421114,0.878,0.511,1.1346699179725e-85
"RPS27",5.30583017452984e-89,-1.04925359718596,1,1,1.78774641900609e-84
"RPS15",4.04594493987939e-88,-0.743049556190762,1,1,1.36324068804296e-83
"CD99",8.47466921687232e-88,2.0150584496721,0.878,0.452,2.85545504593296e-83
"SLC9A3R1",2.44530103673531e-87,2.71719307928215,0.734,0.264,8.23919731317596e-83
"NCR1",5.80229073759422e-87,6.36319534027804,0.378,0.009,1.955023841125e-82
"RPL35A",1.48554730042174e-86,-0.867044010082512,0.992,1,5.005403074041e-82
"CMC1",3.95694708322233e-86,2.82400791802307,0.688,0.189,1.33325375022093e-81
"CHST12",3.96289616152296e-85,2.60630967519203,0.695,0.209,1.33525823266355e-80
"MT-ATP8",6.24942385864005e-85,5.12565409231413,0.521,0.084,2.10568087493018e-80
"HLA-DRB1",1.77422799825593e-84,-4.09518455847829,0.203,0.753,5.97808381732353e-80
"RPS25",2.63771919076827e-84,-1.02293586561398,0.995,0.999,8.8875310413746e-80
"RPS11",5.42265847270536e-84,-1.08160661153751,0.909,0.996,1.82711054579334e-79
"RPL35",7.60731208967409e-84,-0.919588973255935,0.979,0.999,2.56320773549479e-79
"RAP1B",8.76159250188157e-84,2.02406783104774,0.846,0.459,2.95213097758398e-79
"C12orf75",1.7395126619916e-83,2.62999130190287,0.672,0.176,5.86111396331451e-79
"RPS19",2.78091418177138e-83,-0.787797731105877,1,1,9.37001224406049e-79
"CLIC1",1.41373747235998e-82,1.37396281850705,0.964,0.733,4.76344703936973e-78
"FCRL6",2.55973664373861e-82,3.88354930159564,0.456,0.042,8.62477664741287e-78
"RPL37A",4.91134954535403e-82,-0.870065659887066,0.992,0.999,1.65483011581159e-77
"PLEKHF1",5.12974532792963e-82,4.02315644542106,0.461,0.048,1.72841639079261e-77
"PRKCH",4.90322589062196e-81,2.58086056024633,0.664,0.18,1.65209293158616e-76
"RPS14",7.63087185698428e-81,-0.760611998303074,1,1,2.57114596349228e-76
"IL2RG",1.17788750438999e-80,1.81891386261765,0.878,0.482,3.96877415729165e-76
"PYHIN1",1.23291258399476e-80,3.02074598086184,0.56,0.1,4.15417566051194e-76
"RPS16",2.19189840258188e-80,-0.917068500879337,0.982,1,7.38538247765939e-76
"HLA-DRA",3.98257959012305e-80,-4.12937503659134,0.331,0.795,1.34189036709606e-75
"MYL12A",5.98705987851382e-80,1.14900330802032,0.984,0.932,2.01727995546645e-75
"IL18RAP",1.33295545060896e-79,5.26563874074051,0.372,0.016,4.49126009528183e-75
"ACTG1",2.63840872403483e-79,1.24177037627502,0.987,0.944,8.88985435476296e-75
"SUN2",1.01566999881639e-78,1.76066637223156,0.885,0.483,3.42219849401196e-74
"EFHD2",2.04238710527494e-78,2.13143367138412,0.797,0.375,6.88161911251337e-74
"RPS8",2.58497224962412e-77,-0.850551622068422,0.995,1,8.70980549788351e-73
"UBA52",1.04319446698943e-76,-0.796366123723109,0.979,0.999,3.51493943707417e-72
"HLA-B",2.04734743062102e-76,0.698905323647409,1,1,6.89833243273446e-72
"RPS28",3.50770840392077e-76,-0.726852199597768,0.997,1,1.18188726961706e-71
"DENND2D",2.70875532283443e-73,2.57837290480562,0.633,0.19,9.12688018475834e-69
