"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERPINA1",8.70180124637495e-214,3.85874211193116,0.981,0.161,2.93198491195357e-209
"MS4A7",1.08285524709e-211,4.91645748612118,0.904,0.081,3.64857246954505e-207
"CD68",2.74126516043691e-206,3.84055568202285,0.951,0.126,9.23641883157612e-202
"IFI30",3.1711984793176e-206,4.16796901455376,0.921,0.093,1.06850361562127e-201
"AIF1",1.20105940170149e-198,3.30010756900325,0.998,0.32,4.04684954809301e-194
"LINC01272",1.92386706811724e-198,4.23926281627483,0.892,0.085,6.48227769931423e-194
"LST1",3.23853491182665e-198,3.37542473847536,1,0.328,1.09119195319087e-193
"SPI1",8.14267468318682e-196,3.26551921026283,0.975,0.188,2.74359280775297e-191
"COTL1",3.86181439601173e-195,3.04636478333439,1,0.61,1.30119974259219e-190
"HCK",6.77472226165326e-192,3.78549970525216,0.904,0.102,2.28267491884145e-187
"PSAP",2.72471121395643e-187,2.80644771306752,1,0.577,9.18064196430478e-183
"LRRC25",1.26340947328637e-184,4.43331388120316,0.817,0.051,4.25693187929109e-180
"CSF1R",4.49763091644768e-181,4.93619207538512,0.775,0.036,1.51543176098788e-176
"FTH1",1.53298681092271e-180,2.27957995477335,1,0.992,5.16524576072296e-176
"PILRA",5.30777138804578e-178,3.80864489282137,0.847,0.074,1.78840049148814e-173
"CST3",2.28401021529358e-176,2.9022271892885,1,0.448,7.69574401941018e-172
"LILRB2",1.68396140920441e-175,4.71953167880939,0.775,0.045,5.67393957217333e-171
"SAT1",1.30032994040238e-172,2.78511368471099,0.996,0.663,4.38133170119177e-168
"CFD",8.08123179046829e-171,2.98805356107239,0.945,0.17,2.72289023948039e-166
"S100A11",2.08978756435599e-168,2.43428073958248,1,0.491,7.04133021934106e-164
"KLF4",9.34263537922194e-165,3.08829319176049,0.93,0.167,3.14790756467504e-160
"FTL",1.16329758689918e-159,2.27506716021932,1,0.994,3.9196148892981e-155
"CFP",1.274066936805e-155,2.72419717860581,0.913,0.159,4.29284113687077e-151
"IGSF6",5.81741424121575e-155,3.59360108735761,0.779,0.07,1.96011955443524e-150
"MAFB",1.02842026501618e-154,4.5138769124284,0.73,0.053,3.46515924094551e-150
"NPC2",2.87082922662869e-154,2.23577934828545,0.992,0.431,9.67297199620271e-150
"FCER1G",1.24712284409275e-150,2.17328628180725,0.996,0.466,4.2020557108861e-146
"CDKN1C",1.2732374468808e-150,5.20275728004174,0.618,0.006,4.29004625352016e-146
"WARS",2.48611730830014e-150,3.96749795620079,0.741,0.061,8.37672365858649e-146
"LGALS3",8.74580672000041e-149,3.07274055693647,0.845,0.128,2.94681211623694e-144
"LILRA2",3.63948688059878e-148,3.7593597869233,0.724,0.052,1.22628870954895e-143
"NFKBIZ",6.8444498467745e-147,3.23816066007761,0.885,0.199,2.3061689313722e-142
"TNFRSF1B",2.81020152369474e-146,2.87891452337628,0.885,0.211,9.46869301393705e-142
"SIGLEC10",1.38409676298534e-145,4.56626892195959,0.665,0.031,4.66357563320279e-141
"NCF2",1.62362559524725e-145,2.98665096649385,0.803,0.09,5.47064408062609e-141
"CPPED1",1.00766472775877e-144,3.17705919092094,0.775,0.082,3.39522553371039e-140
"GPBAR1",2.02998857649271e-144,3.79112683663469,0.699,0.044,6.83984350963452e-140
"HES4",1.45151646399632e-141,5.9171134568324,0.603,0.013,4.89073957378921e-137
"CLEC7A",2.58209199457871e-140,2.55508043745075,0.854,0.123,8.70010076653351e-136
"LYN",2.93860716129829e-140,2.63176522369362,0.921,0.234,9.90134296927846e-136
