"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj"
"EIF6",0.0447535660889417,-0.341381651694247,0.266,0.355,1
"CREBL2",0.04479660670957,-0.61435657592296,0.052,0.099,1
"SCRN1",0.0448093835370593,-1.30147488024705,0.01,0.04,1
"IGFBP4",0.0448215419137637,1.02357636664174,0.047,0.022,1
"MFSD7",0.0449336832824712,-1.6981150922956,0.005,0.031,1
"RIPK3",0.0450207450462731,-1.69500063561096,0.005,0.031,1
"CDC37",0.0450538977958289,-0.308637147624391,0.323,0.422,1
"ELL",0.0450609664025687,-0.812930297576033,0.026,0.063,1
"C1orf54",0.0451145526415287,-1.18961451894261,0.01,0.04,1
"AP1AR",0.0451145526415287,-1.18149323215421,0.01,0.04,1
"RHBDD2",0.0451153175339567,-0.579620105143532,0.062,0.112,1
"RP11-553L6.5",0.0451863175881159,1.8366733514534,0.042,0.019,1
"TMEM14A",0.045222884174486,-1.11379561823182,0.021,0.056,1
"SNCA",0.0452677931256458,-1.15266771653204,0.01,0.04,1
"WDR44",0.0452827842140631,-1.51228007147945,0.005,0.031,1
"CNPY3",0.0453238697653924,-0.162344353103185,0.339,0.443,1
"RP4-539M6.22",0.0454581903009295,-1.39298524209966,0.005,0.031,1
"SLC2A11",0.0454715748079013,1.5346871674224,0.052,0.026,1
"RFT1",0.0454984764104902,-1.08085380946095,0.01,0.04,1
"YY1",0.0455639169083748,-0.19434014514128,0.203,0.293,1
"DCUN1D5",0.0455672270962174,-0.806730683069846,0.052,0.098,1
"ARHGEF6",0.0455746717816957,-0.212473618927542,0.083,0.143,1
"ATG5",0.0456157168222782,-0.323464348551091,0.083,0.142,1
"ZNF710",0.0457301495898608,-0.885453830186663,0.01,0.04,1
"MON1B",0.0457784786440932,-0.584221104142078,0.031,0.071,1
"CTD-3184A7.4",0.0458222533025521,1.19867938706856,0.125,0.085,1
"NCBP1",0.0458851498883363,-0.822255064791313,0.01,0.04,1
"RRP36",0.0459918478851786,-1.10619823157392,0.016,0.048,1
"PDE6G",0.0460405924974735,-1.04075786661195,0.01,0.04,1
"HLA-E",0.0460746630594088,-0.225336345338046,0.948,0.955,1
"IPO7",0.0461267689279646,-0.877727385457223,0.036,0.077,1
"ARIH2",0.0462165990387585,-0.284495015545953,0.078,0.135,1
"EFCAB14",0.0463377175701064,-0.473820372162344,0.115,0.178,1
"PMPCA",0.0463688506803216,-0.723912003079289,0.068,0.118,1
"CD320",0.0464156608434447,-0.875035385834485,0.057,0.104,1
"LRPAP1",0.046416783338904,-0.318003502639455,0.229,0.318,1
"TRAPPC1",0.046428072100853,-0.188470340047704,0.5,0.632,1
"PTP4A1",0.0466211216966767,-0.230245410034366,0.177,0.259,1
"RP11-421L21.3",0.0467048242649711,1.43075920308874,0.068,0.038,1
"AMPD3",0.0467272438028295,1.91654805638505,0.042,0.019,1
"STYX",0.0468198119694128,-0.473388824856905,0.057,0.107,1
"SLC44A1",0.0469986103546621,-0.784859966721421,0.036,0.077,1
"FABP5",0.0470538714512129,-0.406855931713609,0.083,0.141,1
"ALG6",0.047063384371812,-0.825006354363949,0.021,0.056,1
"APC",0.0470703757173471,-0.345293479070914,0.042,0.086,1
"CHCHD10",0.0470910510357902,0.366860010556851,0.469,0.435,1
"ZC3H8",0.0471912657785261,-0.475458018073592,0.057,0.105,1
"IARS2",0.0472572431874446,-0.692059255512818,0.089,0.143,1
"KBTBD2",0.0472642695411582,-0.862916368911829,0.021,0.056,1
"IQCE",0.0472896235404698,-1.90271530639605,0.01,0.039,1
"CNBD2",0.0473854790692638,-1.38152581458099,0.021,0.055,1
"PPP6R1",0.0473856699324864,-0.67929104544542,0.089,0.143,1
"MRPS21",0.0474022500866975,-0.141171807838243,0.354,0.482,1
"RRN3",0.047419967972084,-1.02652893161122,0.031,0.069,1
"PITRM1",0.0474270856690212,-0.902306091839706,0.016,0.048,1
"MED4",0.0474535101977554,-0.304071223654867,0.229,0.324,1
"LUC7L3",0.0474875597680701,0.510698843916745,0.411,0.368,1
"COX20",0.0474928365400732,-0.299347077648015,0.125,0.195,1
"HDAC7",0.0475246039919001,-0.27415804558345,0.109,0.175,1
"CPSF1",0.0476006760103538,-0.608513698194883,0.021,0.056,1
"ERLIN2",0.0476455859374929,-0.399645387372956,0.016,0.048,1
"PSMC5",0.0476529040195563,-0.233234895531945,0.323,0.433,1
"PITPNB",0.0476974083268276,-0.606518609586008,0.089,0.144,1
"RNF38",0.0477821773670497,-1.0301006317975,0.031,0.069,1
"CTC-378H22.2",0.0478120887145002,1.94012287788948,0.042,0.019,1
"ZC3H18",0.0478262774853365,-0.865500127408953,0.057,0.103,1
"RPS14",0.0478617430043908,-0.131549125276001,1,1,1
"LONP1",0.047872454531971,-0.909499998804395,0.026,0.062,1
"SRBD1",0.0480004157694177,-0.925674655951149,0.026,0.062,1
"TBL1XR1",0.0480539690851985,-0.240425591516225,0.078,0.136,1
"IPP",0.0481116031286764,1.4153105020948,0.042,0.019,1
"ETV3",0.0481150945208911,-0.758964846705878,0.036,0.077,1
"CREB3L2",0.048128664294591,-0.944227135748194,0.026,0.062,1
"KATNB1",0.0481457266188503,-1.63627299226268,0.016,0.047,1
"CTSF",0.0481825285191459,-1.65174299328956,0.01,0.039,1
"SRPRA",0.0482119964021888,-0.345929868642755,0.12,0.188,1
"PRKAR1B",0.0482643955287899,-1.61881283299031,0.01,0.039,1
"CPSF3L",0.0483683748926055,-0.410143557436806,0.125,0.189,1
"RGS3",0.0483941990051059,-1.15273029837982,0.042,0.082,1
"TPRG1L",0.0484111458658761,-1.22739512963716,0.021,0.055,1
"TLK1",0.0484117816298275,0.744667312656315,0.172,0.126,1
"VBP1",0.0484346916224401,-0.312030828403027,0.151,0.226,1
