"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KIAA0319L",5.85419105282965e-08,1.41074928131955,0.166,0.071,0.00197251113334042
"RASA3",5.90533089461171e-08,-1.71144379224684,0.093,0.208,0.00198974219163047
"FAM102A",5.92623440970467e-08,-2.82831433321288,0.025,0.116,0.00199678542200589
"H2AFJ",5.94677454117888e-08,0.848408087475745,0.36,0.221,0.00200370621390481
"GNA13",5.98335754801298e-08,1.14307570264817,0.174,0.075,0.00201603249222749
"MEF2C",6.03281258471851e-08,0.110891355321052,0.511,0.311,0.00203269587229505
"UBXN2B",6.09271950469526e-08,1.62953968816927,0.111,0.036,0.00205288090991202
"ANKRD12",6.23315780413638e-08,-0.78883292655154,0.325,0.457,0.00210020019052571
"C9orf72",6.23528380956227e-08,1.18874082352005,0.234,0.12,0.00210091652679391
"TMEM230",6.36849664813372e-08,-0.628108228039927,0.403,0.537,0.00214580126062218
"INSR",6.3788266317427e-08,2.42734613481673,0.086,0.023,0.00214928184529939
"ATP6V0E1",6.41611575316434e-08,0.447686268409395,0.824,0.713,0.00216184604187119
"TMEM243",6.42825978255755e-08,-1.08064866740175,0.222,0.344,0.00216593785113494
"SNX30",6.4425972581752e-08,1.84880353621458,0.096,0.028,0.00217076872016955
"RBMS1",6.58991093041558e-08,0.57534568982961,0.428,0.264,0.00222040458889423
"SH3TC1",6.63968864092134e-08,1.15892986961938,0.174,0.075,0.00223717669067204
"EIF4G3",6.65161437718083e-08,1.40542349883019,0.136,0.051,0.00224119494824731
"TSHZ3",6.7661007576117e-08,3.83578549142768,0.043,0.004,0.00227976998926969
"TMEM55A",6.82365053299759e-08,1.25567649206114,0.144,0.056,0.00229916081058821
"C1orf21",6.92345141121157e-08,-4.38468646808572,0.008,0.085,0.00233278771849363
"CFAP97",6.99539165152994e-08,-2.03060776926344,0.043,0.143,0.0023570272630665
"CLCN7",7.00566908511569e-08,1.09056918143265,0.176,0.077,0.00236049014153888
"ARGLU1",7.03364122734447e-08,-0.750835957793918,0.441,0.545,0.00236991507514145
