"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS27",4.47448983213317e-130,1.36706566448185,1,0.999,1.50763460403895e-125
"RPL34",1.23248640141527e-128,1.07752594259915,1,0.999,4.15273968092861e-124
"TRAC",1.3423643672298e-126,4.31594717735791,0.727,0.122,4.52296249894409e-122
"RPS6",1.45589229792334e-124,1.25287430438689,1,0.996,4.90548350862289e-120
"RPS18",4.0276210432306e-124,1.20887362096888,1,0.992,1.35706663430612e-119
"CD3D",2.54541278768881e-123,2.27719601861163,0.904,0.217,8.57651384683866e-119
"RPS25",5.97375792006578e-122,1.06751899538802,1,0.993,2.01279799358696e-117
"RPL36",1.45670137403298e-121,1.01011391898689,0.998,0.995,4.90820960966673e-117
"RPL13",2.4418130537451e-120,0.9464556096529,1,1,8.22744490328875e-116
"RPLP2",1.91317301344579e-119,1.09544983148022,1,0.998,6.44624515150426e-115
"RPL3",5.19780217902843e-119,1.20184244462324,1,0.991,1.75134746620184e-114
"LDHB",8.38918362124633e-119,2.02272996094852,0.94,0.575,2.82665152934274e-114
"RPS4Y1",3.61450901617317e-118,12.075600847215,0.471,0,1.21787266790939e-113
"RPS29",3.31433175553249e-116,2.66875927105385,0.993,0.948,1.11673094170912e-111
"RPL21",4.44651528448697e-113,1.73294740898379,0.995,0.994,1.49820885995504e-108
"RPL32",2.88707891858382e-110,0.871823708942274,1,1,9.72772370827633e-106
"RPS3A",9.16156106608295e-110,0.971515179621782,0.995,0.999,3.08689638560599e-105
"RPS2",2.15311162848508e-108,0.968929754429761,1,0.999,7.25469432101761e-104
"RPL23A",6.16581495254031e-108,1.20227249121686,1,0.993,2.07750969010893e-103
"RPS14",1.42976605987302e-107,0.809606281871021,0.998,1,4.81745376213614e-103
"RPS15A",1.71747901103503e-107,0.779362321576317,1,0.999,5.78687377978142e-103
"RPS3",6.19055129908596e-104,0.867911644214463,1,0.996,2.08584435471402e-99
"LTB",4.82483667108087e-103,1.8464348851578,0.971,0.566,1.62568046795399e-98
"RPL9",5.39434436519526e-103,1.06307232565205,0.993,0.987,1.81757039040889e-98
"RPL41",6.99049168546953e-103,1.0822558401842,1,1,2.3553762685021e-98
"RPL31",8.080164614007e-103,2.0776317296659,0.99,0.946,2.72253066504352e-98
"RPL38",8.3621010341299e-102,1.54868444390003,0.981,0.938,2.81752632243973e-97
"RPL13A",4.2410605635947e-101,2.28743150394653,1,0.967,1.4289829462976e-96
"MT-CO1",8.12128921459739e-101,-0.875650768555024,1,0.999,2.73638718796645e-96
"RPS20",3.5478791234415e-100,2.5251370911973,0.964,0.793,1.19542239185238e-95
"RPS27A",2.88058762081856e-98,0.802918428004515,1,0.999,9.70585192958606e-94
"RPS16",5.45014125103164e-98,0.823338567822065,1,0.993,1.8363705931226e-93
"IL7R",1.41014965884021e-97,2.13996180021589,0.811,0.206,4.75135826049619e-93
"MT-CO2",1.10581803573488e-96,-0.894455437770176,1,0.999,3.7259432896051e-92
"RPL39",5.16035648824684e-93,0.705720624003176,1,0.998,1.73873051514989e-88
"RPS15",1.23987360700324e-88,0.626580629635178,1,1,4.17763013143671e-84
"RPL4",1.31417001029679e-88,0.979632708309853,0.995,0.959,4.42796443269399e-84
"CD3G",1.85890881471021e-88,2.28232462377294,0.701,0.163,6.26340736028457e-84
"RPL11",1.90135122146389e-88,0.669653545509923,1,1,6.40641280560044e-84
"FGR",5.45732965346793e-88,-5.50694282003683,0.024,0.628,1.83879265343948e-83
"RPL37A",8.23109813692785e-88,0.938615818126344,1,0.987,2.77338620625647e-83
"RPL35A",1.00829341771314e-87,0.731281523863604,1,0.998,3.39734384164264e-83
"CD74",3.60116396540916e-85,-3.90316268030568,0.806,0.941,1.21337618650496e-80
"CYBA",2.46613900189317e-84,-1.49076820711834,0.818,0.966,8.30940875297885e-80
