"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MS4A1",1.12115257155485e-246,5.87794999700702,0.972,0.078,3.77761147459692e-242
"CD79A",1.86111511343663e-246,5.67782012134635,0.992,0.107,6.27084126321339e-242
"BANK1",2.71748996505996e-199,6.12197951343984,0.796,0.034,9.15631068827304e-195
"LINC00926",1.91066576770176e-191,6.30183256763489,0.77,0.032,6.4377972376943e-187
"CD79B",1.35714838078406e-183,3.71514133620789,0.977,0.276,4.5727757542138e-179
"CD74",1.99133347292277e-174,2.85846569450912,1,0.926,6.70959900366597e-170
"IGHM",1.3638503918363e-166,4.87832872896235,0.821,0.117,4.59535751025324e-162
"FAM129C",1.95624600768959e-162,6.19295656215517,0.663,0.02,6.59137529830932e-158
"CD37",1.34445105028379e-159,2.23783629123679,0.997,0.872,4.52999336882621e-155
"RALGPS2",2.19056304963398e-157,5.25169792903738,0.686,0.037,7.38088313943673e-153
"IGHD",4.23615047495343e-154,5.35018078288844,0.704,0.052,1.42732854103081e-149
"TMSB4X",9.74730804903913e-152,-1.40585411230287,0.997,1,3.28425797404324e-147
"FCER2",1.79636889638819e-148,6.32364101800914,0.622,0.022,6.05268535949037e-144
"CD22",3.22426618213204e-148,5.4403365734735,0.656,0.038,1.08638424740757e-143
"VPREB3",3.84934645469221e-143,6.74216884563066,0.587,0.014,1.29699879444399e-138
"CD19",4.51230778920601e-134,5.6540241221965,0.579,0.022,1.52037698649507e-129
"S100A4",4.51788549332904e-134,-4.05473151166696,0.426,0.948,1.52225633812229e-129
"B2M",7.48759142044392e-133,-1.05175238646969,1,1,2.52286905320437e-128
"FCRL1",3.53586153768178e-127,6.31672493103359,0.543,0.018,1.1913731865065e-122
"BLK",5.47059147801961e-127,5.60461773241135,0.554,0.021,1.84326109260393e-122
"HCST",5.98849723031443e-125,-4.0949277047805,0.153,0.871,2.01776425678214e-120
"FCRLA",6.71087252984173e-125,5.57468674421856,0.543,0.019,2.26116139020487e-120
"HLA-DPA1",5.72761069695525e-121,1.85572075500325,0.992,0.608,1.9298611482321e-116
"TNFRSF13C",1.01512623540662e-120,5.13915940823092,0.546,0.026,3.42036633757907e-116
"HLA-DQA1",1.16837039075585e-119,2.08182159308504,0.967,0.4,3.93670719461275e-115
"SPIB",8.33123750654449e-119,6.25398046417161,0.513,0.017,2.8071271654551e-114
"SRGN",2.00816384211544e-118,-4.24184061049522,0.171,0.838,6.76630724962376e-114
"PTPRCAP",1.21446377593241e-117,7.85852666559851,0.487,0.009,4.09201424662665e-113
"TCL1A",4.12462031998704e-116,5.3459810414168,0.605,0.071,1.38974957061643e-111
"HLA-DPB1",4.19376594874424e-116,1.740868791004,0.99,0.645,1.41304749876988e-111
"HLA-DRA",4.05446176521253e-113,1.70136087316068,0.995,0.72,1.36611034717071e-108
"ADAM28",3.40968929371041e-112,4.96198844653611,0.541,0.038,1.14886071062279e-107
"HLA-DRB1",6.82606642874789e-112,1.68002179434666,0.997,0.626,2.29997482250231e-107
"HLA-DOB",4.15073403413269e-110,5.06075088195007,0.515,0.029,1.39854832546067e-105
"SWAP70",1.26692052093819e-109,3.9226436687254,0.62,0.086,4.26876200324915e-105
"S100A6",1.62844889353558e-107,-3.1828578525231,0.571,0.94,5.4868957018788e-103
"NCF1",3.1619974500079e-106,2.39838650900022,0.862,0.321,1.06540342080566e-101
"PLPP5",3.45504036677572e-105,4.47140583844247,0.566,0.062,1.16414130118141e-100
"ARHGAP24",4.54962647947769e-105,4.35195875263312,0.526,0.039,1.53295114599521e-100
"RPS8",1.73013921904667e-104,0.913819352924448,1,0.998,5.82953108465585e-100
"HLA-DRB5",1.39097872881895e-101,5.05568659543381,0.607,0.108,4.68676372888258e-97
"HLA-DQB1",4.29657983295786e-101,1.79822079550038,0.977,0.52,1.44768960891682e-96
"HVCN1",2.81641329418454e-98,3.41789648266793,0.679,0.166,9.48962295342539e-94
"POU2AF1",9.11216556247737e-96,6.04795109982726,0.421,0.012,3.07025306462112e-91
"MT-ATP8",5.09790950808582e-95,6.28706515387776,0.536,0.074,1.71768962965443e-90
"CYB561A3",2.41926974895127e-94,3.05389335423779,0.668,0.159,8.1514874921164e-90
"HLA-DQA2",2.4707878550329e-94,6.22609607424022,0.434,0.02,8.32507259874785e-90
"CD24",1.62673625249778e-93,5.83442771055129,0.421,0.015,5.48112512916602e-89
"BLNK",1.77941601721367e-93,5.93449199433091,0.411,0.011,5.99556432839972e-89
"MEF2C",1.79696798863317e-92,2.52834806384977,0.788,0.267,6.05470394090061e-88
"CD40",6.53128490633025e-92,4.47238609253256,0.49,0.048,2.20065113633891e-87
"RPS23",1.0547462987667e-91,0.714020490155364,1,1,3.55386217906453e-87
"AFF3",4.14842179587794e-91,4.74865277444778,0.477,0.043,1.39776923990311e-86
"FYB",3.98921369811101e-89,-3.91152320375187,0.059,0.702,1.34412566344152e-84
"GNG7",2.08027841858655e-88,4.49637376600451,0.446,0.031,7.00929010358551e-84
"FCMR",1.56675444669606e-87,2.59444494015446,0.737,0.233,5.2790224326977e-83
"PDLIM1",2.10982277532013e-87,3.70526140676412,0.5,0.056,7.10883685916365e-83
"ANXA1",2.82724207703686e-87,-4.52909417838874,0.077,0.683,9.52610945436799e-83
"TYROBP",3.94602074909194e-87,-5.44994821470975,0.12,0.7,1.32957223119904e-82
"EEF1G",4.11672473711942e-86,4.47481105610293,0.577,0.126,1.38708923292502e-81
"EAF2",4.67157275140732e-86,3.65946389684483,0.541,0.086,1.57403972285918e-81
"TSPAN13",3.44956914306302e-85,5.45347396004232,0.385,0.012,1.16229782706365e-80
"RP11-231C14.7",5.34825322136039e-84,4.84217284017519,0.429,0.031,1.80204044040517e-79
"RPL7A",7.67339520994707e-84,0.781347861699624,0.997,0.993,2.58547378203957e-79
"PFN1",9.75182627526203e-84,-1.26344122571185,0.952,0.996,3.28578034518679e-79
"ITGB2",9.96323555567698e-84,-2.28677270373384,0.439,0.857,3.3570125881298e-79
"RPL30",1.50790900087468e-82,0.833134633540277,1,1,5.08074858754714e-78
"FCER1G",1.55311600419163e-81,-5.20326275190028,0.099,0.662,5.23306906452327e-77
"TPD52",4.88796215419913e-81,3.08487995739184,0.526,0.075,1.64694996823585e-76
"IRF8",1.5375464492606e-80,2.73886883405708,0.666,0.2,5.18060900613866e-76
"ID2",4.14743616967123e-79,-4.42425177374331,0.074,0.649,1.39743714300902e-74
"HLA-C",2.61742163499846e-77,-1.14179952942585,0.977,1,8.81914045696382e-73
"CD72",2.9603066259515e-77,4.66216008187411,0.406,0.031,9.97445714548098e-73
"S100A11",9.5019453324812e-77,-4.18505492615941,0.166,0.69,3.20158546032622e-72
"KIAA0226L",1.17489386649314e-76,4.78757655112316,0.38,0.022,3.95868739376199e-72
"PKIG",6.45468885485455e-75,5.03985010071009,0.362,0.018,2.17484286275469e-70
"FCGR2B",1.94480251525501e-74,4.97444161450915,0.37,0.022,6.55281759490023e-70
"GIMAP4",1.5567968922765e-72,-4.74139233947503,0.036,0.586,5.24547144883645e-68
"SNX2",3.11076563551038e-72,2.05173338265708,0.763,0.332,1.04814137322887e-67
"HLA-DMA",7.58359090683641e-72,1.77330521177584,0.837,0.379,2.55521512014946e-67
"RP11-693J15.5",6.57605857909485e-71,6.45650594973625,0.319,0.009,2.21573717764022e-66
"BCL7A",1.3424892758453e-69,4.75084236711399,0.36,0.025,4.52338336603315e-65
"CTD-2192J16.22",4.95269766292098e-69,6.43879485116718,0.304,0.006,1.6687619505446e-64
"GIMAP7",5.12096424601697e-69,-4.7127858980133,0.038,0.571,1.72545769305296e-64
"PAX5",3.90881123797444e-67,5.17196932625407,0.327,0.016,1.31703485852311e-62
"IGLC3",1.83867914049857e-66,5.19176827394494,0.398,0.047,6.19524549599588e-62
"FAU",4.76055457788511e-66,0.550071398515228,1,0.999,1.60402125947261e-61
"NEAT1",6.69726856025653e-66,-2.62624112043749,0.441,0.799,2.25657766869283e-61
"AC090498.1",7.53102692968299e-65,3.17382939630055,0.949,0.863,2.53750421368739e-60
"HLA-DMB",1.05516355335564e-64,1.94335683483788,0.732,0.288,3.55526807667649e-60
"ATP6V0C",1.75117402209574e-64,5.75508520925246,0.296,0.009,5.9004057500494e-60
"CD7",1.9379915189844e-64,-5.21376319935874,0.043,0.55,6.52986862406603e-60
"LYZ",9.408688246996e-64,-4.73629025095807,0.27,0.748,3.17016341794283e-59
"SEL1L3",1.09222561644862e-63,3.39389808162347,0.406,0.052,3.68014499206199e-59
"P2RX5",1.15855426450348e-63,4.15874539201375,0.355,0.031,3.90363273881802e-59
"RPLP0",1.70991288983817e-63,0.821341478277846,0.997,0.966,5.76138049102072e-59
"IGLC2",7.73907675341301e-62,5.70640397298958,0.38,0.048,2.60760452129498e-57
"S100A10",1.6955351131271e-61,-2.04102339468261,0.357,0.789,5.71293601017044e-57
"KIAA0125",2.0920562660016e-61,4.86985889973114,0.314,0.019,7.04897438266579e-57
"RPS10",3.03731170174016e-61,0.798683081628913,0.997,0.994,1.02339180478433e-56
"ACTB",6.40176858376617e-61,-1.04321661787182,1,1,2.15701190661417e-56
"RPL29",6.59938823248629e-61,0.573367354593058,0.997,0.998,2.22359787105393e-56
"RPL18A",7.20343132896084e-61,0.552548459957258,1,1,2.42712415198007e-56
"RPL18",1.63294853198747e-60,0.584027144139943,1,0.999,5.50205678367857e-56
"STAP1",1.95736131151487e-60,5.49585894502714,0.283,0.01,6.5951332030182e-56
"COBLL1",1.98805718399502e-60,6.08860742611549,0.27,0.006,6.69855987575283e-56
"BTLA",4.11976507888764e-60,4.78494030773906,0.304,0.017,1.3881136456804e-55
"STX7",4.68240303707723e-60,2.41263854696972,0.615,0.211,1.5776888793128e-55
"PNOC",5.57778887798295e-60,5.10895492798465,0.301,0.017,1.87938018454757e-55
"EGR1",1.02204273940396e-59,5.27526704432629,0.395,0.062,3.44367080614769e-55
"BCL11A",1.11210691609464e-59,3.65173221788671,0.403,0.063,3.74713304308928e-55
"QRSL1",1.66451052714021e-59,3.22576892177225,0.413,0.065,5.60840177014623e-55
"IGKC",4.68062712469459e-59,4.96755487164131,0.645,0.329,1.5770905033946e-54
"MYL6",5.3316792459764e-59,-1.15113025839441,0.867,0.958,1.79645600513929e-54
"HLA-DOA",5.98780961220006e-59,4.0093401229091,0.349,0.038,2.01753257073469e-54
"BACH2",1.14781761823578e-58,3.99958328172795,0.375,0.051,3.86745668288365e-54
"TSPAN3",3.14653419978207e-58,2.91358105554109,0.485,0.112,1.06019323327457e-53
"C14orf2",5.94890177970028e-58,-1.57287062371687,0.482,0.836,2.00442296565221e-53
"LGALS1",1.09590876640799e-57,-3.50807456340348,0.189,0.631,3.69255499753507e-53
"MZB1",1.11098052598322e-57,4.35433618611095,0.314,0.024,3.74333778424785e-53
"RPS21",1.46903323935367e-57,0.666045275369393,1,0.993,4.94976059667825e-53
"MT-ND6",1.83275438180385e-57,3.36348047700413,0.513,0.15,6.17528261404988e-53
"GMFG",3.87101132510748e-57,-1.31559790518285,0.582,0.882,1.30429855588171e-52
"C10orf54",6.25970694768582e-57,-2.67730467713947,0.161,0.623,2.10914565895326e-52
"SH3BGRL3",6.65546665294097e-57,-1.11696789943431,0.862,0.966,2.24249293404193e-52
"IL32",1.05926153297629e-56,-3.97078492066931,0.135,0.592,3.56907580921031e-52
"RPL17",1.75295125825911e-56,1.03387252664422,0.962,0.93,5.90639396957824e-52
"GAPDH",1.96724607338953e-56,-1.24303413338023,0.783,0.933,6.62843891967868e-52
"MATR3.1",1.98826677895676e-56,4.80540960439571,0.281,0.014,6.6992660850169e-52
"ORAI2",6.38842735464837e-56,2.80018366722331,0.464,0.103,2.15251671287522e-51
"CST3",1.04996087887626e-55,-4.67105956774161,0.179,0.614,3.53773818528567e-51
"RPS5",1.32924115387752e-55,0.62110790687441,0.997,0.993,4.47874514387492e-51
"CTSD",1.79423173228995e-55,-3.06457964607603,0.125,0.591,6.04548439877774e-51
"SNX22",1.94598096208408e-55,4.68128749686757,0.288,0.018,6.5567882536461e-51
"S100A9",2.16027999287716e-55,-4.58575604139497,0.319,0.765,7.27884740800029e-51
"TCF4",3.02773648782424e-55,3.31377196963213,0.37,0.052,1.0201655322075e-50
