"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LDHB",1.20063727342152e-129,1.85930791481771,0.945,0.595,4.04542722906648e-125
"IL7R",8.40916396977861e-129,2.34511856460702,0.812,0.224,2.83338370797721e-124
"RPS15A",2.8840761040672e-121,0.736060335790738,1,1,9.71760602504401e-117
"CD3D",9.55790935813186e-121,1.75939279129823,0.912,0.297,3.22044197912895e-116
"LEF1",3.26824236058538e-117,2.55041588643157,0.637,0.13,1.10120158097564e-112
"RPL32",2.04180318631304e-115,0.784601924394509,1,1,6.87965165596315e-111
"TRAT1",4.14674576658387e-114,3.14321376641642,0.498,0.07,1.39720451859277e-109
"RPS25",1.49342629956696e-109,0.848439730945602,1,0.996,5.03195057376091e-105
"MAL",2.008138191152e-109,3.11679943789677,0.507,0.082,6.76622082126754e-105
"CYBA",2.26153079162275e-108,-1.65647154725859,0.815,0.972,7.62000184929369e-104
"CD74",9.59675612983891e-108,-3.66638835560009,0.805,0.948,3.23353101038792e-103
"CD3G",4.27098494758898e-107,1.98831643318073,0.72,0.186,1.43906566824063e-102
"CD3E",4.77559972524701e-105,1.52903568039277,0.94,0.36,1.60909057142473e-100
"RPS3",3.72051643736486e-102,0.747936279500606,1,0.998,1.25359080840572e-97
"RPL11",1.77418197789822e-101,0.654894889970737,1,1,5.97792875633027e-97
"RPS14",1.79192815104694e-100,0.657721584870455,0.998,1,6.03772271213755e-96
"RPS12",1.97723072071215e-97,0.788532418753069,1,1,6.6620811903675e-93
"RPL13",6.83499903334311e-97,0.695498154021405,1,1,2.30298457429463e-92
"LTB",2.7059963841557e-95,1.45486977260246,0.978,0.646,9.1175842167742e-91
"RPS27A",6.22654883769968e-94,0.680996622496208,1,1,2.09797336537453e-89
"RPS28",2.85794775175445e-90,0.572639947141631,1,1,9.62956915476145e-86
"RPL36",2.26299338173569e-89,0.718962893330145,0.998,0.997,7.62492990042024e-85
"RPS4X",7.16847035702574e-89,0.699306966377543,1,1,2.41534440209625e-84
"TPT1",1.00509940307132e-88,0.724951535162981,1,0.999,3.3865819287085e-84
"RPL14",1.51752534941497e-88,0.70867804725285,1,0.997,5.11314991231881e-84
"RPL34",2.55082602633428e-87,0.712934805638262,1,1,8.59475321313074e-83
"HLA-DRB1",4.6489949992672e-87,-4.40068148494441,0.212,0.698,1.56643237505309e-82
"FCER1G",4.89579694545776e-87,-5.56467681167899,0.1,0.637,1.64958982280254e-82
"TYROBP",5.95181053626855e-87,-5.45140857232132,0.15,0.659,2.00540304209032e-82
"RPL35A",6.99373868526518e-86,0.647692743040699,1,0.999,2.35647031261325e-81
"HLA-DRA",1.00526476895163e-85,-4.50871846203075,0.275,0.719,3.38713911250561e-81
"RPL19",1.44089790561105e-84,0.614516702167543,1,1,4.85496140316586e-80
"HLA-DPA1",2.03146016914514e-84,-4.16560886655612,0.232,0.705,6.84480189391764e-80
"CD40LG",4.99362822173365e-84,3.47002841537178,0.325,0.034,1.68255309303094e-79
"EEF1A1",1.61640096288563e-83,0.67959560875273,1,1,5.44630140434685e-79
"HLA-DPB1",2.01045492761072e-82,-3.69565815470077,0.272,0.719,6.77402683309158e-78
"MT-CO1",1.2022568000511e-81,-0.724200900202259,1,1,4.05088406209217e-77
"TCF7",4.59375952195479e-81,2.04643363337001,0.67,0.224,1.54782133332745e-76
"TRAC",4.86649321646012e-81,2.01554589885097,0.735,0.272,1.63971622435407e-76
"IL32",1.18556640623248e-80,1.25474260328297,0.935,0.398,3.99464744915972e-76
"FGR",1.67999436664773e-80,-5.88004943346402,0.018,0.569,5.66057301898286e-76
"RPL3",2.3470871537915e-80,0.766032932091301,1,0.996,7.90827545598508e-76
"RPL10",1.22948125549922e-78,0.52591366105239,1,1,4.14261414227907e-74
"TSHZ2",2.52817801604753e-78,5.41017165109856,0.205,0.006,8.51844300727055e-74
"RPS18",1.20718444829436e-77,0.734765797597625,1,0.996,4.067487280083e-73
"CD6",1.70457268329719e-77,2.26023237606945,0.547,0.144,5.74338719910157e-73
"RPL37",1.9099404696923e-77,0.606729459419435,1,1,6.43535341858125e-73
"RPS6",2.7117205105148e-77,0.753287364004348,1,0.998,9.13687108812856e-73
"CAMK4",2.81571014814861e-76,2.36566404649669,0.502,0.12,9.48725377317193e-72
"NOSIP",2.9669483413569e-75,1.66435400039077,0.812,0.43,9.99683574136795e-71
"RPS3A",1.21857275284377e-74,0.632278226651565,0.995,1,4.10585903343179e-70
"RPL30",8.11326506321906e-74,0.742727403292332,1,1,2.73368353040103e-69
"OAZ1",9.35940865944499e-74,-1.36266229951492,0.897,0.964,3.15355915371339e-69
"RPS16",2.01868922846124e-72,0.603867840625988,1,0.996,6.8017714863773e-68
"RPS27",3.50011241565284e-72,0.746295969635661,1,1,1.17932787733007e-67
"GSTP1",2.2638741151506e-71,-2.36843346163522,0.438,0.768,7.62789744358842e-67
"ARPC3",5.75590070169944e-70,-1.24858945552795,0.797,0.932,1.93939318243061e-65
"RPL18",1.15139179703621e-69,0.574665201911214,1,0.999,3.87949952093381e-65
"PLEK",1.65135564075713e-69,-4.8484407326458,0.028,0.531,5.56407769596709e-65
"CLIC1",1.74887921563483e-69,-1.63490935581422,0.517,0.844,5.89267362916e-65
"LYN",1.0994351422811e-68,-6.080366959971,0.015,0.509,3.70443676840194e-64
"RPL39",1.65402500565353e-68,0.528125638724671,1,0.999,5.57307185404902e-64
"AQP3",3.66394431541156e-68,2.37610122100603,0.428,0.092,1.23452939763477e-63
"CD5",2.00823704490069e-67,2.62275419124682,0.4,0.082,6.7665538990884e-63
"RPS23",3.247899117386e-67,0.555917703850747,1,1,1.09434712861204e-62
"RPL5",4.22623581851145e-66,0.669140941714728,0.995,0.992,1.42398789668925e-61
"CTSS",6.84570969286559e-66,-3.68432909591951,0.33,0.692,2.30659342391413e-61
"FTL",2.92276380121976e-65,-2.40653935331569,0.99,0.996,9.84796035182987e-61
"INPP4B",4.64863486822362e-65,2.64429546117254,0.38,0.074,1.56631103249927e-60
"H3F3A",7.53189093843682e-65,-1.09552788546441,0.915,0.975,2.5377953327969e-60
"RPL4",1.38713885940702e-63,0.687996742861377,0.993,0.974,4.673825672886e-59
"FLT3LG",1.51039292619106e-63,1.98936932569362,0.578,0.202,5.08911792550816e-59
"NPM1",2.81809572539431e-63,0.880058496165941,0.98,0.88,9.49529173714357e-59
"RPS15",1.31177331711554e-62,0.451842487593678,1,1,4.41988901468909e-58
"RPL9",3.45099640394686e-62,0.653292850237361,0.993,0.993,1.16277872834585e-57
"RPL29",5.66685752082401e-62,0.539087755836252,1,0.999,1.90939097306644e-57
"CD27",6.84200234470706e-62,1.66890106878996,0.625,0.224,2.3053442700256e-57
"RPS21",9.83121056216405e-62,0.617264607529545,0.998,0.995,3.31252808681555e-57
"RPLP2",1.41135111653619e-60,0.626964585595254,1,0.999,4.75540645205704e-56
"RPS5",2.59606098187498e-60,0.615243116610293,0.995,0.991,8.74716787232954e-56
"RPL18A",1.32934047573229e-59,0.483869725234261,1,1,4.47907979893238e-55
"ACTB",1.66206701641224e-59,-0.915632900565953,1,1,5.6001686050994e-55
"RPS13",1.7659942194712e-59,0.536260028925271,1,0.999,5.95034092308625e-55
"RPL22",4.85275323807228e-59,0.615809169854341,1,0.987,1.63508667603607e-54
"SARAF",1.93406344857053e-58,0.943757521383574,0.973,0.866,6.51663338361353e-54
"ZEB2",2.68228860717848e-58,-4.8631892344406,0.032,0.474,9.03770323302717e-54
"CD2",7.44586789759766e-57,1.39832364524939,0.672,0.264,2.50881072941656e-52
"HLA-DMA",1.07225248747472e-55,-3.94285704849514,0.068,0.497,3.61284753129733e-51
"HLA-DQA1",6.40784430890809e-55,-4.44456852978625,0.075,0.496,2.15905906144349e-50
"SPI1",9.317622778831e-55,-5.44564457144851,0.028,0.448,3.13947981909932e-50
"SRGN",1.35529045351985e-54,-1.98116616714882,0.59,0.76,4.5665156540898e-50
"CCR7",2.91583276722733e-53,1.76888099927958,0.505,0.16,9.82460692589577e-49
"RPSA",6.06664342221472e-53,0.633365745553387,0.995,0.979,2.04409483468103e-48
"RPL10A",8.28500953897456e-53,0.563279313139527,0.998,0.99,2.79155111406209e-48
"RPL6",2.37402001672925e-52,0.451779134919791,1,0.999,7.99902304436753e-48
"TRABD2A",1.04818920508133e-51,2.26955798100044,0.362,0.086,3.53176870760102e-47
"RPL24",1.54663653673086e-51,0.53752949231773,0.995,0.987,5.21123714686095e-47
"ITGB2",5.77146295496547e-51,-1.49034327529041,0.675,0.828,1.94463672804607e-46
"RPS8",8.22286912099941e-51,0.527048644449259,1,0.999,2.77061352162954e-46
"TMEM123",1.4841466331381e-50,1.33657612127368,0.767,0.464,5.00068366569551e-46
"PSAP",1.94445400581441e-50,-2.72717544579193,0.522,0.729,6.55164332719108e-46
"FHIT",2.14130444197336e-50,2.87091845322318,0.308,0.065,7.21491118678503e-46
"LEPROTL1",1.80971345609126e-49,1.2948034985321,0.728,0.384,6.09764851895389e-45
"PIK3IP1",4.87600023982849e-49,1.77083253112518,0.583,0.254,1.64291952080781e-44
"MEF2C",9.4926174957016e-49,-6.43760559212158,0.005,0.392,3.1984425390017e-44
"CYBB",2.9819331460615e-48,-5.80403387349432,0.01,0.396,1.00473255423396e-43
"SERF2",3.29901418771058e-48,-0.741457694193096,0.975,0.983,1.1115698404072e-43
"ITM2A",1.17269611672149e-47,2.07809956081984,0.385,0.104,3.95128229568139e-43
"FCGR3A",1.18809940944974e-47,-6.90141328830368,0.013,0.392,4.00318215019996e-43
"RHOB",1.87994755456235e-47,-3.11407071722558,0.105,0.5,6.33429529034238e-43
"EEF1B2",3.31360529131808e-47,0.715046908836349,0.983,0.952,1.11648616685671e-42
"HLA-DQB1",3.63625520521595e-47,-3.50020707225451,0.15,0.517,1.22519982884546e-42
