"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NCF2",1.90551204725062e-142,2.00129737416912,0.805,0.159,6.42043229200623e-138
"LGALS9",4.77917802293828e-139,2.20623402970154,0.853,0.218,1.61029624304882e-134
"SECTM1",7.57048926688534e-138,3.79356886917809,0.418,0.024,2.55080065358435e-133
"CEBPB",2.42296171356123e-137,2.17678952439131,0.93,0.358,8.16392719767321e-133
"ANXA5",2.96159044069315e-137,1.93945518771197,0.945,0.338,9.97878283087151e-133
"SLC2A6",3.46053495616338e-137,2.92672720580561,0.595,0.081,1.16599264812969e-132
"FKBP1A",5.31493008028219e-137,1.68593699829447,0.973,0.585,1.79081254125028e-132
"TYROBP",8.81608154339741e-137,1.67585316417106,1,0.489,2.97049051523232e-132
"LGALS3",1.31085474648398e-136,1.94489795982706,0.853,0.204,4.41679398280311e-132
"RNASET2",5.12342263356047e-136,1.79306117178857,0.968,0.528,1.72628602215187e-131
"RHOC",1.24340800041159e-135,2.09750253633002,0.895,0.272,4.18953891658682e-131
"PYCARD",1.25031690884085e-134,1.83421961277312,0.968,0.405,4.21281779264838e-130
"TBC1D8",7.03322629604226e-134,4.14982854535949,0.39,0.02,2.36977526818848e-129
"LMO2",2.8384570198559e-133,2.8460875786473,0.55,0.066,9.56389708270246e-129
"CUX1",5.2623703456924e-133,2.90851822938648,0.713,0.152,1.7731030642776e-128
"SLC11A1",5.04796660498622e-132,2.06128324155257,0.72,0.13,1.70086186788406e-127
"CDH23",7.33625688185834e-132,3.77427838657921,0.41,0.025,2.47187839377335e-127
"TIMP1",4.02894049081721e-131,2.13800906316707,0.93,0.336,1.35751120897595e-126
"NEURL1",2.04791630688866e-129,4.45906697171093,0.36,0.015,6.90024920443064e-125
"LINC00877",7.7724932200509e-129,3.01663976891723,0.482,0.048,2.61886386556395e-124
"C1QA",7.9465260581326e-129,6.61913284860142,0.32,0.007,2.6775024900272e-124
"PRAM1",7.8082533137119e-128,2.39514787053442,0.627,0.1,2.63091287152209e-123
"FGL2",1.62360161266148e-127,1.84822554392876,0.86,0.216,5.4705632737016e-123
"MARCKS",2.24215918171009e-127,2.43142809247389,0.647,0.109,7.55473114685396e-123
"APOBEC3A",1.76229745478128e-126,3.85188282981865,0.475,0.049,5.93788504414004e-122
"FCN1",2.67264215724804e-125,1.70866864480184,0.905,0.251,9.00520048463155e-121
"ABI3",3.21652276376805e-125,2.00609398861382,0.835,0.22,1.08377518002401e-120
"NEAT1",5.93810657042554e-125,1.59638712858646,0.995,0.667,2.00078562783918e-120
"CD300LF",1.318643367801e-124,2.70337808165049,0.53,0.065,4.4430369634687e-120
"RXRA",1.92795850995349e-124,2.52821130686522,0.59,0.088,6.4960634034373e-120
"LYST",2.1644090849774e-124,1.93227490799018,0.902,0.289,7.29275997092284e-120
"NAP1L1",7.38091597811106e-124,1.80725190451803,0.983,0.644,2.48692582966474e-119
"CALML4",1.32115736933944e-123,4.452021965052,0.345,0.015,4.45150764025229e-119
"HK3",3.83134485141672e-123,2.9121421818336,0.492,0.054,1.29093333423635e-118
"S100A4",1.82189231259638e-121,1.44086403523594,1,0.821,6.13868395806225e-117
"CSTB",7.44117698873745e-121,1.79872412186277,0.958,0.56,2.5072301745852e-116
"CD300E",9.56305445831982e-121,2.48124467015824,0.565,0.081,3.22217556918628e-116
"YBX1",1.10215451187394e-120,1.1385390888026,0.995,0.909,3.71359941230807e-116
"CLEC12A",6.09725412713062e-119,2.03393932327349,0.67,0.123,2.05440880559539e-114
"LILRB3",4.3295915313033e-117,2.34476213838643,0.588,0.092,1.45881257055733e-112
"CD300C",1.25647275197297e-116,2.81987032729538,0.5,0.062,4.23355929049772e-112
"NFKBIZ",3.28029559397751e-116,2.03478563538497,0.94,0.4,1.10526279743478e-111
"ASAH1",9.222526738595e-116,1.83177494754437,0.905,0.342,3.1074381593022e-111
"CASP1",9.56281872121342e-116,1.89292037655466,0.875,0.298,3.22209613992565e-111
"ACTB",9.74033708218895e-116,0.972291218378962,1,1,3.28190917647275e-111
"ARPC1B",5.52329540061839e-115,1.19249268616877,0.99,0.831,1.86101915228436e-110
"MYL6",5.99391052601189e-115,1.06074963289098,1,0.936,2.01958821263445e-110
"CTD-2006K23.1",6.52524976114808e-115,4.08502403806037,0.348,0.02,2.19861765452124e-110
"NAMPT",1.05254238852492e-114,1.83727735694407,0.825,0.234,3.54643632389588e-110
"SMCO4",2.06576356884473e-114,2.19846135486699,0.623,0.11,6.96038376886542e-110
"MYOF",3.69865017942084e-114,3.83323973259494,0.345,0.019,1.24622319145406e-109
"ADAP2",7.46048545831252e-114,2.81110221375022,0.475,0.056,2.51373597032382e-109
"TNFRSF8",4.78242169347126e-113,4.44937505018159,0.302,0.01,1.61138916539821e-108
"PLXNB2",8.02422335529879e-113,2.59372378655185,0.522,0.073,2.70368181733438e-108
"SCIMP",2.43618674655564e-112,2.09513004337954,0.66,0.128,8.20848762384457e-108
"DUSP6",6.77807892126052e-112,1.77591501192638,0.797,0.203,2.28380591172952e-107
"UNC119",1.56073055129921e-111,2.18258797996276,0.743,0.191,5.25872551954755e-107
"CYBB",1.599698144566e-111,1.64490376455238,0.845,0.228,5.39002292830069e-107
"ANXA2",3.07892866383597e-111,1.63228204153759,0.953,0.43,1.03741422399289e-106
"TKT",6.51950549406889e-111,1.49780717184475,0.97,0.448,2.19668218117157e-106
"OAS1",2.80810251741409e-110,2.61615688536464,0.565,0.095,9.46162062217505e-106
"SLC31A2",9.10479224633675e-110,2.84393258708361,0.485,0.064,3.06776869948071e-105
"ICAM4",2.8365929314371e-109,5.10463598215689,0.28,0.007,9.55761622318417e-105
"RNF144B",3.0146133286529e-109,3.01460316252038,0.475,0.062,1.01574381495631e-104
"CPVL",5.15478788937328e-109,1.66025624131053,0.738,0.16,1.73685423144543e-104
"CARD9",5.59756936865538e-109,3.10216035227231,0.4,0.036,1.88604502307474e-104
"BLVRA",6.68479130471266e-109,1.98740579718884,0.68,0.142,2.25237358220989e-104
"HSBP1",7.55780225120498e-109,1.86927317672938,0.823,0.25,2.54652589052101e-104
"VASP",1.23178815780523e-108,1.72709091651597,0.932,0.461,4.15038701890896e-104
"S100A6",3.35696207417545e-108,1.36538082824158,1,0.856,1.13109480127268e-103
"NUDT16",5.20961805764069e-106,2.26881939309992,0.583,0.102,1.75532870834145e-101
"MYD88",1.42071820070958e-105,2.3116464237099,0.66,0.15,4.78696790547087e-101
"PRELID1",1.05356792474522e-104,1.48654208505699,0.975,0.598,3.54989176563654e-100
"CALM2",1.06080584880255e-104,1.65674348672022,0.968,0.711,3.57427922695531e-100
