"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC50A1",7.44576948513745e-09,1.18197153378176,0.235,0.132,0.000250877757032221
"SSBP2",7.45563033245378e-09,1.29542717953645,0.21,0.112,0.000251210008421698
"FAM49B",7.50827425529036e-09,-0.592418505488225,0.42,0.588,0.000252983792757753
"CES1",7.56785084351192e-09,-3.96982047028982,0.002,0.084,0.000254991166321291
"MYL6B",7.73118316976054e-09,1.90577813573913,0.098,0.034,0.000260494485721912
"TTYH3",7.91813709054137e-09,-2.39199319117038,0.015,0.107,0.000266793711128701
"OAZ2",8.00323031976404e-09,-1.02647449003695,0.125,0.268,0.00026966084239413
"RPL27",8.02251712338502e-09,0.263327129109237,0.993,0.987,0.000270310691955335
"POLM",8.20697450303152e-09,1.18767120181585,0.205,0.106,0.000276525798905144
"DNAJC3",8.2633001456915e-09,-1.17449121081766,0.09,0.22,0.000278423635108929
"CTD-2006K23.1",8.53872555233192e-09,-3.37929505119929,0.005,0.088,0.000287703818760272
"ADARB1",8.59379508465778e-09,1.69147272494927,0.105,0.038,0.000289559331582459
"NBEAL1",9.21384735439374e-09,0.49094613632581,0.812,0.754,0.000310451372758943
"KCNK6",9.41398261681114e-09,-2.15561013550471,0.028,0.126,0.000317194730290834
"RPL28",9.42144966298925e-09,0.116218331750767,1,1,0.00031744632494476
"ZNF274",9.68065662133593e-09,1.05294010559299,0.235,0.129,0.000326180044199293
"LACTB",9.71811555214337e-09,-1.37378648832243,0.072,0.193,0.000327442185413919
"YWHAE",9.80787015848705e-09,-0.88364755211361,0.205,0.354,0.000330466377120063
"LMAN2",9.81753624540477e-09,-0.639033459058983,0.272,0.448,0.000330792066252668
"SIMC1",9.93905370443897e-09,1.71948769892012,0.102,0.036,0.000334886475517367
"BTN3A2",1.01570143489543e-08,-0.894567483352578,0.192,0.342,0.000342230441473665
"DISP1",1.03152967452386e-08,3.24116946478068,0.035,0.004,0.000347563608534069
"PLA2G16",1.0373338199921e-08,-3.31194525445894,0.013,0.1,0.000349519257308137
"SERINC5",1.04412682394107e-08,-1.79665979887329,0.055,0.164,0.000351808092058705
"GRAPL",1.07509321469306e-08,3.01127583954349,0.035,0.004,0.000362241907758681
"RGMB",1.09217645129717e-08,2.37607937550849,0.045,0.008,0.000367997933500069
"ZNF395",1.10651877657176e-08,1.63865760953378,0.102,0.036,0.000372830436578088
"KLRC1",1.11958132833219e-08,-7.42039212012398,0,0.076,0.000377231732768247
"TWF2",1.1309119697994e-08,-0.7734888948354,0.262,0.418,0.000381049479104211
"PTAFR",1.16710726091746e-08,-2.8078781462152,0.013,0.1,0.00039324512049353
"CAMKK2",1.16953235102592e-08,-1.73496885290987,0.032,0.136,0.000394062230354675
"NDUFS8",1.17847345619052e-08,-0.769036857574972,0.258,0.41,0.000397074846328833
"FUCA2",1.18109971197667e-08,-2.15507118179049,0.025,0.121,0.00039795973695342
"C9orf16",1.21231201981087e-08,-0.539723043914069,0.44,0.61,0.000408476411955076
"CCND2",1.22700956608597e-08,-1.65208555683055,0.06,0.172,0.000413428603197005
"ZNF431",1.24489032416409e-08,1.19978825071601,0.202,0.104,0.000419453345823848
"CLECL1",1.24990574907306e-08,1.57283634075985,0.148,0.066,0.000421143243092677
"FBXO6",1.25961700045904e-08,-2.03972429605575,0.03,0.129,0.000424415352134667
"ROMO1",1.29464226558309e-08,-0.627006681718709,0.275,0.446,0.000436216764965566
"RETN",1.29717209653055e-08,-3.7304161166122,0.007,0.09,0.000437069166205002
"AC092580.4",1.31591569618293e-08,-4.47648288412875,0.007,0.09,0.000443384634671878
"PTPRN2",1.3191616881701e-08,1.90174741659583,0.088,0.028,0.000444478339212034
"PIK3R5",1.33256624744708e-08,-1.40895473111805,0.072,0.192,0.00044899487141482
"SATB1",1.36581124760669e-08,-1.23194584823974,0.13,0.26,0.000460196441768597
"TBC1D22A",1.37352008294843e-08,1.14127264614273,0.27,0.164,0.000462793856748644
"PLK3",1.49206830840723e-08,-1.22526490678334,0.105,0.234,0.000502737495834732
"VIMP",1.49316392933623e-08,-0.886537595429849,0.135,0.278,0.000503106654350548
"ERGIC3",1.49481057264602e-08,-0.698233110385412,0.308,0.466,0.000503661474347351
"EIF2S3",1.523714128096e-08,0.541584058231389,0.618,0.527,0.000513400238320667
"NANS",1.54648021402683e-08,-1.23106933274701,0.112,0.242,0.000521071043314199
"TMCO1",1.54972506709269e-08,-0.904976817044782,0.178,0.326,0.00052216436410621
"RPS9",1.55568000842068e-08,0.212872348703121,0.993,0.996,0.000524170822037263
"NFE2",1.58907405849861e-08,-5.93301015608442,0,0.075,0.000535422613270522
"DENND6B",1.60824996423824e-08,-3.04156360331713,0.013,0.098,0.000541883742950432
"SCLT1",1.61448910289989e-08,-1.23742551343386,0.09,0.215,0.000543985958331089
"GPR65",1.67862302156416e-08,-1.03982023713194,0.117,0.254,0.000565595240885829
"RAB3D",1.68083955349063e-08,-2.20267963361126,0.028,0.124,0.000566342079153134
"RIN1",1.6966991696898e-08,-3.93127347003061,0.002,0.08,0.000571685818235283
"SLC2A11",1.7148425971023e-08,1.61021144796405,0.108,0.04,0.000577799064667648
"UHRF2",1.71521707480395e-08,1.18542413125602,0.198,0.102,0.000577925241184443
"NEU1",1.72883434855711e-08,-1.22371950309011,0.125,0.256,0.000582513445402832
"MAP4K2",1.72969609971722e-08,1.19343148266305,0.242,0.142,0.00058280380383872
"H3F3A",1.74497292016298e-08,-0.377202463823053,0.968,0.964,0.000587951175719713
"TMEM241",1.76995444371607e-08,2.65537924265941,0.055,0.013,0.000596368450265693
"SLC25A20",1.79788209268473e-08,-1.88014241798247,0.02,0.112,0.000605778392309193
"PLEKHO2",1.81752330246719e-08,-3.41654927814871,0.007,0.089,0.000612396301533294
"NSMF",1.82116989814735e-08,-2.73274628656705,0.013,0.098,0.000613624985481767
"KIAA0513",1.90593866006962e-08,-3.10338868848926,0.007,0.089,0.000642186972123859
"ERN1",1.95098344392788e-08,-1.54686809010061,0.072,0.186,0.00065736436159706
"PSMC1",1.98704347618863e-08,-0.916613464087401,0.142,0.282,0.000669514428866998
"RB1",1.98940922711401e-08,1.19794054692724,0.292,0.188,0.000670311544983795
"EFCAB13",1.99588657299336e-08,2.68754014455064,0.052,0.012,0.000672494021904384
"GNB1",2.02538137288399e-08,-0.896371380652532,0.165,0.31,0.000682431999779531
"LAMC1",2.05048134227923e-08,3.4893403571006,0.028,0.002,0.000690889183467564
"PNPLA6",2.05278662300741e-08,-1.31359867844197,0.065,0.182,0.000691665924756118
