"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PLEKHO2",0.0180355704566472,0.814982097369851,0.102,0.07,1
"RP11-242D8.1",0.0180554480917995,-1.71045758386732,0.015,0.038,1
"RAB39B",0.0180826456644987,-2.09829147312422,0.01,0.031,1
"CARS",0.0180873458713991,-0.840738215315729,0.098,0.138,1
"DPF2",0.0180888971934048,-0.693556984462795,0.122,0.166,1
"FBXO30",0.0182300600613179,1.22356119393322,0.035,0.017,1
"FRMD8",0.0182539232049665,-0.673410052221126,0.082,0.122,1
"GALM",0.0182933873472695,-1.57541644187725,0.043,0.073,1
"SDAD1",0.0183114053155164,-0.491796754017757,0.155,0.203,1
"ALDH3A2",0.0183384473208748,0.604678058072127,0.092,0.06,1
"BCAT1",0.0183434550796711,0.980743199879739,0.043,0.022,1
"TMSB4Y",0.0183446444250675,1.26711192928422,0.018,0.006,1
"SOS2",0.0183790567767504,0.621724265462838,0.112,0.077,1
"SPRYD7",0.0183801762188531,-0.950830367824735,0.035,0.066,1
"NCBP3",0.0184115679219812,0.566189240542437,0.158,0.116,1
"FAM53C",0.0184117048921644,-0.46558191516413,0.14,0.186,1
"EIF2AK3",0.0184380498359865,-1.37073523599614,0.04,0.071,1
"SH3KBP1",0.0184515133689684,0.197109348410977,0.47,0.4,1
"PPP4R3B",0.0184553903841576,-0.416897322692963,0.185,0.234,1
"PPIL2",0.0184560620799421,-0.775950772806412,0.085,0.125,1
"SECISBP2",0.0184614403367564,-0.452924066664595,0.2,0.25,1
"POLR1D",0.018467498740927,0.20833888004805,0.555,0.494,1
"U91328.19",0.018472285998115,0.951415307663226,0.018,0.006,1
"SMPDL3A",0.0184731957265191,1.13013660625437,0.055,0.032,1
"PEX14",0.0184775707984019,-1.4606215186194,0.025,0.052,1
"CCT2",0.0185324871700781,-0.440178914499114,0.268,0.316,1
"NARF",0.018561682973095,-0.561751665276857,0.18,0.226,1
"SNRK",0.0185631564716253,-0.639889056408448,0.142,0.186,1
"RIN1",0.0185864841431288,0.928059940983074,0.092,0.062,1
"ZNF253",0.0186181537093881,-2.36485957494585,0.005,0.023,1
"TULP3",0.0186470283439738,-2.47874125486911,0.007,0.027,1
"TRANK1",0.0186492901430953,-0.956057327580059,0.06,0.095,1
"CCZ1B",0.0186898018781161,1.14720475682233,0.065,0.04,1
"EIF6",0.0187226502445141,0.330783197356767,0.38,0.324,1
"MRPL53",0.018739295756691,0.612209438114518,0.12,0.084,1
"KANSL1-AS1",0.0187880671025403,-1.0347916029837,0.038,0.068,1
"RP11-1000B6.3",0.0188088867269895,0.199304713741461,0.198,0.145,1
"C16orf70",0.0188216900998191,0.848845247373261,0.07,0.043,1
"SEMA4B",0.0188716679684622,-0.918490511751616,0.043,0.075,1
"TGIF1",0.0188758603712182,0.355553645801336,0.13,0.09,1
"FAM193B",0.018899782384597,0.680265833433352,0.07,0.043,1
"PNP",0.0189588414532415,0.287449941616691,0.265,0.208,1
"BTBD19",0.0189661675082349,1.5905685032299,0.025,0.011,1
"HNRNPAB",0.0189755006179467,0.328162797173424,0.29,0.236,1
"FAM153A",0.0190260406265199,-3.01317967975034,0.002,0.018,1
"DDX3Y",0.0190324295917695,0.469112967850438,0.13,0.09,1
"TLN1",0.019033797095342,0.302424052214902,0.448,0.382,1
"GNB1L",0.0190659536306552,-1.17325137914305,0.028,0.056,1
"CXorf38",0.0190921657495287,0.340402288889197,0.198,0.149,1
"SNX13",0.0190961044457102,0.518575805444339,0.115,0.079,1
"PTGER4",0.0191065940327237,-0.548942531508922,0.23,0.278,1
"SSB",0.0191119763830622,-0.351109482651293,0.328,0.38,1
"HEXIM1",0.0191130668360383,-0.457223887380896,0.138,0.185,1
"ABCA5",0.0191964953453206,-1.75501722282954,0.013,0.034,1
