"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"TMEM260",0.290912290674041,-0.147165798920943,0.02,0.035,1,0.665999617453431,0.18777777189588,0.07,0.082,1,0.665999617453431,0.497194620482864
"NUBPL",0.483099471426642,0.807062354353751,0.03,0.022,1,0.291448166457591,-0.304608223404156,0.025,0.041,1,0.483099471426642,0.497954299183691
"AMN1",0.537270865539004,0.439782631152384,0.045,0.036,1,0.291487075560396,-0.476476563325028,0.05,0.071,1,0.537270865539004,0.49800943590204
"S100A13",0.984754233885878,1.15252231757259,0.015,0.015,1,0.291601098759769,1.44710367027436,0.02,0.011,1,0.984754233885878,0.498170996721633
"USP38",0.291836927699665,0.794475183408383,0.07,0.053,1,0.75881511288975,0.574558985664955,0.115,0.114,1,0.75881511288975,0.498505063030151
"LETM2",0.291866910478587,1.29064186052856,0.02,0.011,1,0.384151076335029,0.620236047420865,0.125,0.109,1,0.384151076335029,0.498547527524858
"MGAT5",0.292012071664088,-0.280900009119123,0.015,0.028,1,0.402541906032625,-0.307200477569893,0.07,0.089,1,0.402541906032625,0.498753093330624
"SIMC1",0.816677639379794,0.249718327552517,0.035,0.039,1,0.292130593751526,-0.178144643281299,0.04,0.06,1,0.816677639379794,0.498920903697433
"E2F1",0.292398976914994,1.42079052361058,0.02,0.011,1,1,0.169364053085641,0.01,0.01,1,1,0.499300792129053
"CENPM",0.344149584665318,-0.386992322849713,0.01,0.02,1,0.292398976914994,-1.53345078425535,0.005,0.014,1,0.344149584665318,0.499300792129053
"TMEM208",0.292519956740326,0.522625934737333,0.19,0.173,1,0.418245601007352,0.371324929712585,0.205,0.192,1,0.418245601007352,0.49947198838929
"TIMM17B",0.29291311663215,0.569559156106117,0.225,0.213,1,0.539310698936051,0.156985070872687,0.245,0.301,1,0.539310698936051,0.50002813936914
"AMIGO2",0.292931694403829,1.31986503208963,0.02,0.011,1,0.517600562971092,0.860384469890047,0.02,0.014,1,0.517600562971092,0.500054411221359
"C1orf109",0.293002782931677,0.885242256103655,0.05,0.035,1,0.680819634307672,0.248767026527654,0.055,0.048,1,0.680819634307672,0.500154935057647
"THAP8",0.997458888637181,0.382674371414,0.015,0.015,1,0.29313100196916,-0.456475960978438,0.015,0.028,1,0.997458888637181,0.500336219622877
"MRPL40",0.293306943677048,0.125275446993965,0.135,0.176,1,0.902455313093267,0.312437574459531,0.185,0.211,1,0.902455313093267,0.500584924144924
"CLCN5",0.293465063022214,-1.6349904978515,0.005,0.014,1,0.451943355851208,0.641233359960512,0.015,0.024,1,0.451943355851208,0.500808382829796
"FKRP",0.664498534127913,0.499994820441295,0.01,0.014,1,0.293465063022214,-1.40705219409642,0.005,0.014,1,0.664498534127913,0.500808382829796
"SLC35C1",0.293504617368095,-0.536337340926565,0.015,0.028,1,0.623373158739599,0.285473233935444,0.045,0.055,1,0.623373158739599,0.500864274319798
"MRM1",0.585312279637789,0.352057341670036,0.025,0.019,1,0.29357949058146,-0.12579183795848,0.02,0.035,1,0.585312279637789,0.500970063872851
"RABL2A",0.29358447491749,0.505834398171106,0.07,0.052,1,0.854856886705633,0.391561901339114,0.065,0.063,1,0.854856886705633,0.500977105922402
"NEK3",0.844813426462928,0.467289464878275,0.02,0.018,1,0.293677009143718,1.17078944341344,0.04,0.027,1,0.844813426462928,0.501107832587837
"KIN",0.293765327852264,0.674343103108068,0.11,0.09,1,0.628288931940809,0.180223590618438,0.135,0.157,1,0.628288931940809,0.50123258785638
"C18orf25",0.293769863639697,0.879706817859053,0.07,0.053,1,0.486605335362599,0.2731706923814,0.07,0.088,1,0.486605335362599,0.501238994496508
"APBA3",0.293863323562921,0.663141633420377,0.075,0.057,1,0.861493243179731,0.431259983826897,0.09,0.09,1,0.861493243179731,0.501370994190397
"PPP1R12B",0.29387855212563,-0.52514476987506,0.015,0.028,1,0.294546919557404,0.212440151037848,0.03,0.047,1,0.294546919557404,0.501392500851803
"IL18BP",0.661650594934421,0.408423280704802,0.03,0.037,1,0.293921039084724,-0.135069338119603,0.07,0.096,1,0.661650594934421,0.501452500952804
"MBLAC2",0.293999082845612,1.10083989622532,0.02,0.011,1,0.355977564507789,1.16475099753254,0.03,0.02,1,0.355977564507789,0.501562704977162
"RDH13",0.578877779479012,0.445343849299467,0.045,0.037,1,0.294179705911484,1.07976275946001,0.07,0.054,1,0.578877779479012,0.501817712452801
"AK2",0.294196845445936,0.511924552182581,0.195,0.176,1,0.852842643676752,0.330930330557167,0.255,0.277,1,0.852842643676752,0.501841907021532
"TYK2",0.294280085867777,0.746325688056682,0.11,0.091,1,0.533753771861863,0.346838476507539,0.245,0.243,1,0.533753771861863,0.501959402797208
"AC109826.1",0.294533753947816,0.952100038674403,0.02,0.011,1,0.591254187049226,1.10426631970895,0.02,0.015,1,0.591254187049226,0.50231737568104
"PDIK1L",0.838794836306244,0.548256651754684,0.02,0.018,1,0.294662276785408,0.891293331508715,0.045,0.031,1,0.838794836306244,0.502498696210456
"MRPL3",0.294763710989055,0.149510595135351,0.155,0.203,1,0.902208628428692,0.361459240469868,0.215,0.238,1,0.902208628428692,0.50264177666207
"BAP1",0.310733328617681,0.743478122560577,0.085,0.067,1,0.295172525719994,0.880069200063747,0.105,0.087,1,0.310733328617681,0.503218231500067
"ZNF654",0.29525479584985,0.202579647706299,0.02,0.035,1,0.387924546807258,0.331413672281231,0.02,0.032,1,0.387924546807258,0.503334197227363
"TUBGCP6",0.889377412413893,0.350529401733424,0.04,0.043,1,0.295276359974888,0.15568663693224,0.075,0.104,1,0.889377412413893,0.503364591189756
"MRPL49",0.546647181169338,0.695517839364671,0.1,0.091,1,0.295500117034857,0.748414741519703,0.14,0.122,1,0.546647181169338,0.5036799149021
"CTD-2341M24.1",0.296678952562172,-0.929484437924637,0.005,0.014,1,0.674278945337405,0.972763170362577,0.04,0.035,1,0.674278945337405,0.505339504230956
"GCNT4",0.339386350631165,-0.694366125875411,0.005,0.013,1,0.296678952562172,-0.948901229275783,0.005,0.014,1,0.339386350631165,0.505339504230956
"NDRG2",0.752130146209899,0.413731869828228,0.02,0.024,1,0.296881530057627,-0.27138605027073,0.015,0.028,1,0.752130146209899,0.505624417225897
"MTFP1",0.297271387737802,0.862326604996579,0.07,0.054,1,0.867553824113302,0.626558835785016,0.08,0.08,1,0.867553824113302,0.506172497508046
"ZNF582-AS1",0.807733411543379,-0.230884734412461,0.01,0.012,1,0.297299315593145,1.44153713561392,0.025,0.015,1,0.807733411543379,0.506211748134137
"BRAF",0.29730285389852,-0.364238201698446,0.035,0.053,1,0.785440250544384,0.515702826034814,0.14,0.142,1,0.785440250544384,0.506216720860835
"RP1-39G22.7",0.297446842809561,-0.387393452514543,0.015,0.028,1,0.816677761073415,0.488702834371406,0.045,0.042,1,0.816677761073415,0.506419061321747
"C18orf32",0.9432330228376,0.524084093508067,0.115,0.126,1,0.297470547380034,0.359460057599263,0.35,0.354,1,0.9432330228376,0.506452368201491
"MDM2",0.297514496643755,0.398671462399811,0.06,0.086,1,0.53047031022085,0.70453674756537,0.105,0.127,1,0.53047031022085,0.506514117574323
"IFT22",0.297571681239562,1.1024289309247,0.04,0.027,1,0.565486831416391,0.215793267178772,0.025,0.033,1,0.565486831416391,0.506594457003384
"SAP130",0.29777117106981,1.65225537054715,0.03,0.019,1,0.394131783914077,0.520234190670668,0.08,0.064,1,0.394131783914077,0.506874671819334
"EYA3",0.789361512458178,0.616268415048706,0.05,0.047,1,0.298166865197115,0.718022858548711,0.08,0.062,1,0.789361512458178,0.507430250892755
"DET1",0.298294693317724,-0.598201997696034,0.005,0.014,1,0.673144716217982,0.776631646482579,0.02,0.016,1,0.673144716217982,0.507609662573934
"SLC39A9",0.911703787895319,0.341942711106922,0.03,0.032,1,0.298349537288347,0.143598673226918,0.065,0.09,1,0.911703787895319,0.507686628176524
"TRMT1L",0.679157134629011,0.27192375919624,0.035,0.042,1,0.298371194871743,0.165049571858001,0.07,0.097,1,0.679157134629011,0.507717019814295
"TPR",0.29855392213846,0.378357841299248,0.33,0.323,1,0.82802134986353,0.153256818689796,0.415,0.456,1,0.82802134986353,0.507973399852662
"MFHAS1",0.298587156559736,-0.986445193846613,0.01,0.021,1,0.49306920853117,0.319022772836693,0.035,0.047,1,0.49306920853117,0.508020023057044
"ZNF540",0.721847401394065,0.777601642198543,0.015,0.012,1,0.298639828306298,0.931663000810329,0.04,0.027,1,0.721847401394065,0.508093909561781
"UBOX5",0.838043167475316,0.379437625055672,0.02,0.018,1,0.298730599614001,-0.161522648895556,0.025,0.041,1,0.838043167475316,0.508221228082262
"C2orf81",0.298834577106335,-0.245196876034889,0.005,0.014,1,0.894969405604635,0.318813880832916,0.01,0.009,1,0.894969405604635,0.508367049738348
"RP11-66N24.3",0.298834577106335,-0.609062173047255,0.005,0.014,1,0.479962861006986,-0.390138109637922,0.015,0.023,1,0.479962861006986,0.508367049738348
"PHB2",0.837302966406982,0.194146009956324,0.29,0.315,1,0.298989235853125,-0.105405912994846,0.49,0.589,1,0.837302966406982,0.508583908550215
"RP1-267D11.6",0.971650735363395,0.718406216695304,0.025,0.025,1,0.299199532869068,-0.174224651630467,0.025,0.041,1,0.971650735363395,0.508878705269067
"HIST1H2AG",0.29937511276256,-0.699749939953098,0.005,0.014,1,0.418388450182318,-0.313386793689686,0.055,0.072,1,0.418388450182318,0.509124767383525
"RAD51AP1",0.29937511276256,-0.748324989575117,0.005,0.014,1,0.767444281700095,-0.120503282513918,0.015,0.018,1,0.767444281700095,0.509124767383525
"ING3",0.299448499196547,0.58004631005662,0.15,0.131,1,0.45406002417183,0.25535566429258,0.105,0.132,1,0.45406002417183,0.509227594722029
"NAPG",0.29953325270003,0.756601429748945,0.085,0.067,1,0.78193847430826,0.458703169648472,0.145,0.147,1,0.78193847430826,0.509346335927
"RNLS",0.299916300343409,0.121342674095748,0.005,0.014,1,0.534916812697363,1.02259120436177,0.03,0.023,1,0.534916812697363,0.509882813475141
"LRRC37A2",0.300111384500729,1.6805960145471,0.025,0.015,1,0.356442768375501,-0.728691429290564,0.015,0.026,1,0.356442768375501,0.510155925894514
"TMCO4",0.473415822568782,0.944758527285463,0.05,0.04,1,0.300269219456526,0.673507283144623,0.065,0.048,1,0.473415822568782,0.510376834760021
"TFPT",0.898705745987352,0.482560182749638,0.095,0.097,1,0.30054794509845,-0.256711569177614,0.06,0.083,1,0.898705745987352,0.510766822893999
"USP21",0.90136787873533,0.590287182428348,0.015,0.014,1,0.300711793630049,0.685979466986447,0.085,0.067,1,0.90136787873533,0.510996004431897
"FAM20B",0.300715250021781,1.62346710814505,0.03,0.019,1,0.525658943021263,0.878398772638514,0.055,0.046,1,0.525658943021263,0.5110008384479
"WBP1L",0.300820942982298,-0.276055223319325,0.045,0.065,1,0.978132955230695,0.458614283014396,0.115,0.12,1,0.978132955230695,0.511148646227837
"TMEM11",0.300848782782265,0.231879149384816,0.08,0.111,1,0.618167085706474,0.541507468525964,0.15,0.147,1,0.618167085706474,0.51118757546296
"VPS37A",0.864105241406887,0.44951721018316,0.08,0.079,1,0.301576016434628,0.785788547557217,0.13,0.114,1,0.864105241406887,0.512203939180678
"DCAF10",0.715246248173852,0.493125472969677,0.105,0.101,1,0.301631775152866,0.108983532046562,0.095,0.127,1,0.715246248173852,0.512281822523863
"NSRP1",0.301674484839154,0.399607755760478,0.205,0.185,1,0.813041079123534,0.35433168157487,0.18,0.184,1,0.813041079123534,0.51234147487534
"C16orf70",0.30180499526586,-0.180379212006013,0.015,0.028,1,0.681939003566744,0.320714287780015,0.075,0.068,1,0.681939003566744,0.512523735364295
"LINC00921",0.695078581261759,0.29158601655966,0.02,0.025,1,0.302008430683747,0.824350725226995,0.045,0.031,1,0.695078581261759,0.512807769163434
"NPIPB5",0.302110790372673,0.608115501315153,0.09,0.071,1,0.662583509233242,0.102454919007489,0.095,0.109,1,0.662583509233242,0.512950651085745
"RP11-242D8.1",0.683143498237378,0.265420069403272,0.045,0.039,1,0.302218786847542,1.03514258617386,0.04,0.027,1,0.683143498237378,0.513101378571483
"RBMX2",0.302460878709792,0.627772019715508,0.145,0.127,1,0.336682747150937,-0.153426202685882,0.12,0.151,1,0.336682747150937,0.513439174269685
"ERLIN2",0.8843263126967,0.314455020231132,0.04,0.043,1,0.302548056093459,0.145699313191014,0.065,0.089,1,0.8843263126967,0.513560785940987
"SYNJ1",0.302567247817853,-0.164397766969288,0.015,0.028,1,0.919902870201804,0.579828426666738,0.075,0.076,1,0.919902870201804,0.513587556183636
"FOXO4",0.719042353434051,0.704787014485349,0.015,0.019,1,0.303019541720365,0.753594940164258,0.045,0.031,1,0.719042353434051,0.51421824077631
"LXN",0.303298016487676,1.02354187007896,0.04,0.027,1,0.720643104860227,0.83878982972443,0.03,0.026,1,0.720643104860227,0.514606346169994
"UBAP2",0.703272737610773,0.201206833509653,0.04,0.047,1,0.303454885764658,-0.198923799362111,0.06,0.083,1,0.703272737610773,0.514824903834875
"ZNF236",0.303599843074595,0.183289529525049,0.025,0.041,1,0.870447813534613,0.327302520798819,0.075,0.074,1,0.870447813534613,0.515026821434271
"RP11-162G10.5",0.304125394279545,1.1479238060034,0.025,0.015,1,0.439130428847257,1.0936455851191,0.06,0.049,1,0.439130428847257,0.515758533113401
"ATP6V1E2",0.710098854846637,0.402565657226819,0.03,0.036,1,0.304194542001704,-0.155447227466167,0.03,0.047,1,0.710098854846637,0.515854764619781
"TTLL1",0.304310569417467,-0.739185741999353,0.01,0.021,1,0.585503822018648,0.253996569730783,0.02,0.027,1,0.585503822018648,0.516016216175751
"PPP2R1B",0.538003097815291,0.271331602826431,0.03,0.04,1,0.304771394493042,-0.191404162484823,0.035,0.053,1,0.538003097815291,0.516657186084851
"ZNF771",0.304837453391883,1.12119895201689,0.025,0.015,1,0.434866279491151,0.434341234222452,0.03,0.021,1,0.434866279491151,0.516749033793317
"TRIM5",0.854232399424488,0.431366753270022,0.03,0.033,1,0.304885183283169,0.777076357503011,0.07,0.053,1,0.854232399424488,0.516815391580726
"RPUSD4",0.904085512149197,0.603482832660738,0.055,0.055,1,0.305094161563343,-0.213996570965063,0.05,0.071,1,0.904085512149197,0.517105875706647
"NFIA",0.305641652967019,-0.283390576285153,0.01,0.021,1,0.396008524056213,-0.3745637697513,0.015,0.025,1,0.396008524056213,0.517866485905626
"AAMP",0.410740244792903,0.527642689447571,0.22,0.218,1,0.305706344763235,0.459292364589376,0.3,0.298,1,0.410740244792903,0.517956320297973
"MKNK1",0.305962423846337,0.846284777968238,0.12,0.103,1,0.945858681392149,0.128422636260985,0.1,0.104,1,0.945858681392149,0.518311842886748
