"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"MRPL53",0.270904203408123,-0.10962981824661,0.08,0.109,1,0.383533175794557,-0.217857636999538,0.06,0.079,1,0.383533175794557,0.468419319392056
"PDSS1",0.270913591338789,-0.683701285804307,0.01,0.022,1,0.862478040453951,0.482955238308447,0.035,0.033,1,0.862478040453951,0.468433008705498
"SPDYA",0.27112468296477,1.61253716397811,0.01,0.004,1,0.655261152370525,0.930094172594432,0.01,0.007,1,0.655261152370525,0.468740772216793
"KCNQ5",0.27112468296477,1.80450508247364,0.01,0.004,1,0.299462974626397,-0.943803008653346,0.01,0.021,1,0.299462974626397,0.468740772216793
"CCDC171",0.27112468296477,2.10018433812758,0.01,0.004,1,0.896040494028836,0.312309291578726,0.01,0.009,1,0.896040494028836,0.468740772216793
"ZNF816-ZNF321P",0.27112468296477,1.96906080737958,0.01,0.004,1,0.304753845512836,-0.368404954686671,0.01,0.021,1,0.304753845512836,0.468740772216793
"KCNC4",0.500543717975765,-0.352018753359907,0.005,0.01,1,0.27112468296477,1.76165575550283,0.01,0.004,1,0.500543717975765,0.468740772216793
"AC079305.10",0.816722563568831,0.574858701344725,0.015,0.013,1,0.27112468296477,1.96038834821524,0.01,0.004,1,0.816722563568831,0.468740772216793
"FAM222B",0.271314955588609,0.662346081151161,0.03,0.018,1,0.757888541337285,0.535139132577834,0.055,0.051,1,0.757888541337285,0.469018106051169
"RP11-11N9.4",0.56168827558928,-0.524328280010428,0.045,0.055,1,0.271314955588609,-0.225649662213763,0.01,0.022,1,0.56168827558928,0.469018106051169
"ZNF77",0.383899492293367,-0.744147767727848,0.005,0.012,1,0.2713471516207,0.723083840337975,0.04,0.026,1,0.383899492293367,0.469065026548733
"RP11-400F19.6",0.271716726986983,-0.752084414510571,0.01,0.022,1,0.679408172151608,0.502406954831478,0.06,0.054,1,0.679408172151608,0.469603474249448
"BAG6",0.807840251223895,0.111531684359394,0.2,0.216,1,0.271780356510531,-0.296160975969243,0.29,0.335,1,0.807840251223895,0.469696150836071
"CC2D1B",0.777791852603939,0.112122988325752,0.035,0.031,1,0.271823263871975,0.479644950087135,0.08,0.06,1,0.777791852603939,0.469758640961937
"PPP1R37",0.390909243237401,0.844760977160395,0.04,0.029,1,0.271905921005716,0.682986011053301,0.085,0.065,1,0.390909243237401,0.469879012133465
"RP4-549L20.3",0.271922211829147,1.5839480531634,0.01,0.004,1,0.319793621087304,0.475406281109109,0.04,0.027,1,0.319793621087304,0.469902734372239
"RP11-11N7.4",0.271922211829147,1.43831488907861,0.01,0.004,1,0.626469367182034,0.764379498646846,0.015,0.011,1,0.626469367182034,0.469902734372239
"STX18-AS1",0.271922211829147,1.74456555999943,0.01,0.004,1,0.465257093531845,0.760042951579975,0.035,0.026,1,0.465257093531845,0.469902734372239
"AMACR",0.271922211829147,1.84652042459098,0.01,0.004,1,0.381919295507289,0.556435139639833,0.025,0.016,1,0.381919295507289,0.469902734372239
"PDXDC1",0.271927099786383,-0.409408036147765,0.09,0.117,1,0.923776026829286,0.277325077095823,0.225,0.232,1,0.923776026829286,0.469909851974532
"IFIT5",0.272167167986558,-0.406430125949603,0.04,0.06,1,0.445730853487401,-0.105113411115773,0.045,0.059,1,0.445730853487401,0.470259368643293
"USP1",0.272188822682789,-0.109086507235309,0.12,0.155,1,0.462873881334467,-0.133326454544964,0.17,0.197,1,0.462873881334467,0.470290890172135
"RITA1",0.498933978712898,0.302671402071824,0.045,0.035,1,0.272240523097583,-0.37072918442905,0.05,0.072,1,0.498933978712898,0.47036614377872
"UBE2G2",0.48050039397866,0.395613259622703,0.16,0.146,1,0.272326613739101,0.37014169614727,0.26,0.238,1,0.48050039397866,0.470491442927597
"ZNF548",0.632635372581483,-0.648882755036917,0.025,0.031,1,0.272360470929889,-0.355907144656305,0.025,0.042,1,0.632635372581483,0.470540715734628
"DCAF10",0.478476291549183,0.254950770464416,0.085,0.105,1,0.272509228517932,0.544791281863329,0.14,0.118,1,0.478476291549183,0.470757177408425
"ARL6",0.272721345364185,1.40155508452572,0.01,0.004,1,0.450864432305476,0.568593418966449,0.02,0.013,1,0.450864432305476,0.471065758511119
"KCTD21-AS1",0.272721345364185,1.47475559409974,0.01,0.004,1,0.436473814744456,1.20743886051634,0.015,0.009,1,0.436473814744456,0.471065758511119
"CEP68",0.916807809230055,0.272616193059413,0.065,0.064,1,0.2727243872498,-0.141440475274541,0.06,0.085,1,0.916807809230055,0.471070183098822
"KPNA2",0.272833781573765,-0.17438782826379,0.065,0.091,1,0.600525496474459,0.336026847918897,0.15,0.14,1,0.600525496474459,0.471229290779689
"RP11-110I1.13",0.439537916360386,-0.391812605502443,0.005,0.011,1,0.27292448478392,-0.688172569436855,0.01,0.022,1,0.439537916360386,0.471361195173271
"CTD-2020K17.1",0.273028353064254,0.414658296036066,0.08,0.059,1,0.857448888585792,0.144399647897477,0.07,0.067,1,0.857448888585792,0.47151222455153
"TSR3",0.888720199301152,0.22626070236738,0.165,0.169,1,0.273329440471149,-0.372040094693133,0.105,0.135,1,0.888720199301152,0.471949897914027
"ANAPC4",0.349037095966062,-0.270620349870136,0.035,0.051,1,0.273470920332996,0.618077213505048,0.11,0.088,1,0.349037095966062,0.472155496398216
"DDX1",0.83349524053698,0.23576130958078,0.145,0.159,1,0.273470920332996,0.540853502126346,0.11,0.088,1,0.83349524053698,0.472155496398216
"RP11-464F9.20",0.273522084118278,1.26093410086105,0.01,0.004,1,0.91568066274999,0.811715524039917,0.02,0.019,1,0.91568066274999,0.472229837736149
"DAPK2",0.273522084118278,1.17212442337504,0.01,0.004,1,0.397315771875754,1.18900517143087,0.01,0.005,1,0.397315771875754,0.472229837736149
"MORC2-AS1",0.531630672319941,-0.10166959196694,0.04,0.051,1,0.273522084118278,1.19917199934784,0.01,0.004,1,0.531630672319941,0.472229837736149
"HEMGN",0.533504635709901,0.671196549670491,0.015,0.01,1,0.273522084118278,1.22196739239545,0.01,0.004,1,0.533504635709901,0.472229837736149
"SEPHS2",0.438004324522989,-0.392085171885011,0.005,0.011,1,0.273526633641194,0.100710246634178,0.26,0.224,1,0.438004324522989,0.472236447971304
"DNAAF5",0.273731693683015,-0.511221612820489,0.01,0.022,1,0.687631532742628,0.300456403190419,0.045,0.053,1,0.687631532742628,0.472534347239458
"DNMBP",0.273731693683015,-0.38196676540359,0.01,0.022,1,0.777987794832022,0.143932449848195,0.015,0.018,1,0.777987794832022,0.472534347239458
"LIPE-AS1",0.283844101229801,-0.260228669867847,0.065,0.09,1,0.273731693683015,-0.668590963889978,0.01,0.022,1,0.283844101229801,0.472534347239458
"SLC9A3R2",0.654722413558753,-0.119752328085166,0.01,0.014,1,0.273731693683015,-0.379349473409209,0.01,0.022,1,0.654722413558753,0.472534347239458
"EDC3",0.273773479200742,0.756645003615644,0.035,0.022,1,0.809442900228608,0.266868146588654,0.07,0.066,1,0.809442900228608,0.472595040487804
"SERPINI1",0.739264104942,-0.416605015431742,0.025,0.029,1,0.274135909449526,0.552828868163679,0.03,0.018,1,0.739264104942,0.473121322049333
"CTU2",0.274141995966142,0.760978796380852,0.035,0.022,1,0.754709393751788,0.177504732795553,0.05,0.045,1,0.754709393751788,0.473130157979984
"CLYBL",0.779018048112178,0.585057633169411,0.025,0.022,1,0.274141995966142,0.719178210300539,0.035,0.022,1,0.779018048112178,0.473130157979984
"UFD1L",0.274158263340193,0.422177661325862,0.23,0.209,1,0.661257008516366,0.2670471620106,0.275,0.273,1,0.661257008516366,0.473153773322675
"AL358852.1",0.274324428630165,1.42091727340948,0.01,0.004,1,0.470260065481431,-0.544683116554825,0.01,0.017,1,0.470260065481431,0.473394965117063
