"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHIC1",0.0211275640427537,-2.44244098118773,0.007,0.03,1
"RP1-267D11.6",0.0211295039093376,-1.56335682688731,0.013,0.041,1
"CTB-31O20.2",0.0211900175912606,-0.679952088530594,0.043,0.084,1
"C16orf87",0.0212067122215336,-0.21483212946559,0.09,0.145,1
"HAUS7",0.0212200677200616,1.75827620557303,0.053,0.027,1
"RPUSD4",0.0212782183242181,-0.523453925192807,0.033,0.071,1
"RTTN",0.0213955087502538,-2.24714375726675,0.007,0.03,1
"PTP4A1",0.0214241770978836,-0.232091280217914,0.273,0.365,1
"TRBV5-1",0.0214460745409122,-2.84404153058261,0.007,0.03,1
"A2M-AS1",0.0214629555117292,-2.32565616882514,0.007,0.03,1
"RELL2",0.0214721073337386,-0.979892999840473,0.033,0.07,1
"SEC24A",0.021494642487104,-0.340718678856697,0.033,0.071,1
"PRKAB2",0.0215001593419642,-1.29060530704143,0.013,0.041,1
"SMC2",0.0215169084052256,-0.738262097294483,0.03,0.065,1
"ASB16-AS1",0.0215169084052256,-0.935206366141723,0.03,0.065,1
"TTF2",0.0215337434612537,-1.08057455523874,0.02,0.051,1
"NLRP1",0.0215590032974559,0.625671563965935,0.347,0.312,1
"ZNF780B",0.0215851865037418,-1.12112510148685,0.02,0.051,1
"HIST1H2AL",0.0216731319392682,-1.46404656691785,0.013,0.041,1
"ERLEC1",0.0216783565308705,-0.551790507373063,0.13,0.188,1
"LRRC23",0.0218108869601009,-0.678662929832493,0.043,0.084,1
"ZNF638",0.0218119792981789,-0.107556647684056,0.21,0.29,1
"ASXL1",0.0218429063410831,-0.391263567111854,0.123,0.183,1
"RP11-166B2.8",0.0218715366513871,-1.86544813160189,0.007,0.03,1
"CARD6",0.021871919777195,1.94917170876674,0.057,0.03,1
"CEP41",0.0218777513283459,-1.69989102579236,0.01,0.035,1
"RP13-942N8.1",0.0218777513283459,-1.57036346726195,0.01,0.035,1
"VPS16",0.0219086974351384,-0.459980057761545,0.107,0.164,1
"B4GALT1",0.02191488567935,-0.437235731906512,0.2,0.271,1
"DNAAF5",0.0219631604883273,-1.16313428529332,0.023,0.055,1
"TP73-AS1",0.0219641118881204,-0.794152986334772,0.013,0.041,1
"BOP1",0.0219648727162997,-0.383071418850963,0.08,0.132,1
"ALS2",0.0219747333150258,-1.84845998949031,0.007,0.03,1
"RP1-151F17.1",0.0219822288598722,-3.34348611654911,0,0.017,1
"FMO4",0.0219822324688834,-3.36082922731247,0,0.017,1
"LINC01125",0.0219822324688834,-3.35205851484087,0,0.017,1
"MYLK-AS1",0.0219822324688834,-3.49543838638252,0,0.017,1
"TMEM171",0.0219822324688834,-3.65246197105101,0,0.017,1
"RFESD",0.0219822324688834,-3.33008270585463,0,0.017,1
"PRELID2",0.0219822324688834,-2.92206506614372,0,0.017,1
"TXNDC5",0.0219822324688834,-3.99315615144365,0,0.017,1
"KANTR",0.0219822324688834,-3.25481747311938,0,0.017,1
"MAGEE1",0.0219822324688834,-3.41641160291857,0,0.017,1
"MSANTD3",0.0219822324688834,-3.51144807951198,0,0.017,1
"MRVI1-AS1",0.0219822324688834,-3.67625104560648,0,0.017,1
"RP11-137H2.4",0.0219822324688834,-3.39594778469179,0,0.017,1
"C10orf91",0.0219822324688834,-3.20086697372346,0,0.017,1
"KRT72",0.0219822324688834,-3.35817881315472,0,0.017,1
"RP11-412D9.4",0.0219822324688834,-3.53489667422701,0,0.017,1
"TMEM256-PLSCR3.1",0.0219822324688834,-3.53681393717729,0,0.017,1
"ZNF610",0.0219822324688834,-3.37050736841578,0,0.017,1
"PPP3R1",0.021982277801907,-0.186176094057514,0.17,0.238,1
"CUTA",0.022026725492371,-0.214336876773661,0.507,0.604,1
"C17orf58",0.022042872096638,-0.731630436068254,0.017,0.046,1
"SERPINB9",0.0220779744680164,-0.214871978325286,0.163,0.234,1
"PCNT",0.0220851226675492,-0.465504500261396,0.05,0.092,1
"TM7SF2",0.0221055290878431,-0.996133771002093,0.02,0.051,1
"ZNF181",0.0221108722026865,-1.210671021767,0.013,0.041,1
"PLCXD1",0.0221403264023101,-0.787791608734365,0.013,0.041,1
"TIMM23B",0.0221546184080151,-0.601313843807652,0.04,0.079,1
"C2CD5",0.022219447953241,-0.594018007846511,0.047,0.088,1
"ZC3H3",0.0222281587803089,-0.407189468539086,0.043,0.085,1
"SPECC1L",0.0222616318201,-0.80181667273112,0.037,0.074,1
"QDPR",0.0222641447241475,-0.391579840372871,0.073,0.124,1
"SLC25A17",0.0222723304277005,-0.422197118276526,0.023,0.056,1
"TMEM184C",0.0222919908550011,-1.13943824415112,0.033,0.069,1
"TUBA1C",0.0223009900400062,-0.257451162858581,0.157,0.226,1
"PTBP2",0.0223073079102734,-1.04536934821463,0.027,0.06,1
"TRIM23",0.0223478785661321,-0.60777671743006,0.023,0.056,1
"AP001258.4",0.0223567537638899,-1.04082356383316,0.007,0.03,1
"ABHD8",0.0223694587742626,1.20490757528312,0.083,0.05,1
"FAS",0.0223985414861797,-0.774514927836075,0.057,0.1,1
"SASS6",0.0224052429009354,-1.52584768270486,0.017,0.045,1
"RAP2B",0.022426497422226,0.723803735675665,0.243,0.201,1
"LIPA",0.02243595831871,-0.213759410683991,0.2,0.277,1
"ZEB2-AS1",0.0224456111369161,1.36534805363525,0.087,0.054,1
"KIAA1586",0.0224619239203731,-0.605013764355499,0.03,0.065,1
"TAB2",0.0224991915162331,0.819045243564741,0.173,0.131,1
"FOPNL",0.0225141823271643,-0.469056087078509,0.09,0.142,1
"ABTB1",0.0225335622934452,0.594382911715735,0.327,0.286,1
"ZNF614",0.0225463837948866,-1.5465175095885,0.01,0.035,1
"MERTK",0.0225675523623822,-0.810642195680777,0.007,0.03,1
"TYW1B",0.0226162557083971,-1.13931728719288,0.013,0.041,1
"VDAC3",0.0226224593510206,-0.146133513239536,0.24,0.335,1
"CSNK1D",0.0226279454891604,-0.269322455670377,0.213,0.292,1
