"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"CHN2",1.0234092973254e-06,-5.50571838821263,0,0.109,0.034482752864082,8.30759551990955e-10,-5.96661865643486,0,0.164,2.79916123447832e-05,1.0234092973254e-06,1.66151910329175e-09
"SF1",0.10256778933666,0.183242933738607,0.565,0.585,1,8.31125126407709e-10,0.625593794776018,0.845,0.721,2.80039300091814e-05,0.10256778933666,1.66225025212465e-09
"RPS12",8.85125647945897e-10,0.214096591976724,1,0.999,2.98234235818891e-05,4.93833435249957e-06,0.109097336399579,1,1,0.16639223767312,4.93833435249957e-06,1.77025129510834e-09
"LDHA",1.12561517625029e-08,-0.78787459147862,0.38,0.617,0.000379264777485772,9.0190922189853e-10,-0.813840910217691,0.49,0.7,3.03889293226491e-05,1.12561517625029e-08,1.80381844298362e-09
"CERS4",0.309232082751969,0.621564635392553,0.08,0.062,1,9.1838842164686e-10,1.69320041218095,0.205,0.069,3.09441794789693e-05,0.309232082751969,1.83677684245028e-09
"MVP",1.73271729592484e-07,-1.41551231052156,0.115,0.297,0.00583821765688915,9.2608440993443e-10,-1.53307181671183,0.12,0.339,3.12034881083307e-05,1.73271729592484e-07,1.85216881901122e-09
"LY6E",9.28991973727314e-10,-0.959362220712074,0.465,0.68,3.13014555627681e-05,5.0095491992422e-07,-0.776880761680793,0.605,0.72,0.0168791750719267,5.0095491992422e-07,1.8579839465916e-09
"DUSP23",7.06221494429465e-08,-2.04094106387377,0.05,0.215,0.00237954270333064,9.73114828187115e-10,-2.15033146783759,0.05,0.248,3.27881310209366e-05,7.06221494429465e-08,1.94622965542727e-09
"HK1",0.000739407839932849,-1.04565442479186,0.08,0.179,1,9.85899835898257e-10,-1.78171938424815,0.08,0.291,3.32189090707559e-05,0.000739407839932849,1.97179967082451e-09
"FAM105A",5.21794360260252e-08,-2.74737575215098,0.025,0.176,0.00175813391746089,1.00200174565522e-09,-4.22067731113608,0.01,0.18,3.37614468181068e-05,5.21794360260252e-08,2.00400349030642e-09
"SYNE2",1.10263460199207e-06,-1.79044819909504,0.09,0.239,0.0371521702795207,1.02930978440759e-09,-2.28246858516342,0.1,0.302,3.46815638758293e-05,1.10263460199207e-06,2.05861956775569e-09
"SLC7A7",1.06110890900696e-09,-2.39752720596591,0.065,0.261,3.57530035800805e-05,1.23821102835435e-07,-1.92866067685818,0.105,0.274,0.00417202823893716,1.23821102835435e-07,2.12221781688796e-09
"CHP1",1.06986803152149e-09,-1.63359782408409,0.085,0.304,3.60481334540852e-05,5.17334361432025e-05,-1.43797514898945,0.055,0.17,1,5.17334361432025e-05,2.13973606189836e-09
"RGL4",6.79419611286258e-08,-3.27085501305063,0.02,0.165,0.00228923643826792,1.08703903128668e-09,-6.13853785916549,0,0.162,3.66266931201735e-05,6.79419611286258e-08,2.17407806139171e-09
"MT1X",2.10831715632946e-06,-2.56278473717389,0.035,0.161,0.0710376382653647,1.10170570472936e-09,-3.47222596878984,0.02,0.196,3.7120872015151e-05,2.10831715632946e-06,2.20341140824496e-09
"ARL4A",0.719961277309678,0.165742257506851,0.285,0.319,1,1.10846810629713e-09,1.18857413762476,0.455,0.268,3.73487243735755e-05,0.719961277309678,2.21693621136556e-09
