"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GZMA",3.96201155799597e-252,6.48965629362801,0.948,0.041,1.33496017435116e-247
"NKG7",4.62838837251257e-246,7.24169149637617,0.988,0.111,1.55948917823439e-241
"CST7",2.29308425988606e-244,6.60335502827116,0.936,0.048,7.72631810526009e-240
"PRF1",6.47525108040887e-208,7.26670085017742,0.819,0.035,2.18177109903296e-203
"CTSW",4.63272412058032e-194,4.28493856232123,0.953,0.22,1.56095006518833e-189
"CCL5",1.46867139593629e-192,4.91905823995576,0.847,0.072,4.94854140146774e-188
"HOPX",8.333513122365e-190,5.42177429743388,0.8,0.046,2.80789391144966e-185
"KLRD1",3.4709556464925e-175,6.29021743910607,0.7,0.017,1.16950379552918e-170
"GNLY",3.3770413241233e-160,8.07935461036165,0.678,0.033,1.1378603037501e-155
"KLRB1",4.55261311057054e-152,4.61303330197254,0.748,0.083,1.53395746147564e-147
"MATK",3.79393132386985e-149,4.39279464813499,0.723,0.073,1.27832722026471e-144
"GZMM",8.55344493843263e-149,3.33923372707948,0.854,0.186,2.88199773755549e-144
"KLRF1",3.32192573935727e-140,8.43082460532376,0.554,0.004,1.11928965861904e-135
"GZMB",2.61102318346326e-137,8.78970225452568,0.547,0.005,8.79758151436112e-133
"B2M",3.41602425267904e-132,1.05406565104852,1,0.999,1.15099521169768e-127
"TBX21",5.24495704308021e-131,5.51914104310034,0.587,0.03,1.76723582609545e-126
"FGFBP2",7.71788552339238e-130,8.34375796728945,0.525,0.006,2.60046434825183e-125
"GZMH",4.24684534444897e-128,10.6717356700256,0.505,0.001,1.43093207035864e-123
"IL2RB",1.91476832406565e-125,5.12913360214532,0.624,0.062,6.45162039110681e-121
"CD247",2.8685996005008e-125,3.24428444293067,0.834,0.25,9.6654594939274e-121
"CLIC3",2.24523061194312e-124,7.51448498794849,0.512,0.008,7.56508002388114e-120
"HLA-B",7.24452745415702e-124,0.931800399059364,1,1,2.44097108040367e-119
"XCL2",4.18792257482321e-119,8.17078456600026,0.478,0.002,1.41107863236093e-114
"S1PR5",7.2462222034627e-119,9.77668410195431,0.473,0.001,2.44154210923472e-114
"KLRG1",8.3287447274252e-119,3.9820270996962,0.661,0.098,2.80628724845865e-114
"HLA-A",1.40006072509092e-114,1.09222316214606,0.998,0.986,4.71736460712135e-110
"HCST",1.93586857558622e-113,1.84852429791652,0.973,0.697,6.5227155785802e-109
"ADGRG1",2.41908027888914e-112,8.81524349189262,0.453,0.002,8.15084909168905e-108
"PTGDR",1.07180872859223e-109,9.60357717623256,0.443,0.002,3.61135233011866e-105
"SAMD3",3.85792299029343e-109,3.89674042688246,0.606,0.078,1.29988857234947e-104
"SPON2",2.36855775752405e-107,6.2567917442501,0.522,0.039,7.98061850820155e-103
