"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MS4A1",2.08440515004868e-245,5.65906621016196,0.979,0.084,7.02319471257402e-241
"CD79A",2.68469888122416e-242,5.39859673784182,0.995,0.115,9.04582441039669e-238
"BANK1",3.94029568242164e-194,5.71519921175625,0.796,0.041,1.32764322723515e-189
"LINC00926",2.00901178974448e-189,6.03315440536629,0.775,0.037,6.76916432436506e-185
"CD79B",1.97122822259189e-182,3.70337512627799,0.979,0.282,6.64185637320113e-178
"CD74",1.48679807110464e-174,2.85353625941278,1,0.926,5.00961742077997e-170
"IGHM",3.56293394364292e-168,4.83616227590131,0.832,0.12,1.20049496297105e-163
"CD37",6.09329873055627e-161,2.2395116232066,0.997,0.873,2.05307607427363e-156
"FAM129C",2.74119692329636e-159,5.86791194738523,0.665,0.026,9.23618891335475e-155
"IGHD",4.42305573322092e-156,5.32881721633308,0.715,0.054,1.49030439875146e-151
"RALGPS2",7.60688114952864e-154,5.12803732082088,0.686,0.043,2.56306253452218e-149
"CD22",4.56832218650085e-148,5.31583828013863,0.662,0.041,1.53925047751959e-143
"FCER2",2.25811754539104e-146,5.9819473866127,0.626,0.027,7.60850125744058e-142
"TMSB4X",3.2700421406368e-144,-1.3769960505314,0.997,1,1.10180799886616e-139
"VPREB3",6.20390231297624e-141,6.38067640797391,0.589,0.019,2.09034284533421e-136
"S100A4",4.4529785377139e-132,-4.10957188491346,0.416,0.947,1.50038658849732e-127
"CD19",7.3142996942512e-132,5.46734359846305,0.581,0.027,2.464480138981e-127
"B2M",5.07363347283848e-127,-1.03799532606681,1,1,1.7095100623382e-122
"FCRL1",6.95694278608432e-126,6.02650441643592,0.547,0.022,2.34407230234325e-121
"HCST",1.97805404032858e-123,-4.17966562909632,0.139,0.869,6.66485528348312e-119
"HLA-DPA1",5.41918327145546e-123,1.87713665741563,0.995,0.611,1.8259396114842e-118
"HLA-DQA1",1.14908211714292e-119,2.09361062406527,0.969,0.405,3.87171728550137e-115
"BLK",3.18843411065538e-119,5.0597534611261,0.547,0.028,1.07431098924422e-114
"SPIB",7.57625827646409e-119,6.10234690675598,0.518,0.02,2.55274446367181e-114
"TNFRSF13C",1.33082249892818e-118,5.03134174202266,0.547,0.03,4.4840733278886e-114
"FCRLA",2.98235420546602e-118,5.28854974429635,0.537,0.027,1.00487442598972e-113
"HLA-DPB1",3.80140325343423e-118,1.7623476490483,0.992,0.647,1.28084481221213e-113
"SRGN",3.01434141697288e-117,-4.33802029763325,0.157,0.837,1.01565219703484e-112
"TCL1A",8.11318178960587e-117,5.19677885869704,0.613,0.074,2.7336554721898e-112
"HLA-DRA",2.44105417652251e-116,1.72752117502906,0.997,0.722,8.22488794237494e-112
"HLA-DRB1",5.37131628449167e-113,1.69616489298815,0.997,0.63,1.80981130889662e-108
"ADAM28",6.58316146061354e-111,4.80669246499642,0.545,0.041,2.21813042253913e-106
"HLA-DOB",1.14301227769898e-107,4.96463950646678,0.516,0.033,3.85126556847894e-103
"S100A6",5.09379383093492e-107,-3.22144329011851,0.56,0.941,1.71630289339521e-102
"SWAP70",9.35825684607809e-107,3.8813887956973,0.618,0.092,3.15317106171755e-102
"PTPRCAP",2.73388187967792e-106,6.03196996149633,0.474,0.019,9.21154160538677e-102
"ARHGAP24",2.32640357796339e-104,4.33479554487071,0.529,0.042,7.83858421558984e-100
"NCF1",6.16452300089411e-104,2.39173286718385,0.859,0.328,2.07707437992126e-99
"HLA-DQB1",2.44280419500561e-103,1.82710104694154,0.979,0.524,8.23078445465189e-99
"PLPP5",1.42895510663186e-101,4.42489967083452,0.563,0.069,4.8147213362854e-97
"RPS8",7.91959060429055e-101,0.900360514608965,1,0.998,2.66842685820966e-96
"CD24",4.55208786372394e-97,5.88595064920653,0.432,0.015,1.53378048480314e-92
"HVCN1",5.18030997177435e-97,3.39553402141433,0.681,0.17,1.74545364188965e-92
"CYB561A3",2.31636870865313e-95,3.0612074143783,0.675,0.161,7.80477272693585e-91
"HLA-DRB5",2.68672189502791e-95,4.73809451141958,0.599,0.116,9.05264075310703e-91
"FYB",1.27899374335001e-92,-4.55366369903972,0.042,0.702,4.30944151884353e-88
"BLNK",1.76314716472099e-92,5.70783928853751,0.414,0.014,5.94074805681091e-88
"MEF2C",2.08817863414433e-91,2.53135356281216,0.788,0.272,7.03590908988591e-87
"AFF3",7.1257490647164e-91,4.6661353145451,0.482,0.045,2.40094988986554e-86
"RPS23",3.80561219598606e-90,0.708879549850162,1,1,1.28226297331554e-85
"POU2AF1",7.42618862795758e-90,5.15804256652322,0.416,0.018,2.50217999630403e-85
"HLA-DQA2",2.43994646508595e-89,5.72599635974389,0.429,0.026,8.22115561946062e-85
"CD40",2.21162352369109e-88,4.36353784920895,0.487,0.053,7.45184430072476e-84
"ANXA1",1.21678920472602e-85,-4.62298829630626,0.071,0.679,4.09984954640386e-81
"MT-ATP8",1.45121038298543e-85,4.84480014107375,0.524,0.083,4.88970826443112e-81
"FCMR",1.78330660539429e-85,2.5570751271309,0.738,0.238,6.0086732762155e-81
"RP11-231C14.7",9.24844571208075e-85,4.8178750608021,0.435,0.032,3.11617129822849e-80
"TYROBP",1.81980009210662e-83,-5.39842527605451,0.123,0.694,6.13163443034405e-79
"IRF8",1.09131520936285e-82,2.76688489267064,0.675,0.201,3.6770774664272e-78
"TSPAN13",1.2253724368083e-82,5.31300577504366,0.385,0.016,4.12876988858188e-78
"EAF2",2.31712928195666e-82,3.57444983527709,0.537,0.092,7.80733540262477e-78
"PDLIM1",4.16800817354123e-82,3.6332448031141,0.492,0.063,1.40436867399298e-77
"ITGB2",8.94597632726091e-82,-2.28317416119687,0.427,0.858,3.01425726370729e-77
"PFN1",3.13707407727849e-81,-1.25751788197403,0.95,0.996,1.05700573959821e-76
"GNG7",1.62850387544473e-80,4.29148271643733,0.435,0.039,5.48708095792347e-76
"RPL30",2.3663387579839e-80,0.814815196274456,1,1,7.97314181115096e-76
"RPL7A",7.37436504203786e-80,0.764924779552289,0.997,0.993,2.48471855726424e-75
"EEF1G",1.02705571755831e-78,3.95836570926005,0.568,0.134,3.46056153474096e-74
"ID2",1.89559082777335e-78,-4.4984937494975,0.063,0.647,6.38700373509952e-74
"FCER1G",3.42508763163339e-78,-5.15173981324504,0.102,0.655,1.15404902660255e-73
"CD72",1.46270034529463e-76,4.61551846965251,0.408,0.033,4.92842254343574e-72
"TPD52",1.61421631653195e-76,3.0421390948682,0.518,0.083,5.43894045692276e-72
"S100A11",3.03707502542487e-75,-4.17464123702701,0.157,0.689,1.02331205906666e-70
"PKIG",1.20097017048852e-73,4.87928708887171,0.364,0.021,4.04654889244403e-69
"HLA-C",3.11557834907325e-73,-1.12404092663507,0.976,1,1.04976296893674e-68
"KIAA0226L",8.53902781693433e-73,4.50945727784848,0.377,0.027,2.87714003263785e-68
"HLA-DMA",1.53224267350997e-72,1.79170213292892,0.84,0.382,5.1627384641245e-68
"FCGR2B",4.39063356486507e-72,4.84353661883526,0.369,0.026,1.47938007334564e-67
"GIMAP7",1.44308790669455e-71,-5.55837876895216,0.021,0.573,4.8623403928166e-67
"GIMAP4",1.54872555801389e-71,-4.89875752767609,0.029,0.583,5.21827589517199e-67
"SNX2",4.02192678544312e-71,2.05109119491975,0.762,0.337,1.3551480110872e-66
"BCL7A",1.32507442543238e-69,4.65053969897599,0.364,0.027,4.46470576905187e-65
"IGLC3",4.32713980424364e-67,5.22332921297675,0.403,0.048,1.45798648564185e-62
"CD7",1.11523296491374e-66,-5.88991189025895,0.026,0.551,3.75766595198037e-62
"RP11-693J15.5",3.23196149265503e-66,5.90630337784368,0.314,0.014,1.08897710533518e-61
"PAX5",2.30509547556203e-65,4.91723467646139,0.327,0.019,7.7667886953587e-61
"HLA-DMB",2.69144139240951e-65,1.9559825658697,0.738,0.29,9.06854262758462e-61
