"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"TFIP11",0.338331805071698,-1.4488710860696,0.047,0.125,1,0.198164247982489,-0.325995788839286,0.085,0.118,1,0.338331805071698,0.357059426786512
"PA2G4",0.944024328990253,-0.221854069358565,0.245,0.25,1,0.198229768786222,-0.229369266608168,0.472,0.526,1,0.944024328990253,0.357164496339405
"EIF2S1",0.303102059071908,1.37943761642624,0.12,0,1,0.198320591590571,-0.286289879005939,0.176,0.221,1,0.303102059071908,0.357310126132308
"FKBPL",0.690276148773906,-1.29065523172797,0.021,0,1,0.198465031172701,-0.623633859007531,0.01,0.025,1,0.690276148773906,0.35754169374702
"IAH1",0.326008500351755,-0.273491617125654,0.25,0.5,1,0.198498805941105,-0.118522231207093,0.201,0.256,1,0.326008500351755,0.357595835922165
"STOML1",0.653056828684804,-0.701974446598398,0.026,0,1,0.198691356584014,-0.584363620278025,0.02,0.039,1,0.653056828684804,0.357904457986833
"CD200R1",0.733460415261334,-1.48335952132184,0.016,0,1,0.198769490358399,-0.687212465367242,0.01,0.025,1,0.733460415261334,0.358029670419461
"FUNDC2",0.812124389042835,0.446114828103023,0.141,0.125,1,0.198849650014095,-0.18904953684157,0.296,0.361,1,0.812124389042835,0.358158116717462
"LRSAM1",0.59024025155462,-0.262840778769397,0.036,0,1,0.198943655551349,-0.389463196691606,0.03,0.052,1,0.59024025155462,0.358308733018564
"FBXL6",0.786151024891202,-1.84410201891055,0.01,0,1,0.198951312111311,-0.391839934142433,0.045,0.071,1,0.786151024891202,0.358320999631809
"FNTA",0.198973307943832,-0.561856380998606,0.286,0.625,1,0.323322039523466,0.223887898743964,0.387,0.372,1,0.323322039523466,0.358356238613554
"LINC01125",0.786151024891202,-1.95438463079828,0.01,0,1,0.199165972798749,1.04655837376151,0.025,0.013,1,0.786151024891202,0.358664860876626
"CIZ1",0.544867662706424,-0.477867101972708,0.062,0.125,1,0.199254271581281,-0.311971577389125,0.09,0.125,1,0.544867662706424,0.358806278419174
"BAZ1B",0.900689054240076,0.646936727389759,0.125,0.125,1,0.19927408771006,-0.323858134137812,0.191,0.234,1,0.900689054240076,0.358838013387443
"FEM1A",0.492444962716043,0.151865294421281,0.057,0,1,0.199383397316893,-0.559830509477789,0.06,0.088,1,0.492444962716043,0.35901305550816
"NCKIPSD",0.786151024891202,-1.67935102358058,0.01,0,1,0.199421187182909,-0.32575877412364,0.02,0.039,1,0.786151024891202,0.359073564468377
"GPHN",0.786151024891202,-2.00645551333601,0.01,0,1,0.199591810300274,-0.755701779218555,0.065,0.092,1,0.786151024891202,0.359346729861607
"UPRT",0.239898703047388,-1.77058435585314,0.036,0.125,1,0.199709606796599,0.767810247535359,0.07,0.049,1,0.239898703047388,0.359535286546347
"SP1",0.690276148773906,-0.731515182887752,0.021,0,1,0.199877610822825,-0.385476139053261,0.085,0.118,1,0.690276148773906,0.35980416233741
"ZNF8",0.690276148773906,-0.780681011911585,0.021,0,1,0.199990741518949,-0.514207722161554,0.01,0.025,1,0.690276148773906,0.3599851863446
"ARIH1",0.363908628135035,-1.07612549513778,0.047,0.125,1,0.200240365492404,0.302370180603448,0.281,0.244,1,0.363908628135035,0.360384527012276
"EXOSC3",0.239898703047388,-1.64471880526883,0.036,0.125,1,0.200294485624606,0.733640320035018,0.116,0.091,1,0.239898703047388,0.360471090277587
"CAB39",0.637648592020062,-0.782986064747119,0.073,0.125,1,0.200506785509192,-0.255459634992755,0.121,0.16,1,0.637648592020062,0.360810599983154
"PYGB",0.690276148773906,-1.21213886298933,0.021,0,1,0.200531738262745,-0.464448196090169,0.101,0.133,1,0.690276148773906,0.360850498474812
"TRIM52",0.492444962716043,0.310525366692701,0.057,0,1,0.200592944873034,-0.612558217501408,0.08,0.11,1,0.492444962716043,0.360948360213232
"DKC1",0.200648857096114,-0.602802371175831,0.151,0.375,1,0.519530040268839,0.247269915261533,0.146,0.131,1,0.519530040268839,0.361037750338251
"MAPK13",0.416627901990965,0.945004205562152,0.078,0,1,0.200674865612066,0.549285386863776,0.101,0.075,1,0.416627901990965,0.36107932953571
"NEK3",0.786151024891202,-2.18060476918807,0.01,0,1,0.200814764446631,-0.236488673108388,0.015,0.032,1,0.786151024891202,0.361302959273506
"MAP7D3",0.620051238878487,-0.541759284773788,0.031,0,1,0.200909554060974,-0.604560779695702,0.04,0.064,1,0.620051238878487,0.361454459208969
"SEMA7A",0.786151024891202,-2.52136288572072,0.01,0,1,0.201033484922215,0.809858042992858,0.025,0.013,1,0.786151024891202,0.361652507784459
"LARP7",0.844753392376585,0.137708595866728,0.188,0.25,1,0.201115927520356,-0.192283477778398,0.176,0.221,1,0.844753392376585,0.36178423873834
"UTP3",0.602011184239104,-0.418180831078862,0.068,0.125,1,0.201200670367285,0.487534322856453,0.156,0.125,1,0.602011184239104,0.361919630978325
"CYB5R4",0.902142913590747,0.439103086790588,0.188,0.25,1,0.201825264782764,0.435112362073196,0.226,0.2,1,0.902142913590747,0.362917092060896
"IRF9",0.202155116882012,-0.673827883427038,0.094,0.25,1,0.662937104957448,0.279196292273333,0.106,0.097,1,0.662937104957448,0.363443542482443
"ECSIT",0.202155116882012,-0.867336864261897,0.094,0.25,1,0.323677967351238,-0.330285754662293,0.126,0.153,1,0.323677967351238,0.363443542482443
"EFR3A",0.346726106634007,-1.07105922965796,0.047,0.125,1,0.202460271358918,-0.29747424307996,0.146,0.185,1,0.346726106634007,0.363930381239109
"CDKN2AIP",0.416627901990965,0.580490186641125,0.078,0,1,0.202563271494315,0.213701535382641,0.221,0.182,1,0.416627901990965,0.36409466403015
"CH507-42P11.8",0.786151024891202,-2.34897005345121,0.01,0,1,0.202727264780462,0.635079280834636,0.131,0.104,1,0.786151024891202,0.364356185675557
"PSMG2",0.480788166657676,1.26131517165105,0.203,0.125,1,0.202746820339185,-0.2336547355154,0.291,0.344,1,0.480788166657676,0.36438736752072
"COX17",0.202811567966518,-0.44718449928799,0.292,0.625,1,0.390910873249368,-0.159257357648164,0.382,0.432,1,0.390910873249368,0.364490603831999
"EIF2AK2",0.972531480159461,-0.23084138519604,0.109,0.125,1,0.202895241878692,0.394480666989046,0.196,0.164,1,0.972531480159461,0.36462400458037
"KPNA3",0.492444962716043,0.508515588801297,0.057,0,1,0.203064747389351,-0.352906588537541,0.131,0.171,1,0.492444962716043,0.364894203146401
"MAP2K6",0.786151024891202,-2.86133842587656,0.01,0,1,0.203213193333702,-0.819403748621038,0.03,0.051,1,0.786151024891202,0.365130784722524
"FECH",0.786151024891202,-1.65231601381825,0.01,0,1,0.203218807082066,-0.753789528416243,0.025,0.045,1,0.786151024891202,0.365139730612274
