"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC01272",1.18150618988174e-217,4.57042060087003,0.932,0.083,3.98096695618755e-213
"LST1",3.00451853735616e-214,4.00849037794049,1,0.253,1.01234247597678e-209
"MS4A7",2.58719390017501e-210,4.17566152899911,0.958,0.121,8.71729112724968e-206
"AIF1",8.69420823180268e-204,3.38013856659472,1,0.265,2.9294265216236e-199
"CD68",8.73841248805247e-184,3.05867768205548,0.974,0.168,2.9443207037244e-179
"PILRA",3.93903593073589e-181,3.50091341321756,0.897,0.099,1.32721876650215e-176
"COTL1",1.20982460659714e-180,2.68723876998179,1,0.638,4.07638302946839e-176
"CSF1R",6.72307891532365e-179,3.98702745588801,0.843,0.078,2.26527420972915e-174
"SERPINA1",4.52633639621187e-177,2.87987097923971,0.984,0.175,1.52510378533963e-172
"CST3",5.04226986391235e-173,2.72255100626825,1,0.224,1.69894240794663e-168
"CDKN1C",1.20468506016388e-172,6.3004167755271,0.685,0.01,4.05906584171618e-168
"LRRC25",4.61135184222733e-172,3.49083320618852,0.871,0.099,1.55374888972008e-167
"HCK",6.41268057258763e-172,2.97115226747525,0.944,0.159,2.16068859212768e-167
"SPI1",3.30349869933707e-168,2.71839525346452,0.984,0.254,1.11308085175463e-163
"FCGR3A",2.2514012249611e-164,3.33044958917676,0.918,0.191,7.58587128738394e-160
"IFITM3",1.06067440183827e-162,4.26178189952771,0.813,0.099,3.57383632955385e-158
"PSAP",4.60920305902362e-162,2.46421520430719,1,0.65,1.55302487870742e-157
"HES4",1.27090115197455e-160,6.1084727190003,0.657,0.014,4.28217434146304e-156
"TCF7L2",1.06564837498697e-159,4.8972196021114,0.699,0.031,3.59059563468109e-155
"FTL",6.19982865956553e-159,2.31008809109355,0.998,0.993,2.08897026855401e-154
"FCER1G",8.27614820886471e-159,2.31009437517915,0.995,0.396,2.78856537749487e-154
"IFI30",1.37931859753257e-158,2.70478739176901,0.949,0.18,4.64747608252623e-154
"SAT1",8.90933725008231e-157,2.39059968695485,0.995,0.781,3.00191209304273e-152
"CFD",5.22416236277943e-156,2.62203070349786,0.949,0.179,1.7602292665149e-151
"GPBAR1",5.73695981233191e-156,4.06664863114245,0.724,0.044,1.93301123916712e-151
"NPC2",2.20292475980369e-155,2.4366892740352,0.991,0.416,7.42253468568254e-151
"LILRB2",3.36381725077642e-154,3.15148592403405,0.843,0.109,1.13340458447661e-149
"CLEC7A",1.77458943262685e-152,2.85630856142423,0.857,0.112,5.97930163429289e-148
"TYMP",3.83182243680515e-152,2.57263303514008,0.974,0.263,1.29109425185713e-147
"SIGLEC10",1.8469701645383e-151,4.21243241026503,0.713,0.047,6.22318127239536e-147
"S100A11",3.46464343158311e-149,2.19562026976945,1,0.493,1.16737695783761e-144
