"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GNLY",4.60401559331591e-252,5.88577608337298,0.977,0.058,1.55127701401186e-247
"KLRF1",6.57042294198427e-246,5.88031568936174,0.936,0.037,2.21383830607218e-241
"KLRD1",1.12648640346556e-236,4.86233670808051,0.964,0.066,3.79558328783685e-232
"PRF1",2.37663890111524e-224,5.07570626150338,0.954,0.105,8.00784711341771e-220
"NKG7",2.69123037591874e-217,4.38415135414617,0.995,0.198,9.06783162862059e-213
"GZMB",4.86627981066543e-215,5.73829659605379,0.851,0.034,1.63964431940561e-210
"HOPX",1.28648244810542e-202,4.18527398231411,0.946,0.127,4.3346739606464e-198
"CST7",9.11399341758426e-202,3.85289365112703,0.966,0.145,3.07086894212084e-197
"GZMA",6.48240827855276e-201,3.83843397617385,0.961,0.141,2.18418264537557e-196
"TRDC",1.46129088050153e-199,5.64908883890797,0.791,0.024,4.92367349276184e-195
"FGFBP2",1.97937839244013e-196,5.82552978158422,0.791,0.03,6.66931755548778e-192
"IL2RB",1.39309304245259e-190,4.81195304375521,0.858,0.097,4.69388769723976e-186
"CTSW",2.59087684572401e-188,3.64288649154258,0.979,0.258,8.72970044398249e-184
"CLIC3",3.24968027582168e-188,5.63697446732494,0.781,0.039,1.09494727213536e-183
"SPON2",2.24011385053727e-184,5.52187214802368,0.807,0.066,7.54783960800027e-180
"CD7",6.50659331952253e-171,3.22569250447589,0.969,0.353,2.19233155307992e-166
"KLRB1",5.67559313336365e-161,2.94731610803668,0.938,0.156,1.91233435035555e-156
"XCL2",1.78825074080384e-158,5.4974238913987,0.675,0.028,6.02533204606447e-154
"MATK",5.2607880635995e-158,3.66386750830345,0.832,0.135,1.77256993014921e-153
"B2M",8.13033883515777e-154,1.31994220840744,1,0.999,2.73943636711806e-149
"CD247",4.7596568585321e-148,3.23528602428167,0.907,0.299,1.60371878191381e-143
"RPS8",3.4452179203042e-147,-1.43666337129148,0.995,1,1.1608317260673e-142
"ADGRG1",7.85095796157775e-141,5.15425488563422,0.616,0.027,2.64530177557401e-136
"HLA-B",2.70036988593127e-134,1.13324216907515,1,1,9.09862629365683e-130
"RPS13",3.14322250564946e-130,-1.21801720291145,1,0.998,1.05907739105353e-125
"GZMM",3.83635130173811e-130,3.00432581561179,0.845,0.226,1.29262020760764e-125
"HLA-C",1.25244092654254e-129,1.60010688909919,1,0.981,4.21997445789244e-125
"TTC38",2.75809185022793e-127,4.83371663107668,0.611,0.049,9.293114680158e-123
"TBX21",1.00129506716837e-126,4.1265259589166,0.67,0.084,3.37376359931709e-122
"S1PR5",1.59846551041184e-125,4.52384691438341,0.601,0.042,5.38586969078167e-121
"HLA-A",1.42486391675198e-123,1.25405537410795,1,0.985,4.80093648110413e-119
"GZMH",2.6705679531511e-120,3.56614753995394,0.593,0.039,8.99821166134733e-116
"RPL28",4.46950175153134e-119,-0.936924014606518,1,1,1.50595392016097e-114
"APMAP",4.86015138427857e-119,3.13783833807587,0.786,0.22,1.63757940741882e-114
"PTGDR",5.4886319189508e-119,4.53716543600793,0.575,0.041,1.84933963877128e-114
"AC090498.1",3.66710336018328e-115,-1.46713551734706,0.871,1,1.23559380618016e-110
"CD160",1.33840205330613e-114,4.84956456267417,0.539,0.031,4.50961187840966e-110
"CCL4",3.1569096079252e-112,2.99510488533723,0.735,0.131,1.06368912329432e-107
"RPL39",7.54858946081514e-109,-0.972901192768544,1,0.998,2.54342173292705e-104
"CHST12",1.02028415417418e-108,3.31247306028772,0.698,0.153,3.43774542907449e-104
