"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","max_pval","minimump_p_val"
"UAP1L1",0.443676090325479,-1.4215458265828,0.012,0.03,1,0.0485416073405212,-2.93442877187884,0,0.022,1,0.443676090325479,0.094726927037841
"EFNB1",0.534806559343014,0.331481136819466,0.012,0,1,0.0485416073405212,-3.0019218187138,0,0.022,1,0.534806559343014,0.094726927037841
"SMURF2",0.343906756117608,-0.745247948243072,0.096,0.152,1,0.0485753566287061,1.53042646901029,0.076,0.043,1,0.343906756117608,0.0947911479858062
"CDK13",0.0979176214776566,1.2053811279462,0.24,0.121,1,0.0485913548653488,1.03855793817887,0.135,0.092,1,0.0979176214776566,0.0948215899630473
"CTD-2192J16.22",0.0486085337896884,-0.589007084879201,0.401,0.636,1,0.178029806137028,2.43788232200534,0.012,0.004,1,0.178029806137028,0.0948542780221935
"MOB1B",0.235913245304513,-1.14257112393801,0.042,0.091,1,0.0486361192582197,-0.767026604032999,0.012,0.044,1,0.235913245304513,0.0949067664199397
"SNAPC5",0.729154771633539,0.341247663655301,0.168,0.152,1,0.0486475568136342,1.04456585840172,0.158,0.116,1,0.729154771633539,0.0949285288433327
"TLK1",0.780335614982617,-0.560230680493593,0.186,0.212,1,0.0488451509110329,-0.417980287566685,0.082,0.142,1,0.780335614982617,0.0953044530545443
"ANKRD54",0.599681163768813,-0.402734874771544,0.114,0.152,1,0.0488703575709763,1.38663549341595,0.094,0.057,1,0.599681163768813,0.0953524032928376
"SGSM2",0.860497584921328,0.169693330723248,0.036,0.03,1,0.0489609291491423,-0.920465643989059,0.012,0.044,1,0.860497584921328,0.0955246857151372
"ERN1",0.645143257101726,-0.283824222657246,0.317,0.394,1,0.0489718632399706,1.17996263004318,0.135,0.093,1,0.645143257101726,0.0955454830907468
"MRPS10",0.764321921078215,0.389117794208799,0.186,0.242,1,0.0490544369199704,0.928681343614854,0.187,0.145,1,0.764321921078215,0.0957025360584054
"POLD2",0.474013222504592,0.713991458371078,0.162,0.121,1,0.0490773895166698,-0.678484782331824,0.082,0.138,1,0.474013222504592,0.0957461888715687
"CSGALNACT2",0.343344450034663,1.16095230274699,0.144,0.091,1,0.0491360079136296,-0.535513884464598,0.094,0.155,1,0.343344450034663,0.0958576685535709
"MRPL30",0.0491622612868016,-0.67661624542537,0.084,0.212,1,0.162737024540269,-0.286424065937486,0.053,0.086,1,0.162737024540269,0.0959075946387715
"SSBP4",0.269800218675646,0.821987086656342,0.365,0.333,1,0.0491814814170304,0.720921170267746,0.304,0.27,1,0.269800218675646,0.0959441447196871
"GNAI2",0.0492691520599183,0.777124223799918,0.521,0.424,1,0.0543455686149371,0.32961786055861,0.515,0.494,1,0.0543455686149371,0.0961108547751333
"UBE4A",0.873625623003617,0.433242242838692,0.174,0.182,1,0.0493138141347567,-0.67850392785843,0.041,0.086,1,0.873625623003617,0.0961957760049961
"ANKRD27",0.049314707803646,-1.41088082070232,0.072,0.182,1,0.487852329105923,0.648507067246571,0.053,0.042,1,0.487852329105923,0.096197475201533
"PLD3",0.414837974010711,-0.297369536970216,0.329,0.455,1,0.0493226626534828,0.805260805543399,0.193,0.149,1,0.414837974010711,0.0962126002557363
"LEMD3",0.890994012345559,0.55633336769242,0.12,0.121,1,0.0496806714370865,1.27680674499983,0.088,0.052,1,0.890994012345559,0.0968931737597332
"ATXN2L",0.0496912996477544,-0.688231826824892,0.299,0.515,1,0.108768845082826,1.09138542795786,0.14,0.107,1,0.108768845082826,0.0969133740348259
"STIP1",0.209635539995834,0.930968655208882,0.246,0.152,1,0.0497296267896008,0.937789447401536,0.187,0.14,1,0.209635539995834,0.0969862177985686
"NBR1",0.53575189518627,0.368089844611602,0.251,0.212,1,0.0499464867114223,1.01257816096376,0.181,0.14,1,0.53575189518627,0.0973983218880304
"P2RY10",0.234504687215016,1.68789659870809,0.042,0,1,0.0500038589465996,-0.85840258591788,0.047,0.093,1,0.234504687215016,0.0975073319836478
"TWISTNB",0.104968031191022,-0.587856663270663,0.102,0.212,1,0.050113426120291,-0.151204747268785,0.047,0.095,1,0.104968031191022,0.0977154967630682
"GSTM4",0.235279678066322,-0.923050602779368,0.06,0.121,1,0.0501361852137328,1.48731614685232,0.082,0.048,1,0.235279678066322,0.0977587333596799
"CWF19L2",0.349411687977598,-0.185635613342394,0.09,0.152,1,0.0502273898555764,0.803693649851696,0.187,0.14,1,0.349411687977598,0.0979319890194487
"ATF4",0.0502449168967649,-0.648427664902616,0.293,0.485,1,0.552627215724231,0.277539968033173,0.363,0.395,1,0.552627215724231,0.0979652821195669
"STK11",0.0742992335630541,-1.85278241380579,0.012,0.061,1,0.0505865252775466,1.59652088213603,0.082,0.049,1,0.0742992335630541,0.0986140540154373
