"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD2AP",0.796642086067404,0.115768278720021,0.103,0.1,1
"KHDC1",0.796743190399002,-0.62333586019413,0.01,0.008,1
"STRADB",0.796973433013392,-0.165305301050513,0.082,0.085,1
"TUFT1",0.797831412290495,0.52447200829737,0.01,0.011,1
"ZNF442",0.797831412290495,0.302847838525988,0.01,0.011,1
"SMTN",0.797831412290495,0.350713444062159,0.01,0.011,1
"RP11-553L6.5",0.797953307376425,-0.125692352742722,0.014,0.016,1
"VKORC1L1",0.798071275204421,0.542073843625662,0.019,0.017,1
"CENPH",0.79811225227716,0.478593801045557,0.06,0.057,1
"RP5-1159O4.1",0.798457380287123,0.436727403803689,0.01,0.011,1
"ANKEF1",0.798457380287123,0.445402494841429,0.01,0.011,1
"MINA",0.79854351744629,0.134251431998895,0.067,0.064,1
"MPHOSPH8",0.798942117338445,0.134412211774012,0.463,0.478,1
"STAMBPL1",0.799119747803076,0.131447767628106,0.072,0.068,1
"POLR3F",0.799816805864324,0.476367197413399,0.036,0.034,1
"RAB11B-AS1",0.800167970407852,-0.181910033124147,0.036,0.039,1
"PI4K2B",0.800320016324071,0.262759402993671,0.06,0.057,1
"ARL17A",0.800324443200288,-0.149323349322238,0.041,0.044,1
"TM7SF2",0.800546033243447,0.119182781807602,0.043,0.047,1
"RGL1",0.800962544225728,0.423500148101134,0.01,0.011,1
"CDKN2C",0.801172519961684,-0.358908175979972,0.031,0.034,1
"NDUFAF7",0.801428606233346,-0.223307464494297,0.06,0.063,1
"ZEB1-AS1",0.801479415023359,0.334185706601247,0.019,0.017,1
"RRP9",0.80194847247602,0.398086564867218,0.072,0.069,1
"ANTXR2",0.802565244310826,0.396680950909886,0.11,0.11,1
"PDCL",0.802772051890283,0.255578117378651,0.074,0.071,1
"WDR54",0.803080614568652,0.447231442762711,0.11,0.122,1
"AP4S1",0.803716605924853,0.276663747931129,0.036,0.034,1
"IFFO2",0.804146761948806,-0.146064689639905,0.041,0.044,1
"FKBP7",0.80417736635958,0.179627050780549,0.014,0.016,1
"ZCCHC4",0.804435599983118,0.236685057343395,0.029,0.032,1
"ZNF257",0.80549086417645,0.319163499145835,0.036,0.034,1
"SLC35A3",0.805592865329933,0.128048758306079,0.082,0.086,1
"GNPNAT1",0.805987258932664,0.200272352025811,0.053,0.05,1
"PUS7",0.806296394071366,0.255342009440785,0.029,0.026,1
"RNF34",0.806331352898872,0.164326639256186,0.122,0.13,1
"USP30-AS1",0.806432134337304,0.478702429981979,0.048,0.046,1
"PYM1",0.806686321213445,0.241713130538365,0.177,0.19,1
"NOL10",0.807484023791251,0.238873140765065,0.07,0.075,1
"PRKCSH",0.807711214717956,0.143091234923243,0.314,0.346,1
"XRN1",0.807920106302136,0.190454519062265,0.213,0.233,1
"CFDP1",0.807931110261244,0.126485248979556,0.221,0.218,1
"FCF1",0.808356339641636,0.132041939614044,0.067,0.064,1
"UBA6",0.808997888101028,0.119648192488917,0.096,0.102,1
"RP11-545E17.3",0.809139338279189,0.143434753903094,0.046,0.043,1
"CARF",0.809439779596019,0.521901214645974,0.041,0.039,1
"TCTE3",0.809893690220299,0.271717649500983,0.014,0.016,1
"ZNHIT3",0.810362597858806,0.172651325366521,0.204,0.207,1
"TCEANC2",0.811194158009141,0.388609439965513,0.048,0.046,1
"UQCC1",0.811543094748899,0.392311053139456,0.034,0.032,1
"CHCHD7",0.812397657967275,0.282293453174225,0.228,0.235,1
"AP5S1",0.813562818632925,0.22112792036331,0.053,0.057,1
"BRIX1",0.813744654450262,0.156463057958365,0.146,0.157,1
"TRAPPC2P1",0.813793939847678,0.325385508273268,0.118,0.116,1
"ZNF839",0.814241835279415,0.498541363538608,0.019,0.021,1
"CMTM7",0.814779354359821,0.231108757863392,0.305,0.319,1
"TRAP1",0.816025192209296,0.23081871842139,0.127,0.125,1
"MATN1-AS1",0.816769274893192,0.150332812771989,0.031,0.034,1
"CCNB1IP1",0.817259671442272,-0.149669597186044,0.12,0.124,1
"MRPS7",0.818063839441085,0.195655326851184,0.245,0.254,1
"ADORA2A",0.819103690012738,-0.16002244326261,0.06,0.063,1
"ALG5",0.820247700986107,0.211154811728883,0.146,0.159,1
"CMAS",0.821609895942539,0.111425955185919,0.096,0.102,1
"RP11-575L7.8",0.821839760777295,-0.147800445446084,0.029,0.026,1
"ARV1",0.822271837918548,-0.110746305467678,0.072,0.075,1
"MORF4L2",0.822456694271272,0.152747809303035,0.161,0.171,1
"CEP135",0.822494780081797,0.23589181288422,0.12,0.117,1
"ANGEL2",0.822573855631072,0.163712995753904,0.106,0.113,1
"TRRAP",0.823719296663918,0.215761631718975,0.086,0.083,1
"AAMDC",0.824177734729452,0.592819642117495,0.05,0.049,1
"RECK",0.824478419973367,-0.481284006210906,0.06,0.063,1
"PITHD1",0.824893718034742,0.101165906692925,0.302,0.326,1
"ZNF827",0.825025386416528,-0.368700827743917,0.026,0.028,1
"SAYSD1",0.825254755829306,0.343106085963928,0.055,0.053,1
"FBXL17",0.825654271302681,-0.171465789070287,0.055,0.058,1
"C8orf44-SGK3",0.825795722913994,0.632234160907116,0.017,0.015,1
"DTYMK",0.8264236551413,0.116182199099968,0.106,0.112,1
"MCOLN2",0.82684105644946,0.387665000595067,0.017,0.015,1
"PYCARD-AS1",0.827299690740927,0.705934571765638,0.031,0.03,1
"RP11-53I6.3",0.827886696919744,0.381531792360082,0.017,0.015,1
"DNAL1",0.828975800978655,-0.120137678517588,0.026,0.028,1
"TRIM13",0.8293917243204,0.263946967249245,0.086,0.084,1
"ZNF615",0.829857933062126,-0.500603121302967,0.017,0.018,1
"PHGDH",0.829978891488188,0.201554343150859,0.017,0.015,1
"NRBP2",0.830502129159879,0.40451467597957,0.017,0.015,1
"RCCD1",0.831524725399967,-0.231764085559592,0.022,0.023,1
"CNOT11",0.831722345681722,0.131504950497853,0.082,0.086,1
"TMED7",0.831974335679551,0.151084159452215,0.062,0.06,1
"WDR27",0.832295233828492,0.241468313849903,0.05,0.054,1
"GMPS",0.832297885991128,0.271909155313253,0.194,0.199,1
"PIGM",0.833248833726425,0.248781201258861,0.048,0.046,1
"ZFP1",0.833258969716437,0.206322079108962,0.034,0.032,1
"PLIN2",0.833771047969075,0.161171314511966,0.204,0.221,1
"PRKRIR",0.834729502745215,0.277378129062241,0.091,0.09,1
"ELMOD2",0.836034650956369,0.23587502128459,0.048,0.046,1
"ACAD8",0.836226173496571,0.252523645293277,0.06,0.058,1
"NUBPL",0.836239354680473,0.562048174580453,0.038,0.037,1
"LRRC28",0.836679388993623,0.190191230642925,0.067,0.065,1
"WDR6",0.836849242096662,0.107485240404474,0.127,0.126,1
"ATAD2",0.836924058549928,0.318755753995223,0.06,0.064,1
"RAD1",0.838077261075617,0.340973108407722,0.074,0.072,1
"RP13-942N8.1",0.83836880011956,0.593221850547133,0.031,0.03,1
"TVP23C",0.838712250702438,-0.298114860703306,0.017,0.018,1
"MTF2",0.838818796784939,0.202350876075861,0.182,0.184,1
"GTF2H3",0.838983458218877,0.16945521652876,0.079,0.084,1
"ILF3",0.839688803603531,0.130077498919466,0.396,0.439,1
"PRPF40B",0.841175462132063,-0.221684319015619,0.017,0.018,1
"TBCCD1",0.8412524690553,0.453842497187736,0.082,0.08,1
"PRMT6",0.841890847316951,-0.125149073175914,0.038,0.041,1
"UBAP2",0.842183000652046,0.201815104904568,0.072,0.076,1
"CEP41",0.842870262526538,0.159036848788439,0.034,0.032,1
"ADO",0.843034069726233,0.307188599441244,0.026,0.028,1
"TRIM68",0.843084860399052,0.345825799608012,0.024,0.022,1
"THBS3",0.843209855083736,-0.42179695139514,0.012,0.013,1
"RP11-337C18.8",0.843789508778772,-0.391055798818486,0.012,0.013,1
"ZWILCH",0.844063555498789,0.103046805675712,0.041,0.039,1
"RGMB",0.84439573452822,0.354704712735868,0.024,0.022,1
"TERF2IP",0.844914808486599,0.114679285949699,0.412,0.437,1
"TSN",0.845173381520294,0.144237267484002,0.168,0.181,1
"RP11-299J3.8",0.845408198825606,0.194054837385311,0.041,0.039,1
"ZDHHC17",0.845736472632808,0.211492956617422,0.086,0.084,1
"ARMCX6",0.845766484317351,0.211155826458588,0.12,0.119,1
"RBSN",0.846525586786721,-0.222588119541981,0.065,0.067,1
