"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD3D",1.99120957857758e-177,3.078177057425,0.937,0.23,6.7091815540593e-173
"CD3E",8.60843285520234e-167,2.7596603747166,0.944,0.235,2.90052536623188e-162
"IL32",1.61865107837362e-148,2.44555313721458,0.952,0.337,5.45388294347208e-144
"RPS12",5.02491852396922e-147,1.01166329246177,1,0.999,1.69309604746619e-142
"RPS3",1.78808750618498e-145,0.855758773898483,1,0.999,6.02478204333968e-141
"HLA-DRA",1.37996433241712e-144,-4.48871789023482,0.378,0.879,4.64965182164625e-140
"CD74",8.42373422626e-144,-3.13556971416916,0.845,0.975,2.83829301019605e-139
"IL7R",6.91121952420577e-137,4.03840945730901,0.748,0.126,2.32866630648589e-132
"TYROBP",1.60144547916405e-130,-4.77204759620926,0.228,0.789,5.39591039749534e-126
"FCER1G",1.45184045216989e-129,-4.9593229323193,0.173,0.765,4.89183121954123e-125
"CYBA",1.33670831899069e-125,-1.49125627285172,0.883,0.991,4.50390501000723e-121
"RPS15A",6.37814953244275e-125,0.719944402277722,1,1,2.14905370346126e-120
"HLA-DRB1",7.71524265702136e-125,-3.74097342429964,0.318,0.82,2.59957386085678e-120
"RPL30",3.67418813241168e-122,1.00199289691155,1,1,1.23798094933479e-117
"RPS14",2.85352687439429e-118,0.662185087119362,1,1,9.6146734505841e-114
"HLA-DQB1",4.55214279563508e-118,-3.75149115670684,0.187,0.764,1.53379899356128e-113
"CD3G",7.76225168839483e-118,2.8863017677951,0.699,0.095,2.61541308388775e-113
"EEF1A1",1.1103989506969e-117,0.776400554469731,1,1,3.74137822447815e-113
"LDHB",2.84661169725621e-116,2.106556212377,0.898,0.547,9.59137345273508e-112
"TRAC",5.44334607087284e-116,3.17427783861066,0.796,0.276,1.8340810251199e-111
"HLA-DPA1",1.21407867708811e-114,-3.49359541543535,0.332,0.81,4.09071669458069e-110
"RPL14",1.94294066320488e-114,0.833552359892415,1,0.998,6.54654427060252e-110
"RPS4X",1.26069597338283e-113,0.787286192771388,1,1,4.24778901271612e-109
"HLA-DPB1",4.81663104046774e-110,-3.19714618649772,0.405,0.83,1.6229156627752e-105
"CTSS",2.5386832315448e-109,-3.82358655731708,0.393,0.815,8.55383928036704e-105
"RPS27A",8.80568956208855e-105,0.662846257735606,1,1,2.96698904105012e-100
"RPL19",1.31599661567553e-103,0.678011491302287,1,0.999,4.43411899685712e-99
"H3F3A",4.20804872953214e-101,-1.20222439235657,0.942,0.98,1.41785993892856e-96
"OAZ1",4.50380901463399e-97,-1.31834393197925,0.927,0.975,1.51751340939077e-92
"CD27",8.80350263348355e-96,2.9081952201034,0.655,0.14,2.96625217732595e-91
"HLA-DQA1",5.63154859254157e-95,-3.92294336162049,0.119,0.65,1.89749398277096e-90
"RPS21",2.85760072551506e-94,0.80675642559691,1,0.991,9.62839988455045e-90
"RPS28",1.47644726498429e-93,0.602181878096975,1,1,4.97474141463805e-89
"RPS25",8.82312694198123e-91,0.727501794780344,1,0.999,2.97286439183116e-86
"RPL3",7.93844087505609e-90,0.705224445170946,1,1,2.6747782684414e-85
"RPL32",5.56600820628861e-89,0.670113773934565,1,1,1.87541080502688e-84
"MEF2C",3.76347746906925e-88,-6.03366303108345,0.012,0.518,1.26806609842819e-83
"FGR",1.81702930419312e-86,-3.31153885606111,0.088,0.613,6.1222985375483e-82
"LYN",8.26846377466042e-85,-4.55855718989706,0.039,0.539,2.78597618423408e-80
"RPS10",1.90876268670409e-84,0.86703876942271,1,0.991,6.43138499658076e-80
"SPI1",1.47438891196853e-82,-5.26843763891087,0.034,0.517,4.96780599998676e-78
"GSTP1",8.25012831861003e-81,-2.04133093984046,0.498,0.808,2.77979823567246e-76
"CST3",5.83217507766984e-80,-4.65671452876437,0.253,0.669,1.96509307067008e-75
"FTL",1.59511296986276e-79,-2.5436186975944,0.993,0.998,5.37457364065557e-75
"PSAP",2.90518316151235e-79,-2.88994165377241,0.474,0.77,9.78872414439972e-75
"RPL5",3.91013862740169e-79,0.740778476325954,0.997,0.991,1.31748210911672e-74
"SARAF",1.07660129983367e-78,1.16779807694023,0.954,0.81,3.62750041965957e-74
"RPL35A",2.92003170678242e-78,0.602813690678909,1,0.999,9.83875483283268e-74
"MNDA",4.92122679456279e-78,-5.26181583443013,0.051,0.516,1.65815815615999e-73
"RPL11",8.19859449223558e-78,0.567214753329791,1,1,2.76243442821386e-73
"TYMP",2.77009576948654e-77,-3.71493667523078,0.17,0.611,9.33356068570796e-73
"TRBC2",3.4721994268432e-77,2.09043999009795,0.81,0.395,1.16992287488055e-72
"HLA-DMA",3.89916273120232e-77,-3.14973956545106,0.124,0.605,1.31378389065131e-72
"LYZ",3.98518111510138e-75,-4.61378913470585,0.422,0.751,1.34276692492226e-70
"RPL13",7.03602293064473e-75,0.56170796392365,1,1,2.37071756625144e-70
"LGALS1",2.45021091068143e-74,-2.95776980572141,0.274,0.681,8.25574064245001e-70
"ARPC3",2.53017479138352e-74,-1.13633602507016,0.838,0.927,8.52517094208763e-70
"CSTA",6.88949743536863e-74,-5.80030049854507,0.026,0.469,2.3213472658731e-69
"TCF7",7.60297932026299e-74,2.6472769707758,0.602,0.169,2.56174785216941e-69
"RPLP0",2.69663108958182e-73,0.880064460337461,0.991,0.964,9.08602879323697e-69
"LEF1",3.39891604207835e-73,3.77851072238305,0.471,0.068,1.14523077121788e-68
"RPL10",6.48985144680516e-73,0.461368905908153,1,1,2.18669054648653e-68
"LCK",1.28408788658939e-72,1.52764325635855,0.796,0.288,4.3266057250743e-68
"CYBB",5.89683030289041e-72,-5.97912485999165,0.01,0.442,1.98687800225589e-67
"HLA-DMB",1.84317679629043e-71,-3.93740505290531,0.061,0.51,6.21039989742097e-67
