"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100A12",1.17971978609551e-196,5.73000730939826,0.93,0.139,3.97494784727022e-192
"VCAN",3.67782709459773e-195,4.63018778727407,0.933,0.13,1.23920706125376e-190
"CD14",2.84869725910803e-180,4.21803463338373,0.875,0.103,9.59840054483858e-176
"S100A8",3.37311504233628e-163,4.9848860758322,1,0.621,1.13653738236479e-158
"S100A9",5.822243231469e-160,4.40420057108359,1,0.708,1.96174663441116e-155
"MS4A6A",5.81205598645592e-158,3.6332925428394,0.841,0.111,1.95831414407646e-153
"LYZ",8.03022775938481e-156,3.50019247021798,1,0.677,2.70570494124712e-151
"MNDA",1.60114304709985e-145,2.95467553414151,0.97,0.301,5.39489138289825e-141
"GPX1",1.61531129798753e-145,2.58076888245416,0.994,0.553,5.44262988743918e-141
"FCN1",1.91095605521689e-140,2.70263601496523,0.979,0.322,6.43877533244778e-136
"CSTA",4.99634315242515e-132,2.91373794163485,0.918,0.252,1.68346786177813e-127
"S100A6",3.71830016161619e-126,1.95756595358865,1,0.878,1.25284405645496e-121
"CSF3R",1.15483594045605e-124,3.69558733649089,0.747,0.132,3.89110421777261e-120
"TSPO",3.49135631352945e-112,1.94680795486503,0.988,0.604,1.17637759628061e-107
"CD36",6.76213536158316e-111,3.5759396150037,0.68,0.109,2.27843388873183e-106
"MALAT1",9.97652223548065e-106,-1.38933970190171,1,1,3.36148940202285e-101
"TYROBP",1.11948079601714e-103,1.66330055821087,1,0.582,3.77197859410017e-99
"GRN",6.77123865767019e-102,2.37603831853261,0.878,0.345,2.28150115331539e-97
"RPS29",9.99265538564142e-100,-1.71612265866001,0.909,0.999,3.36692530563802e-95
"RPL23A",1.57516769138946e-97,-1.31467152302708,0.988,0.999,5.30737001936765e-93
"GSTP1",2.24499818303771e-94,1.67147887884547,0.976,0.661,7.56429687792727e-90
"MGST1",1.49101852021015e-93,4.14619838213779,0.518,0.055,5.02383780199606e-89
"CYBB",3.69503808162831e-93,2.49050755164225,0.811,0.25,1.24500613122384e-88
"FOS",6.13708735761544e-93,1.39514192377803,1,0.945,2.06783021427495e-88
"LGALS1",7.22747106121364e-93,1.77130566350364,0.985,0.516,2.43522409936533e-88
"RBP7",2.59980784763758e-91,3.60205906155824,0.595,0.097,8.75979256183007e-87
"CST3",5.75701581788468e-91,1.70228273025134,1,0.521,1.93976890967807e-86
"RPL3",6.24416110811153e-91,-1.24845025220113,0.991,1,2.1039076437671e-86
"EVL",1.36625955833413e-90,-3.28765973618209,0.192,0.814,4.60347495585102e-86
"BLVRB",3.70398663237212e-90,2.87472484332968,0.723,0.203,1.24802125591146e-85
"RPL27A",4.27546644385012e-90,-1.2890060671055,0.924,0.997,1.44057566359086e-85
"RPS19",2.27912361155534e-89,-0.959534501377335,0.997,1,7.67927909677456e-85
"TNFSF13B",5.366660316041e-89,2.69580094214033,0.726,0.196,1.80824252688686e-84
"RPS27",6.93898925654945e-89,-1.35685362101622,0.997,1,2.33802304010177e-84
"S100A4",4.8671185475063e-88,1.34129954681036,1,0.874,1.63992692339677e-83
"VIM",8.61766904189301e-88,1.70558128347846,0.991,0.788,2.90363740697543e-83
"MT-ND3",1.02537981804919e-87,0.9360208992335,1,0.997,3.45491475893495e-83
"CTSS",1.23421994174678e-87,1.60800166786335,0.997,0.663,4.1585806717216e-83
"NFKBIA",2.54388820561446e-87,2.44215123650928,0.915,0.524,8.57137691999737e-83
"GAPDH",1.11887921414138e-86,1.37605358892861,0.994,0.897,3.76995162412796e-82
"FGL2",4.40108249671848e-85,2.14016196318534,0.835,0.272,1.48290073644433e-80
"RPSA",2.21380358323229e-84,-1.36655351437172,0.921,0.994,7.45918979334287e-80
"FTL",1.41171448576499e-83,1.43027751636028,1,0.995,4.75663078833655e-79
"NEAT1",1.57179231598308e-83,1.54891855209366,1,0.715,5.2959970294734e-79
"CD302",1.80086915522179e-83,2.68751875539503,0.692,0.18,6.06784853160431e-79
"RPL31",5.79694210858013e-83,-1.29647256441413,0.951,0.999,1.95322167406499e-78
"MT-CO2",4.08985535583988e-81,0.856678678123549,1,0.999,1.37803586359669e-76
"RPS20",4.80937187784075e-81,-1.41129165888864,0.851,0.994,1.62046976051966e-76
"HLA-C",3.5337662083847e-80,-1.11015728162007,0.988,0.999,1.19066718625314e-75
"MT-ND1",3.77378354684748e-79,0.997138952820563,1,0.977,1.27153862827479e-74
"AP1S2",1.17740809834432e-78,2.10588268809626,0.869,0.423,3.96715884656137e-74
"FTH1",1.08094312957415e-77,1.26803653917359,1,0.993,3.64212978078714e-73
"S100A11",1.27990337582167e-77,1.43576022591685,0.994,0.559,4.31250643449353e-73
"LGALS2",2.20078551878337e-77,3.04368699751756,0.655,0.178,7.41532672698869e-73
"RPS24",3.03483282677259e-77,0.654651172618827,1,0.999,1.02255657265276e-72
"RP11-1143G9.4",3.11616915806192e-77,4.21615793665149,0.61,0.158,1.04996203611738e-72
"CLEC4E",2.12748817974494e-76,4.67134418408583,0.372,0.02,7.16835867283259e-72
"SERPINA1",2.14999353055801e-76,1.56424017170317,0.899,0.286,7.24418820186217e-72
"KLF4",3.40520448536892e-76,2.11448003801866,0.817,0.292,1.1473495993002e-71
"RNF130",3.53262326652684e-76,2.22353145432633,0.765,0.258,1.19028208342355e-71
"TALDO1",5.83085586543994e-76,2.01815676506011,0.851,0.438,1.96464857530134e-71
"PLBD1",1.26451522341323e-74,3.36125750052724,0.546,0.105,4.26065759376853e-70
"GABARAP",5.2163645035938e-73,2.72726807419,0.753,0.297,1.7576018558409e-68
"CFD",1.5067153586002e-72,1.60097529208392,0.857,0.283,5.0767267292675e-68
"TKT",2.52623210841712e-72,1.71202606196302,0.899,0.485,8.51188646610065e-68
"FPR1",6.93067098914941e-72,3.5000576358596,0.488,0.077,2.335220283084e-67
"RPS3",9.66176651803991e-72,-0.926981220136474,0.997,0.999,3.25543561058837e-67
"NUP214",4.83756657959843e-70,2.5268759343266,0.652,0.191,1.62996968332989e-65
"JUND",7.24959188772567e-70,1.93739491732932,0.878,0.5,2.44267749065029e-65
"AIF1",9.71357742748748e-70,1.19795709958831,0.991,0.411,3.27289277841763e-65
"RGS2",1.47137491561068e-69,1.74613747173073,0.899,0.427,4.95765064065862e-65
"IL1B",1.93999655802319e-69,2.41474475475053,0.595,0.143,6.53662440260335e-65
"CXCL8",2.00469786982763e-69,3.06040075379178,0.591,0.142,6.75462900259722e-65
"NCF2",3.05217890678001e-69,2.33250761711022,0.692,0.213,1.02840116085046e-64
"LTB",4.21645910211825e-69,-3.04984008882711,0.305,0.802,1.42069372986772e-64
"TNFAIP2",4.41442811124138e-69,3.08738714338499,0.561,0.131,1.48739740780167e-64
"MT-CO1",1.07307407196933e-68,0.731364388630493,1,1,3.61561577809347e-64
"TYMP",1.0791538266178e-68,1.4752110858426,0.927,0.42,3.63610090340602e-64
"MT-ND4L",5.16267135685711e-68,1.8213572157646,0.915,0.617,1.73951048697944e-63
"CTSD",6.6603193190097e-68,1.88498949230493,0.872,0.477,2.24412799134713e-63
"CPVL",9.02534982563972e-68,2.05871669650367,0.704,0.215,3.04100137025105e-63
"CFP",1.14782286960496e-67,1.79738062578377,0.79,0.277,3.86747437684696e-63
"NAIP",2.46093183657946e-67,3.17362708935402,0.494,0.09,8.29186373017082e-63
"PGD",2.97817546382575e-67,2.86946801057175,0.595,0.163,1.00346644078145e-62
"KCTD12",3.638911065413e-67,3.07508829536128,0.534,0.118,1.22609469438026e-62
"DUSP6",4.12575143242406e-67,2.08119277916224,0.726,0.229,1.39013068764096e-62
"ASGR1",1.15574592430804e-66,3.22449660259785,0.482,0.084,3.89417031736349e-62
"S100A10",1.23719382430567e-66,1.60616970386627,0.954,0.698,4.16860087161551e-62
"RPL15",1.25608864315266e-66,-0.703776988889417,1,1,4.23226507423858e-62
"CEBPD",1.02955886999735e-65,2.28226532961809,0.723,0.261,3.46899565656909e-61
"RPL13A",1.44568812355067e-65,-1.09328226289167,0.985,1,4.87110156349163e-61
"C4orf48",2.7153213574376e-65,2.04862321036445,0.762,0.324,9.14900378175026e-61
"RPS25",4.00904931069981e-65,-0.999397139713413,0.985,1,1.35080907474719e-60
"RPS6",7.673187234304e-65,-1.00508078477955,0.994,1,2.58540370672639e-60
"H3F3A",1.28240816519044e-64,0.901404372554813,0.994,0.963,4.32094607179267e-60
"LGALS3",1.84945920673578e-64,2.08479217581553,0.729,0.258,6.23156785117554e-60
"RPS5",4.95214311349805e-64,-1.04364045019021,0.97,0.997,1.66857510066203e-59
"HLA-B",9.88926864969872e-63,-0.797950379948341,1,1,3.33209017882949e-58
"LST1",1.63868631215979e-62,0.732298207242905,0.991,0.418,5.5213896601912e-58
"CDA",1.32230136782749e-61,2.51454396633391,0.573,0.148,4.45536222875794e-57
"EEF1A1",3.6970438474327e-61,-0.628410418685494,1,1,1.24568195395397e-56
"SRGN",4.03657614955375e-61,1.19224118550205,0.994,0.7,1.36008396783064e-56
"RPS18",7.81495793434378e-61,-0.919757018761485,0.988,1,2.63317192639779e-56
"GLTSCR2",1.53860766425253e-60,-1.4164589476711,0.71,0.929,5.18418466393246e-56
"TCEB2",2.91250545077817e-60,1.17280225017651,0.948,0.771,9.81339586585198e-56
"PSAP",3.78307214903748e-60,1.08551804584356,0.982,0.635,1.27466832989669e-55
"STXBP2",9.43054236611994e-60,1.37334226516058,0.872,0.391,3.17752694484045e-55
"RPS27A",1.27397967886091e-59,-0.758760238917676,1,1,4.29254712995397e-55
"FCGRT",1.40079510353e-59,1.86426126962977,0.762,0.332,4.71983902183397e-55
"CAPG",1.56713489464784e-59,2.16303885658809,0.649,0.218,5.28030431402642e-55
"RPL10A",1.82029308680693e-59,-0.881782046217984,0.97,0.999,6.13329552668728e-55
"APLP2",2.77779446473669e-59,2.08528267669958,0.716,0.311,9.35950066948382e-55
"MT-ATP8",2.95405849968752e-58,2.77634951402147,0.488,0.101,9.95340470884714e-54
"RPL41",3.78572928956746e-58,-0.674999647859257,1,1,1.27556362682686e-53
"CRTAP",4.97673105603403e-58,2.59651801847717,0.53,0.132,1.6768597620201e-53
"CD69",8.92840009222349e-58,-3.20088358314656,0.186,0.676,3.00833512707378e-53
"RPL4",5.96011330110189e-57,-0.88898085810434,0.954,0.992,2.00820057567327e-52
"KLF10",8.62469927009554e-57,2.77039049985733,0.5,0.116,2.90600617206599e-52
"MPEG1",1.05237659389553e-56,2.34881495066128,0.634,0.225,3.5458776954716e-52
"FOSB",1.08013785168579e-56,1.85641048343766,0.899,0.67,3.63941647747011e-52
"SPI1",1.33377190841591e-56,1.3545285949394,0.848,0.318,4.49401106821656e-52
"GCA",2.05852332957843e-55,2.29331088343811,0.625,0.222,6.93598850668156e-51
"ATP6V0C",2.58938010478247e-55,3.39047828144076,0.378,0.052,8.72465732505405e-51
"CLEC7A",3.56387852071802e-55,1.91206179920513,0.677,0.231,1.20081322877073e-50
"CLEC12A",3.93128307398042e-55,2.51514948779943,0.564,0.173,1.32460651894696e-50
"JAML",6.37127156222068e-55,1.94383615388611,0.692,0.278,2.14673624017464e-50
"SGK1",6.90254352369832e-55,2.73708567804612,0.488,0.112,2.32574301487491e-50
"DMXL2",6.95145696633233e-55,3.10661750520336,0.436,0.087,2.34222391023601e-50
"CD93",1.13235406853933e-54,3.52577298647667,0.384,0.061,3.81535379853643e-50
"BST1",1.68764056860977e-54,3.51672903606391,0.396,0.067,5.68633613187376e-50
"ATP5E",1.77717184661839e-54,0.730751604130237,1,0.977,5.98800281999599e-50
"RNASE6",2.50739796514325e-54,2.70632246824593,0.482,0.107,8.44842670375368e-50
"EIF4A2",4.14395872939159e-54,-1.6719489270995,0.454,0.849,1.3962654542812e-49
"OAZ1",1.4352161553327e-53,0.778580336951372,1,0.959,4.83581731377801e-49
"AGTRAP",2.30262539842752e-53,2.07013841087445,0.649,0.25,7.75846601746169e-49
"SLC11A1",4.29013382592709e-53,2.50238692893292,0.558,0.173,1.44551769130787e-48
"CYBA",9.19013234592958e-53,0.81783979682294,0.997,0.951,3.09652319263751e-48
"B2M",1.46627757093115e-52,-0.711359302278097,1,1,4.94047564749542e-48
"ALDH2",3.46773690761689e-52,2.59200208124174,0.466,0.104,1.16841927365244e-47
"RPS2",4.26518652851408e-52,-0.664915020250869,1,1,1.43711194891754e-47
"UBB",8.08115396740542e-52,-1.3253845247221,0.726,0.944,2.72286401777758e-47
"ATP6V0B",9.59549887701817e-52,1.59077318165729,0.808,0.443,3.2331073916225e-47
"RPL5",1.34457406442631e-51,-0.80010500741487,0.985,0.997,4.53040785267802e-47
"PYCARD",2.50316218614448e-51,1.28163625293621,0.878,0.457,8.43415466999522e-47
"RAB31",3.24391172890718e-51,2.658064957107,0.515,0.152,1.09300361793799e-46
"MT-ND4",9.1308164728697e-51,0.637980029765675,1,0.998,3.07653730236872e-46
"CTSB",1.74911487008119e-50,2.0168729920795,0.665,0.28,5.89346764325156e-46
"NCF1",3.20184067219789e-50,1.7064645913748,0.765,0.369,1.07882819609036e-45
"CD68",5.43809847157142e-50,1.30456990568169,0.762,0.271,1.83231289901127e-45
"RAC1",5.81774997416438e-50,1.34933439937574,0.872,0.556,1.96023267629495e-45
"RNASEK",2.11367190650097e-49,2.97419671083541,0.451,0.11,7.12180612176435e-45
"MCL1",2.48985907408966e-49,1.56940497353399,0.848,0.566,8.38933116423772e-45
"HNRNPA1",9.57787170233398e-49,-0.88725644520144,0.881,0.983,3.22716809138441e-44
"NAMPT",1.01949669696559e-48,2.04176419947596,0.652,0.257,3.43509217075586e-44
"MT-ATP6",1.27864002750353e-48,0.686540514466638,1,0.993,4.30824970867038e-44
"NPC2",1.29283692511774e-48,1.15475132641162,0.896,0.515,4.35608473549171e-44
"PLAUR",1.91700532921632e-48,2.0751506421518,0.573,0.187,6.45915775626148e-44
"CES1",2.45775927713441e-48,3.67058820280635,0.329,0.046,8.28117410837668e-44
"MT-CO3",3.7848960420836e-48,0.519318680788946,1,1,1.27528287241965e-43
"NBPF26",1.12080482162382e-47,3.38622093721533,0.369,0.066,3.7764397659793e-43
"TRBC2",2.6112476125771e-47,-3.57721172351287,0.131,0.577,8.79833770581728e-43
"IGSF6",2.92373497238812e-47,1.96040075010921,0.604,0.207,9.85123261596454e-43
"CLEC4A",3.11000097129274e-47,2.30433670211612,0.534,0.173,1.04788372726738e-42
"DUSP1",6.05632908389115e-47,0.862633273897417,1,0.926,2.04061952152628e-42
"RPL21",9.82778702883964e-47,-0.824113350791665,0.997,1,3.31137456149723e-42
"QPCT",1.83867733296069e-46,4.0546441052691,0.28,0.029,6.19523940567775e-42
"ATP5G2",2.38721594670447e-46,0.809877356875638,0.985,0.9,8.04348541082604e-42
"IL2RG",5.84942267432424e-46,-2.67991329490213,0.137,0.59,1.97090447588681e-41
"RPS17",6.4122264305876e-46,-0.806079576607054,0.957,0.994,2.16053557352219e-41
"CYP1B1",2.78834191497072e-45,5.21751071368961,0.226,0.012,9.39503924830234e-41
"IFI30",3.59298789182492e-45,1.49931304357189,0.686,0.257,1.21062134027149e-40
"TGFBI",8.11393838144662e-45,2.4444060038367,0.488,0.147,2.73391039824463e-40
"SH3BGRL3",9.30294664481196e-45,0.752121214437508,0.994,0.936,3.13453484250294e-40
"LCK",2.7163618322487e-44,-4.01822265774895,0.064,0.492,9.15250955757876e-40
"RP11-160E2.6",4.18137109402633e-44,1.96734768317856,0.622,0.255,1.40887117642123e-39
"SERF2",6.63272271843772e-44,0.680659592193576,1,0.975,2.23482959275041e-39
"NME2",1.55372860380241e-43,2.60920236513624,0.412,0.096,5.23513315765183e-39
"PTCH2",2.39865277889728e-43,3.11558825379399,0.387,0.084,8.0820206732165e-39
"RPLP2",2.86904531431064e-43,-0.659879060179461,1,1,9.66696128203827e-39
"RPS4Y1",3.63422913612771e-43,-1.2561399054276,0.476,0.889,1.22451716512687e-38
"PTPRE",4.65470119518612e-43,1.95688420413813,0.588,0.228,1.56835502070601e-38
"CD3E",4.89054959977014e-43,-3.80583846604235,0.079,0.501,1.64782178214655e-38
"IFITM1",5.51593691594542e-43,-3.33638869316568,0.07,0.499,1.85853978445865e-38
"RAB32",7.7557282595437e-43,2.37475604579224,0.47,0.136,2.61321507977065e-38
"TIMP2",1.31497574423629e-42,3.06623592608645,0.36,0.074,4.43067927262974e-38
"LINC00936",1.76228053640829e-42,1.95996745916539,0.68,0.336,5.9378280393741e-38
"CD7",3.09699653265449e-42,-4.2266594934234,0.101,0.51,1.0435020117126e-37
"TRAC",3.54158873439204e-42,-3.84853975278309,0.134,0.536,1.19330290816606e-37
"SAT1",4.58757638392598e-42,0.719349475261161,0.976,0.71,1.54573798680002e-37
"LY86",7.57019445427773e-42,1.59098167286417,0.652,0.269,2.55070131942434e-37
"SDCBP",7.81693291429283e-42,1.42681885111721,0.747,0.42,2.63383737614183e-37
"AHNAK",1.66673021155393e-41,1.71116610441434,0.729,0.395,5.6158807748098e-37
"RETN",1.92930350424733e-41,3.67307179288299,0.314,0.052,6.50059522721097e-37
"IL32",1.937916111227e-41,-3.51016294938323,0.155,0.561,6.52961454516824e-37
"IER3",2.28201421471084e-41,3.18615791494835,0.335,0.062,7.68901869504671e-37
"LAMTOR4",2.66969512855151e-41,1.05899136120409,0.912,0.684,8.99527076614147e-37
"METTL9",4.98146449721547e-41,1.69402856526844,0.677,0.348,1.67845464769178e-36
"RHOB",7.29154527316492e-41,1.84391954798784,0.659,0.28,2.45681326434019e-36
"GLIPR1",9.01265962524614e-41,1.43974594327694,0.735,0.382,3.03672553413043e-36
"PTAFR",9.93657222468788e-41,3.25407242492888,0.32,0.057,3.34802864538633e-36
"TBC1D10C",1.78320231078962e-40,-2.40219780213099,0.171,0.587,6.00832186597455e-36
"COTL1",2.07230263262872e-40,0.709692592842233,0.985,0.665,6.98241649037922e-36
"IL17RA",3.79914402049146e-40,2.41134114862717,0.427,0.117,1.28008358626439e-35
"LRP1",5.2353448668214e-40,3.02977372079482,0.36,0.081,1.7639970994268e-35
"CKAP4",6.38215542167237e-40,3.27574900708327,0.311,0.054,2.15040344777829e-35
"AP2S1",6.97478627932992e-40,1.28232564477011,0.799,0.479,2.35008448895742e-35
"CTSH",7.15126305461602e-40,1.55111326918733,0.659,0.288,2.40954657362232e-35
"SOD2",8.17461774592731e-40,1.80120553259486,0.655,0.304,2.75435570331275e-35
"RPL27",1.57516798560232e-39,-0.659040367702241,0.963,0.998,5.30737101068844e-35
"HLA-E",2.55680603242527e-39,-0.862042865030028,0.875,0.98,8.61490224565371e-35
"ALDOA",2.6891055618788e-39,0.861898993496091,0.97,0.829,9.06067228019441e-35
"MYL12A",3.13748571394307e-39,-1.05586254639453,0.832,0.954,1.05714443645598e-34
"ACAP1",5.13536397814179e-39,-2.39044922210836,0.174,0.571,1.73030953879509e-34
"LTA4H",1.2328461908438e-38,1.41788594762813,0.726,0.375,4.15395195542909e-34
"HSPA8",1.94746151638525e-38,-1.29588546973346,0.549,0.84,6.56177683330848e-34
"CREB5",2.40545343097206e-38,3.95261686516469,0.235,0.024,8.10493479031727e-34
"CNPY3",2.58467391594423e-38,1.45426149535396,0.732,0.41,8.7088002923825e-34
"RPL35",2.97504266050687e-38,-0.640645629301436,0.991,0.996,1.00241087403119e-33
"NFAM1",3.42408889184877e-38,3.52586727325971,0.28,0.044,1.15371251121953e-33
"HNMT",3.62909423649666e-38,2.78775450103298,0.381,0.098,1.22278701204518e-33
"LBH",1.12217063426055e-37,-3.81600427004282,0.049,0.438,3.78104173507748e-33
"ODF3B",1.15922405689459e-37,2.41392809985006,0.448,0.144,3.90588953730063e-33
"CXCR4",1.86598744111075e-37,-2.03622874999739,0.32,0.688,6.28725808407858e-33
"STAB1",2.5150923526558e-37,4.0006493344362,0.226,0.022,8.47435217303845e-33
"CD3D",3.51915566170317e-37,-3.26623693397143,0.113,0.498,1.18574430865427e-32
"CLEC2D",4.56980434514863e-37,-3.30489458140992,0.079,0.466,1.53974987605438e-32
"TSTD1",6.50212148913274e-37,-2.98958990402731,0.088,0.478,2.19082481454838e-32
"PRAM1",1.75245353459652e-36,2.46697170500997,0.433,0.138,5.90471693946953e-32
"CD163",1.81690951697945e-36,4.20077255874881,0.216,0.021,6.12189492651055e-32
"SMARCD3",2.23591580236653e-36,3.52708414602241,0.247,0.032,7.5336947044938e-32
"FCGR1A",2.46916135123685e-36,4.24703379422676,0.223,0.023,8.31959225685744e-32
"MCEMP1",4.72510784416254e-36,4.8565322768547,0.186,0.011,1.59207783701212e-31
"PFDN5",6.54904400296185e-36,0.532021704461791,0.997,0.981,2.20663488635797e-31
"PGLS",7.94278320458699e-36,1.31537136285498,0.753,0.445,2.67624137295354e-31
"ANXA1",1.5732982148442e-35,1.0983654171787,0.875,0.565,5.30107100509604e-31
"SIRPA",2.45516526388878e-35,3.44148521626306,0.259,0.039,8.27243384014685e-31
"NPM1",2.88977171194276e-35,-1.05318959305918,0.753,0.917,9.73679680621992e-31
"STK17A",3.84578340891289e-35,-3.01295864867373,0.107,0.476,1.29579826179911e-30
"TRAPPC5",4.49359011188762e-35,2.71629547346865,0.345,0.081,1.51407025229941e-30
"MEGF9",5.06169704010464e-35,2.74150912975316,0.354,0.09,1.70548820069286e-30
"ZNF385A",7.3472391874277e-35,2.30684056460822,0.409,0.125,2.47557877181189e-30
"CECR1",8.71027341281825e-35,1.82924268088717,0.527,0.213,2.93483952371498e-30
"CD2",1.26265570946145e-34,-4.52331476116478,0.04,0.397,4.2543921474594e-30
"RPS15A",1.39023753762706e-34,-0.530587026463555,0.997,1,4.68426635928061e-30
"LY96",1.58601379737711e-34,2.10183286804405,0.482,0.182,5.34391488888242e-30
"TRAF3IP3",1.77473150660471e-34,-1.56924482390001,0.375,0.711,5.97978033835392e-30
"PLXDC2",2.31266722028525e-34,2.92379160766798,0.32,0.072,7.79230093202912e-30
"HLA-A",4.46613120905134e-34,-0.796046058732341,0.985,0.995,1.50481824957776e-29
"NRGN",5.3338741732586e-34,3.02182834077086,0.302,0.063,1.79719556393775e-29
"EIF4EBP1",6.37397929158421e-34,2.00529658412254,0.473,0.168,2.14764858250638e-29
"RPL9",6.37733362407898e-34,-0.617749799299783,1,0.999,2.14877879129717e-29
"TREM1",6.61597798835958e-34,3.37135786727534,0.271,0.049,2.22918762339788e-29
"CTSW",9.63681010339736e-34,-4.52409689032484,0.076,0.431,3.24702679623871e-29
"ALDH1A1",1.06241507410005e-33,4.0513203293759,0.192,0.016,3.57970135067271e-29
"PLAC8",1.48081494630647e-33,-1.54060668733258,0.433,0.752,4.98945788008502e-29
"FCER1G",2.09157125494702e-33,0.694183412053945,0.979,0.539,7.0473401864185e-29
